lemma	form	morph_code
ei tea mis	ei tea mida	PlP
ei tea mis	ei tea mida	SgP
ei tea mis	ei tea mille	SgG
ei tea mis	ei tea millede	PlG
ei tea mis	ei tea milledega	PlKom
ei tea mis	ei tea milledeks	PlTr
ei tea mis	ei tea milledel	PlAd
ei tea mis	ei tea milledele	PlAll
ei tea mis	ei tea milledelt	PlAbl
ei tea mis	ei tea milledena	PlEs
ei tea mis	ei tea milledeni	PlTer
ei tea mis	ei tea milledes	PlIn
ei tea mis	ei tea milledesse	PlIll
ei tea mis	ei tea milledest	PlEl
ei tea mis	ei tea milledeta	PlAb
ei tea mis	ei tea millega	SgKom
ei tea mis	ei tea milleks	SgTr
ei tea mis	ei tea millel	SgAd
ei tea mis	ei tea millele	SgAll
ei tea mis	ei tea millelt	SgAbl
ei tea mis	ei tea millena	SgEs
ei tea mis	ei tea milleni	SgTer
ei tea mis	ei tea milles	SgIn
ei tea mis	ei tea millesse	SgIll
ei tea mis	ei tea millest	SgEl
ei tea mis	ei tea milleta	SgAb
ei tea mis	ei tea mis	PlN
ei tea mis	ei tea mis	SgN
