lemma	form	morph_code
Reinuvader Rebane	-	SgAdt
Reinuvader Rebane	Reinuvader Rebane	SgN
Reinuvader Rebane	Reinuvader Rebase	SgG
Reinuvader Rebane	Reinuvader Rebasega	SgKom
Reinuvader Rebane	Reinuvader Rebaseks	SgTr
Reinuvader Rebane	Reinuvader Rebasel	SgAd
Reinuvader Rebane	Reinuvader Rebasele	SgAll
Reinuvader Rebane	Reinuvader Rebaselt	SgAbl
Reinuvader Rebane	Reinuvader Rebasena	SgEs
Reinuvader Rebane	Reinuvader Rebaseni	SgTer
Reinuvader Rebane	Reinuvader Rebases	SgIn
Reinuvader Rebane	Reinuvader Rebasesse	SgIll
Reinuvader Rebane	Reinuvader Rebasest	SgEl
Reinuvader Rebane	Reinuvader Rebaseta	SgAb
Reinuvader Rebane	Reinuvader Rebast	SgP
