lemma	form	morph_code
napakus	napakus	SgN
napakus	napakuse	SgG
napakus	napakused	PlN
napakus	napakusega	SgKom
napakus	napakuseks	SgTr
napakus	napakusel	SgAd
napakus	napakusele	SgAll
napakus	napakuselt	SgAbl
napakus	napakusena	SgEs
napakus	napakuseni	SgTer
napakus	napakuses	SgIn
napakus	napakusesse	SgIll
napakus	napakusest	SgEl
napakus	napakuseta	SgAb
napakus	napakusi	PlP
napakus	napakusiks	PlTr
napakus	napakusil	PlAd
napakus	napakusile	PlAll
napakus	napakusilt	PlAbl
napakus	napakusis	PlIn
napakus	napakusisse	PlIll
napakus	napakusist	PlEl
napakus	napakusse	SgAdt
napakus	napakust	SgP
napakus	napakuste	PlG
napakus	napakustega	PlKom
napakus	napakusteks	PlTr
napakus	napakustel	PlAd
napakus	napakustele	PlAll
napakus	napakustelt	PlAbl
napakus	napakustena	PlEs
napakus	napakusteni	PlTer
napakus	napakustes	PlIn
napakus	napakustesse	PlIll
napakus	napakustest	PlEl
napakus	napakusteta	PlAb
