lemma	form	morph_code
kättenäitamine	kättenäitamine	SgN
kättenäitamine	kättenäitamise	SgG
kättenäitamine	kättenäitamised	PlN
kättenäitamine	kättenäitamisega	SgKom
kättenäitamine	kättenäitamiseks	SgTr
kättenäitamine	kättenäitamisel	SgAd
kättenäitamine	kättenäitamisele	SgAll
kättenäitamine	kättenäitamiselt	SgAbl
kättenäitamine	kättenäitamisena	SgEs
kättenäitamine	kättenäitamiseni	SgTer
kättenäitamine	kättenäitamises	SgIn
kättenäitamine	kättenäitamisesse	SgIll
kättenäitamine	kättenäitamisest	SgEl
kättenäitamine	kättenäitamiseta	SgAb
kättenäitamine	kättenäitamisi	PlP
kättenäitamine	kättenäitamisiks	PlTr
kättenäitamine	kättenäitamisil	PlAd
kättenäitamine	kättenäitamisile	PlAll
kättenäitamine	kättenäitamisilt	PlAbl
kättenäitamine	kättenäitamisis	PlIn
kättenäitamine	kättenäitamisisse	PlIll
kättenäitamine	kättenäitamisist	PlEl
kättenäitamine	kättenäitamisse	SgAdt
kättenäitamine	kättenäitamist	SgP
kättenäitamine	kättenäitamiste	PlG
kättenäitamine	kättenäitamistega	PlKom
kättenäitamine	kättenäitamisteks	PlTr
kättenäitamine	kättenäitamistel	PlAd
kättenäitamine	kättenäitamistele	PlAll
kättenäitamine	kättenäitamistelt	PlAbl
kättenäitamine	kättenäitamistena	PlEs
kättenäitamine	kättenäitamisteni	PlTer
kättenäitamine	kättenäitamistes	PlIn
kättenäitamine	kättenäitamistesse	PlIll
kättenäitamine	kättenäitamistest	PlEl
kättenäitamine	kättenäitamisteta	PlAb
