lemma	form	morph_code
parketõrs	parketõrde	SgAdt
parketõrs	parketõrre	SgG
parketõrs	parketõrred	PlN
parketõrs	parketõrrega	SgKom
parketõrs	parketõrreks	SgTr
parketõrs	parketõrrel	SgAd
parketõrs	parketõrrele	SgAll
parketõrs	parketõrrelt	SgAbl
parketõrs	parketõrrena	SgEs
parketõrs	parketõrreni	SgTer
parketõrs	parketõrres	SgIn
parketõrs	parketõrresse	SgIll
parketõrs	parketõrrest	SgEl
parketõrs	parketõrreta	SgAb
parketõrs	parketõrs	SgN
parketõrs	parketõrsi	PlP
parketõrs	parketõrsiks	PlTr
parketõrs	parketõrsil	PlAd
parketõrs	parketõrsile	PlAll
parketõrs	parketõrsilt	PlAbl
parketõrs	parketõrsis	PlIn
parketõrs	parketõrsisse	PlIll
parketõrs	parketõrsist	PlEl
parketõrs	parketõrt	SgP
parketõrs	parketõrte	PlG
parketõrs	parketõrtega	PlKom
parketõrs	parketõrteks	PlTr
parketõrs	parketõrtel	PlAd
parketõrs	parketõrtele	PlAll
parketõrs	parketõrtelt	PlAbl
parketõrs	parketõrtena	PlEs
parketõrs	parketõrteni	PlTer
parketõrs	parketõrtes	PlIn
parketõrs	parketõrtesse	PlIll
parketõrs	parketõrtest	PlEl
parketõrs	parketõrteta	PlAb
