lemma	form	morph_code
läbindusesi	-	SgAdt
läbindusesi	läbindusee	SgG
läbindusesi	läbinduseed	PlN
läbindusesi	läbinduseega	SgKom
läbindusesi	läbinduseeks	SgTr
läbindusesi	läbinduseel	SgAd
läbindusesi	läbinduseele	SgAll
läbindusesi	läbinduseelt	SgAbl
läbindusesi	läbinduseena	SgEs
läbindusesi	läbinduseeni	SgTer
läbindusesi	läbindusees	SgIn
läbindusesi	läbinduseesse	SgIll
läbindusesi	läbinduseest	SgEl
läbindusesi	läbinduseeta	SgAb
läbindusesi	läbindusesi	PlP
läbindusesi	läbindusesi	SgN
läbindusesi	läbindusete	PlG
läbindusesi	läbindusetega	PlKom
läbindusesi	läbinduseteks	PlTr
läbindusesi	läbindusetel	PlAd
läbindusesi	läbindusetele	PlAll
läbindusesi	läbindusetelt	PlAbl
läbindusesi	läbindusetena	PlEs
läbindusesi	läbinduseteni	PlTer
läbindusesi	läbindusetes	PlIn
läbindusesi	läbindusetesse	PlIll
läbindusesi	läbindusetest	PlEl
läbindusesi	läbinduseteta	PlAb
läbindusesi	läbindusett	SgP
