lemma	form	morph_code
maja	maja	SgG
maja	maja	SgN
maja	maja	SgP
maja	majad	PlN
maja	majade	PlG
maja	majadega	PlKom
maja	majadeks	PlTr
maja	majadel	PlAd
maja	majadele	PlAll
maja	majadelt	PlAbl
maja	majadena	PlEs
maja	majadeni	PlTer
maja	majades	PlIn
maja	majadesse	PlIll
maja	majadest	PlEl
maja	majadeta	PlAb
maja	majaga	SgKom
maja	majaks	SgTr
maja	majal	SgAd
maja	majale	SgAll
maja	majalt	SgAbl
maja	majana	SgEs
maja	majani	SgTer
maja	majas	SgIn
maja	majasid	PlP
maja	majasse	SgIll
maja	majast	SgEl
maja	majata	SgAb
maja	majja	SgAdt
maja	maju	PlP
maja	majuks	PlTr
maja	majul	PlAd
maja	majule	PlAll
maja	majult	PlAbl
maja	majus	PlIn
maja	majusse	PlIll
maja	majust	PlEl
