lemma	form	morph_code
defitsiitmaterjalid	defitsiitmaterjal	SgN
defitsiitmaterjalid	defitsiitmaterjale	PlP
defitsiitmaterjalid	defitsiitmaterjaleks	PlTr
defitsiitmaterjalid	defitsiitmaterjalel	PlAd
defitsiitmaterjalid	defitsiitmaterjalele	PlAll
defitsiitmaterjalid	defitsiitmaterjalelt	PlAbl
defitsiitmaterjalid	defitsiitmaterjales	PlIn
defitsiitmaterjalid	defitsiitmaterjalesse	PlIll
defitsiitmaterjalid	defitsiitmaterjalest	PlEl
defitsiitmaterjalid	defitsiitmaterjali	SgAdt
defitsiitmaterjalid	defitsiitmaterjali	SgG
defitsiitmaterjalid	defitsiitmaterjali	SgP
defitsiitmaterjalid	defitsiitmaterjalid	PlN
defitsiitmaterjalid	defitsiitmaterjalide	PlG
defitsiitmaterjalid	defitsiitmaterjalidega	PlKom
defitsiitmaterjalid	defitsiitmaterjalideks	PlTr
defitsiitmaterjalid	defitsiitmaterjalidel	PlAd
defitsiitmaterjalid	defitsiitmaterjalidele	PlAll
defitsiitmaterjalid	defitsiitmaterjalidelt	PlAbl
defitsiitmaterjalid	defitsiitmaterjalidena	PlEs
defitsiitmaterjalid	defitsiitmaterjalideni	PlTer
defitsiitmaterjalid	defitsiitmaterjalides	PlIn
defitsiitmaterjalid	defitsiitmaterjalidesse	PlIll
defitsiitmaterjalid	defitsiitmaterjalidest	PlEl
defitsiitmaterjalid	defitsiitmaterjalideta	PlAb
defitsiitmaterjalid	defitsiitmaterjaliga	SgKom
defitsiitmaterjalid	defitsiitmaterjaliks	SgTr
defitsiitmaterjalid	defitsiitmaterjalil	SgAd
defitsiitmaterjalid	defitsiitmaterjalile	SgAll
defitsiitmaterjalid	defitsiitmaterjalilt	SgAbl
defitsiitmaterjalid	defitsiitmaterjalina	SgEs
defitsiitmaterjalid	defitsiitmaterjalini	SgTer
defitsiitmaterjalid	defitsiitmaterjalis	SgIn
defitsiitmaterjalid	defitsiitmaterjalisse	SgIll
defitsiitmaterjalid	defitsiitmaterjalist	SgEl
defitsiitmaterjalid	defitsiitmaterjalita	SgAb
