lemma	form	morph_code
vait olev	-	SgAdt
vait olev	vait olev	SgN
vait olev	vait oleva	SgG
vait olev	vait olevad	PlN
vait olev	vait olevaga	SgKom
vait olev	vait olevaid	PlP
vait olev	vait olevaiks	PlTr
vait olev	vait olevail	PlAd
vait olev	vait olevaile	PlAll
vait olev	vait olevailt	PlAbl
vait olev	vait olevais	PlIn
vait olev	vait olevaisse	PlIll
vait olev	vait olevaist	PlEl
vait olev	vait olevaks	SgTr
vait olev	vait oleval	SgAd
vait olev	vait olevale	SgAll
vait olev	vait olevalt	SgAbl
vait olev	vait olevana	SgEs
vait olev	vait olevani	SgTer
vait olev	vait olevas	SgIn
vait olev	vait olevasse	SgIll
vait olev	vait olevast	SgEl
vait olev	vait olevat	SgP
vait olev	vait olevata	SgAb
vait olev	vait olevate	PlG
vait olev	vait olevatega	PlKom
vait olev	vait olevateks	PlTr
vait olev	vait olevatel	PlAd
vait olev	vait olevatele	PlAll
vait olev	vait olevatelt	PlAbl
vait olev	vait olevatena	PlEs
vait olev	vait olevateni	PlTer
vait olev	vait olevates	PlIn
vait olev	vait olevatesse	PlIll
vait olev	vait olevatest	PlEl
vait olev	vait olevateta	PlAb
