lemma	form	morph_code
aidalävi	-	SgAdt
aidalävi	aidaläve	SgG
aidalävi	aidaläve	SgP
aidalävi	aidaläved	PlN
aidalävi	aidalävede	PlG
aidalävi	aidalävedega	PlKom
aidalävi	aidalävedeks	PlTr
aidalävi	aidalävedel	PlAd
aidalävi	aidalävedele	PlAll
aidalävi	aidalävedelt	PlAbl
aidalävi	aidalävedena	PlEs
aidalävi	aidalävedeni	PlTer
aidalävi	aidalävedes	PlIn
aidalävi	aidalävedesse	PlIll
aidalävi	aidalävedest	PlEl
aidalävi	aidalävedeta	PlAb
aidalävi	aidalävega	SgKom
aidalävi	aidaläveks	SgTr
aidalävi	aidalävel	SgAd
aidalävi	aidalävele	SgAll
aidalävi	aidalävelt	SgAbl
aidalävi	aidalävena	SgEs
aidalävi	aidaläveni	SgTer
aidalävi	aidaläves	SgIn
aidalävi	aidalävesid	PlP
aidalävi	aidalävesse	SgIll
aidalävi	aidalävest	SgEl
aidalävi	aidaläveta	SgAb
aidalävi	aidalävi	SgN
