lemma	form	morph_code
Kellavere mägi	Kellavere mäe	SgG
Kellavere mägi	Kellavere mäega	SgKom
Kellavere mägi	Kellavere mäeks	SgTr
Kellavere mägi	Kellavere mäel	SgAd
Kellavere mägi	Kellavere mäele	SgAll
Kellavere mägi	Kellavere mäelt	SgAbl
Kellavere mägi	Kellavere mäena	SgEs
Kellavere mägi	Kellavere mäeni	SgTer
Kellavere mägi	Kellavere mäes	SgIn
Kellavere mägi	Kellavere mäesse	SgIll
Kellavere mägi	Kellavere mäest	SgEl
Kellavere mägi	Kellavere mäeta	SgAb
Kellavere mägi	Kellavere mäge	SgP
Kellavere mägi	Kellavere mägi	SgN
Kellavere mägi	Kellavere mäkke	SgAdt
