lemma	form	morph_code
kell	kell	SgN
kell	kella	SgAdt
kell	kella	SgG
kell	kella	SgP
kell	kellad	PlN
kell	kellade	PlG
kell	kelladega	PlKom
kell	kelladeks	PlTr
kell	kelladel	PlAd
kell	kelladele	PlAll
kell	kelladelt	PlAbl
kell	kelladena	PlEs
kell	kelladeni	PlTer
kell	kellades	PlIn
kell	kelladesse	PlIll
kell	kelladest	PlEl
kell	kelladeta	PlAb
kell	kellaga	SgKom
kell	kellaks	SgTr
kell	kellal	SgAd
kell	kellale	SgAll
kell	kellalt	SgAbl
kell	kellana	SgEs
kell	kellani	SgTer
kell	kellas	SgIn
kell	kellasid	PlP
kell	kellasse	SgIll
kell	kellast	SgEl
kell	kellata	SgAb
kell	kelli	PlP
kell	kelliks	PlTr
kell	kellil	PlAd
kell	kellile	PlAll
kell	kellilt	PlAbl
kell	kellis	PlIn
kell	kellisse	PlIll
kell	kellist	PlEl
