lemma	form	morph_code
koer	koer	SgN
koer	koera	SgAdt
koer	koera	SgG
koer	koera	SgP
koer	koerad	PlN
koer	koerade	PlG
koer	koeradega	PlKom
koer	koeradeks	PlTr
koer	koeradel	PlAd
koer	koeradele	PlAll
koer	koeradelt	PlAbl
koer	koeradena	PlEs
koer	koeradeni	PlTer
koer	koerades	PlIn
koer	koeradesse	PlIll
koer	koeradest	PlEl
koer	koeradeta	PlAb
koer	koeraga	SgKom
koer	koeraks	SgTr
koer	koeral	SgAd
koer	koerale	SgAll
koer	koeralt	SgAbl
koer	koerana	SgEs
koer	koerani	SgTer
koer	koeras	SgIn
koer	koerasid	PlP
koer	koerasse	SgIll
koer	koerast	SgEl
koer	koerata	SgAb
koer	koeri	PlP
koer	koeriks	PlTr
koer	koeril	PlAd
koer	koerile	PlAll
koer	koerilt	PlAbl
koer	koeris	PlIn
koer	koerisse	PlIll
koer	koerist	PlEl
koer	koerte	PlG
koer	koertega	PlKom
koer	koerteks	PlTr
koer	koertel	PlAd
koer	koertele	PlAll
koer	koertelt	PlAbl
koer	koertena	PlEs
koer	koerteni	PlTer
koer	koertes	PlIn
koer	koertesse	PlIll
koer	koertest	PlEl
koer	koerteta	PlAb
