lemma	form	morph_code
ahtripuri	ahtripuri	SgN
ahtripuri	ahtripurje	SgAdt
ahtripuri	ahtripurje	SgG
ahtripuri	ahtripurje	SgP
ahtripuri	ahtripurjed	PlN
ahtripuri	ahtripurjede	PlG
ahtripuri	ahtripurjedega	PlKom
ahtripuri	ahtripurjedeks	PlTr
ahtripuri	ahtripurjedel	PlAd
ahtripuri	ahtripurjedele	PlAll
ahtripuri	ahtripurjedelt	PlAbl
ahtripuri	ahtripurjedena	PlEs
ahtripuri	ahtripurjedeni	PlTer
ahtripuri	ahtripurjedes	PlIn
ahtripuri	ahtripurjedesse	PlIll
ahtripuri	ahtripurjedest	PlEl
ahtripuri	ahtripurjedeta	PlAb
ahtripuri	ahtripurjega	SgKom
ahtripuri	ahtripurjeks	SgTr
ahtripuri	ahtripurjel	SgAd
ahtripuri	ahtripurjele	SgAll
ahtripuri	ahtripurjelt	SgAbl
ahtripuri	ahtripurjena	SgEs
ahtripuri	ahtripurjeni	SgTer
ahtripuri	ahtripurjes	SgIn
ahtripuri	ahtripurjesid	PlP
ahtripuri	ahtripurjesse	SgIll
ahtripuri	ahtripurjest	SgEl
ahtripuri	ahtripurjeta	SgAb
