lemma	form	morph_code
Sakala kõrgustik	Sakala kõrgustik	SgN
Sakala kõrgustik	Sakala kõrgustiku	SgAdt
Sakala kõrgustik	Sakala kõrgustiku	SgG
Sakala kõrgustik	Sakala kõrgustiku	SgP
Sakala kõrgustik	Sakala kõrgustikuga	SgKom
Sakala kõrgustik	Sakala kõrgustikuks	SgTr
Sakala kõrgustik	Sakala kõrgustikul	SgAd
Sakala kõrgustik	Sakala kõrgustikule	SgAll
Sakala kõrgustik	Sakala kõrgustikult	SgAbl
Sakala kõrgustik	Sakala kõrgustikuna	SgEs
Sakala kõrgustik	Sakala kõrgustikuni	SgTer
Sakala kõrgustik	Sakala kõrgustikus	SgIn
Sakala kõrgustik	Sakala kõrgustikusse	SgIll
Sakala kõrgustik	Sakala kõrgustikust	SgEl
Sakala kõrgustik	Sakala kõrgustikuta	SgAb
