lemma	form	morph_code
otsa kihutama	kihuta otsa	ImpPrSg2
otsa kihutama	kihuta otsa	IndPrPs_
otsa kihutama	kihutab otsa	IndPrSg3
otsa kihutama	kihutad otsa	IndPrSg2
otsa kihutama	kihutage otsa	ImpPrPl2
otsa kihutama	kihutagem otsa	ImpPrPl1
otsa kihutama	kihutagu otsa	ImpPrPs
otsa kihutama	kihutaks otsa	KndPrPs
otsa kihutama	kihutaksid otsa	KndPrPl3
otsa kihutama	kihutaksid otsa	KndPrSg2
otsa kihutama	kihutaksime otsa	KndPrPl1
otsa kihutama	kihutaksin otsa	KndPrSg1
otsa kihutama	kihutaksite otsa	KndPrPl2
otsa kihutama	kihutame otsa	IndPrPl1
otsa kihutama	kihutan otsa	IndPrSg1
otsa kihutama	kihutanud otsa	PtsPtPsNeg
otsa kihutama	kihutanuks otsa	KndPtPs
otsa kihutama	kihutanuksid otsa	KndPtPl3
otsa kihutama	kihutanuksid otsa	KndPtSg2
otsa kihutama	kihutanuksime otsa	KndPtPl1
otsa kihutama	kihutanuksin otsa	KndPtSg1
otsa kihutama	kihutanuksite otsa	KndPtPl2
otsa kihutama	kihutanuvat otsa	KvtPtPs
otsa kihutama	kihutas otsa	IndIpfSg3
otsa kihutama	kihutasid otsa	IndIpfPl3
otsa kihutama	kihutasid otsa	IndIpfSg2
otsa kihutama	kihutasime otsa	IndIpfPl1
otsa kihutama	kihutasin otsa	IndIpfSg1
otsa kihutama	kihutasite otsa	IndIpfPl2
otsa kihutama	kihutata otsa	IndPrIps_
otsa kihutama	kihutatagu otsa	ImpPrIps
otsa kihutama	kihutataks otsa	KndPrIps
otsa kihutama	kihutatakse otsa	IndPrIps
otsa kihutama	kihutatavat otsa	KvtPrIps
otsa kihutama	kihutate otsa	IndPrPl2
otsa kihutama	kihutati otsa	IndIpfIps
otsa kihutama	kihutatud otsa	PtsPtIpsNeg
otsa kihutama	kihutatuks otsa	KndPtIps
otsa kihutama	kihutatuvat otsa	KvtPtIps
otsa kihutama	kihutavad otsa	IndPrPl3
otsa kihutama	kihutavat otsa	KvtPrPs
otsa kihutama	otsa kihutada	Inf
otsa kihutama	otsa kihutades	Ger
otsa kihutama	otsa kihutama	Sup
otsa kihutama	otsa kihutamaks	SupTr
otsa kihutama	otsa kihutamas	SupIn
otsa kihutama	otsa kihutamast	SupEl
otsa kihutama	otsa kihutamata	SupAb
otsa kihutama	otsa kihutanud	PtsPtPs
otsa kihutama	otsa kihutatama	SupIps
otsa kihutama	otsa kihutatav	PtsPrIps
otsa kihutama	otsa kihutatud	PtsPtIps
otsa kihutama	otsa kihutav	PtsPrPs
