lemma	form	morph_code
assaneerima	assaneeri	ImpPrSg2
assaneerima	assaneeri	IndPrPs_
assaneerima	assaneerib	IndPrSg3
assaneerima	assaneerid	IndPrSg2
assaneerima	assaneerida	Inf
assaneerima	assaneerides	Ger
assaneerima	assaneerige	ImpPrPl2
assaneerima	assaneerigem	ImpPrPl1
assaneerima	assaneerigu	ImpPrPs
assaneerima	assaneeriks	KndPrPs
assaneerima	assaneeriksid	KndPrPl3
assaneerima	assaneeriksid	KndPrSg2
assaneerima	assaneeriksime	KndPrPl1
assaneerima	assaneeriksin	KndPrSg1
assaneerima	assaneeriksite	KndPrPl2
assaneerima	assaneerima	Sup
assaneerima	assaneerimaks	SupTr
assaneerima	assaneerimas	SupIn
assaneerima	assaneerimast	SupEl
assaneerima	assaneerimata	SupAb
assaneerima	assaneerime	IndPrPl1
assaneerima	assaneerin	IndPrSg1
assaneerima	assaneerinud	PtsPtPs
assaneerima	assaneerinud	PtsPtPsNeg
assaneerima	assaneerinuks	KndPtPs
assaneerima	assaneerinuksid	KndPtPl3
assaneerima	assaneerinuksid	KndPtSg2
assaneerima	assaneerinuksime	KndPtPl1
assaneerima	assaneerinuksin	KndPtSg1
assaneerima	assaneerinuksite	KndPtPl2
assaneerima	assaneerinuvat	KvtPtPs
assaneerima	assaneeris	IndIpfSg3
assaneerima	assaneerisid	IndIpfPl3
assaneerima	assaneerisid	IndIpfSg2
assaneerima	assaneerisime	IndIpfPl1
assaneerima	assaneerisin	IndIpfSg1
assaneerima	assaneerisite	IndIpfPl2
assaneerima	assaneerita	IndPrIps_
assaneerima	assaneeritagu	ImpPrIps
assaneerima	assaneeritaks	KndPrIps
assaneerima	assaneeritakse	IndPrIps
assaneerima	assaneeritama	SupIps
assaneerima	assaneeritav	PtsPrIps
assaneerima	assaneeritavat	KvtPrIps
assaneerima	assaneerite	IndPrPl2
assaneerima	assaneeriti	IndIpfIps
assaneerima	assaneeritud	PtsPtIps
assaneerima	assaneeritud	PtsPtIpsNeg
assaneerima	assaneerituks	KndPtIps
assaneerima	assaneerituvat	KvtPtIps
assaneerima	assaneeriv	PtsPrPs
assaneerima	assaneerivad	IndPrPl3
assaneerima	assaneerivat	KvtPrPs
