lemma	form	morph_code
endale haarama	endale haarama	Sup
endale haarama	endale haaramaks	SupTr
endale haarama	endale haaramas	SupIn
endale haarama	endale haaramast	SupEl
endale haarama	endale haaramata	SupAb
endale haarama	endale haaranud	PtsPtPs
endale haarama	endale haarata	Inf
endale haarama	endale haaratama	SupIps
endale haarama	endale haaratav	PtsPrIps
endale haarama	endale haarates	Ger
endale haarama	endale haaratud	PtsPtIps
endale haarama	endale haarav	PtsPrPs
endale haarama	haara endale	ImpPrSg2
endale haarama	haara endale	IndPrPs_
endale haarama	haarab endale	IndPrSg3
endale haarama	haarad endale	IndPrSg2
endale haarama	haarake endale	ImpPrPl2
endale haarama	haarakem endale	ImpPrPl1
endale haarama	haaraks endale	KndPrPs
endale haarama	haaraksid endale	KndPrPl3
endale haarama	haaraksid endale	KndPrSg2
endale haarama	haaraksime endale	KndPrPl1
endale haarama	haaraksin endale	KndPrSg1
endale haarama	haaraksite endale	KndPrPl2
endale haarama	haaraku endale	ImpPrPs
endale haarama	haarame endale	IndPrPl1
endale haarama	haaran endale	IndPrSg1
endale haarama	haaranud endale	PtsPtPsNeg
endale haarama	haaranuks endale	KndPtPs
endale haarama	haaranuksid endale	KndPtPl3
endale haarama	haaranuksid endale	KndPtSg2
endale haarama	haaranuksime endale	KndPtPl1
endale haarama	haaranuksin endale	KndPtSg1
endale haarama	haaranuksite endale	KndPtPl2
endale haarama	haaranuvat endale	KvtPtPs
endale haarama	haaras endale	IndIpfSg3
endale haarama	haarasid endale	IndIpfPl3
endale haarama	haarasid endale	IndIpfSg2
endale haarama	haarasime endale	IndIpfPl1
endale haarama	haarasin endale	IndIpfSg1
endale haarama	haarasite endale	IndIpfPl2
endale haarama	haarata endale	IndPrIps_
endale haarama	haaratagu endale	ImpPrIps
endale haarama	haarataks endale	KndPrIps
endale haarama	haaratakse endale	IndPrIps
endale haarama	haaratavat endale	KvtPrIps
endale haarama	haarate endale	IndPrPl2
endale haarama	haarati endale	IndIpfIps
endale haarama	haaratud endale	PtsPtIpsNeg
endale haarama	haaratuks endale	KndPtIps
endale haarama	haaratuvat endale	KvtPtIps
endale haarama	haaravad endale	IndPrPl3
endale haarama	haaravat endale	KvtPrPs
