lemma	form	morph_code
kämmalvaher	-	SgAdt
kämmalvaher	kämmalvaher	SgN
kämmalvaher	kämmalvahtra	SgG
kämmalvaher	kämmalvahtrad	PlN
kämmalvaher	kämmalvahtraga	SgKom
kämmalvaher	kämmalvahtraid	PlP
kämmalvaher	kämmalvahtraiks	PlTr
kämmalvaher	kämmalvahtrail	PlAd
kämmalvaher	kämmalvahtraile	PlAll
kämmalvaher	kämmalvahtrailt	PlAbl
kämmalvaher	kämmalvahtrais	PlIn
kämmalvaher	kämmalvahtraisse	PlIll
kämmalvaher	kämmalvahtraist	PlEl
kämmalvaher	kämmalvahtraks	SgTr
kämmalvaher	kämmalvahtral	SgAd
kämmalvaher	kämmalvahtrale	SgAll
kämmalvaher	kämmalvahtralt	SgAbl
kämmalvaher	kämmalvahtrana	SgEs
kämmalvaher	kämmalvahtrani	SgTer
kämmalvaher	kämmalvahtras	SgIn
kämmalvaher	kämmalvahtrasse	SgIll
kämmalvaher	kämmalvahtrast	SgEl
kämmalvaher	kämmalvahtrat	SgP
kämmalvaher	kämmalvahtrata	SgAb
kämmalvaher	kämmalvahtrate	PlG
kämmalvaher	kämmalvahtratega	PlKom
kämmalvaher	kämmalvahtrateks	PlTr
kämmalvaher	kämmalvahtratel	PlAd
kämmalvaher	kämmalvahtratele	PlAll
kämmalvaher	kämmalvahtratelt	PlAbl
kämmalvaher	kämmalvahtratena	PlEs
kämmalvaher	kämmalvahtrateni	PlTer
kämmalvaher	kämmalvahtrates	PlIn
kämmalvaher	kämmalvahtratesse	PlIll
kämmalvaher	kämmalvahtratest	PlEl
kämmalvaher	kämmalvahtrateta	PlAb
