lemma	form	morph_code
sõrmlema	sõrmelda	IndPrIps_
sõrmlema	sõrmelda	Inf
sõrmlema	sõrmeldagu	ImpPrIps
sõrmlema	sõrmeldaks	KndPrIps
sõrmlema	sõrmeldakse	IndPrIps
sõrmlema	sõrmeldama	SupIps
sõrmlema	sõrmeldav	PtsPrIps
sõrmlema	sõrmeldavat	KvtPrIps
sõrmlema	sõrmeldes	Ger
sõrmlema	sõrmeldi	IndIpfIps
sõrmlema	sõrmeldud	PtsPtIps
sõrmlema	sõrmeldud	PtsPtIpsNeg
sõrmlema	sõrmelduks	KndPtIps
sõrmlema	sõrmelduvat	KvtPtIps
sõrmlema	sõrmelge	ImpPrPl2
sõrmlema	sõrmelgem	ImpPrPl1
sõrmlema	sõrmelgu	ImpPrPs
sõrmlema	sõrmelnud	PtsPtPs
sõrmlema	sõrmelnud	PtsPtPsNeg
sõrmlema	sõrmelnuks	KndPtPs
sõrmlema	sõrmelnuksid	KndPtPl3
sõrmlema	sõrmelnuksid	KndPtSg2
sõrmlema	sõrmelnuksime	KndPtPl1
sõrmlema	sõrmelnuksin	KndPtSg1
sõrmlema	sõrmelnuksite	KndPtPl2
sõrmlema	sõrmelnuvat	KvtPtPs
sõrmlema	sõrmle	ImpPrSg2
sõrmlema	sõrmle	IndPrPs_
sõrmlema	sõrmleb	IndPrSg3
sõrmlema	sõrmled	IndPrSg2
sõrmlema	sõrmleks	KndPrPs
sõrmlema	sõrmleksid	KndPrPl3
sõrmlema	sõrmleksid	KndPrSg2
sõrmlema	sõrmleksime	KndPrPl1
sõrmlema	sõrmleksin	KndPrSg1
sõrmlema	sõrmleksite	KndPrPl2
sõrmlema	sõrmlema	Sup
sõrmlema	sõrmlemaks	SupTr
sõrmlema	sõrmlemas	SupIn
sõrmlema	sõrmlemast	SupEl
sõrmlema	sõrmlemata	SupAb
sõrmlema	sõrmleme	IndPrPl1
sõrmlema	sõrmlen	IndPrSg1
sõrmlema	sõrmles	IndIpfSg3
sõrmlema	sõrmlesid	IndIpfPl3
sõrmlema	sõrmlesid	IndIpfSg2
sõrmlema	sõrmlesime	IndIpfPl1
sõrmlema	sõrmlesin	IndIpfSg1
sõrmlema	sõrmlesite	IndIpfPl2
sõrmlema	sõrmlete	IndPrPl2
sõrmlema	sõrmlev	PtsPrPs
sõrmlema	sõrmlevad	IndPrPl3
sõrmlema	sõrmlevat	KvtPrPs
