lemma	form	morph_code
ebelema	ebelda	IndPrIps_
ebelema	ebelda	Inf
ebelema	ebeldagu	ImpPrIps
ebelema	ebeldaks	KndPrIps
ebelema	ebeldakse	IndPrIps
ebelema	ebeldama	SupIps
ebelema	ebeldav	PtsPrIps
ebelema	ebeldavat	KvtPrIps
ebelema	ebeldes	Ger
ebelema	ebeldi	IndIpfIps
ebelema	ebeldud	PtsPtIps
ebelema	ebeldud	PtsPtIpsNeg
ebelema	ebelduks	KndPtIps
ebelema	ebelduvat	KvtPtIps
ebelema	ebele	ImpPrSg2
ebelema	ebele	IndPrPs_
ebelema	ebeleb	IndPrSg3
ebelema	ebeled	IndPrSg2
ebelema	ebeleda	Inf
ebelema	ebeledes	Ger
ebelema	ebelege	ImpPrPl2
ebelema	ebelegem	ImpPrPl1
ebelema	ebelegu	ImpPrPs
ebelema	ebeleks	KndPrPs
ebelema	ebeleksid	KndPrPl3
ebelema	ebeleksid	KndPrSg2
ebelema	ebeleksime	KndPrPl1
ebelema	ebeleksin	KndPrSg1
ebelema	ebeleksite	KndPrPl2
ebelema	ebelema	Sup
ebelema	ebelemaks	SupTr
ebelema	ebelemas	SupIn
ebelema	ebelemast	SupEl
ebelema	ebelemata	SupAb
ebelema	ebeleme	IndPrPl1
ebelema	ebelen	IndPrSg1
ebelema	ebelenud	PtsPtPs
ebelema	ebelenud	PtsPtPsNeg
ebelema	ebelenuks	KndPtPs
ebelema	ebelenuksid	KndPtPl3
ebelema	ebelenuksid	KndPtSg2
ebelema	ebelenuksime	KndPtPl1
ebelema	ebelenuksin	KndPtSg1
ebelema	ebelenuksite	KndPtPl2
ebelema	ebelenuvat	KvtPtPs
ebelema	ebeles	IndIpfSg3
ebelema	ebelesid	IndIpfPl3
ebelema	ebelesid	IndIpfSg2
ebelema	ebelesime	IndIpfPl1
ebelema	ebelesin	IndIpfSg1
ebelema	ebelesite	IndIpfPl2
ebelema	ebeleta	IndPrIps_
ebelema	ebeletagu	ImpPrIps
ebelema	ebeletaks	KndPrIps
ebelema	ebeletakse	IndPrIps
ebelema	ebeletama	SupIps
ebelema	ebeletav	PtsPrIps
ebelema	ebeletavat	KvtPrIps
ebelema	ebelete	IndPrPl2
ebelema	ebeleti	IndIpfIps
ebelema	ebeletud	PtsPtIps
ebelema	ebeletud	PtsPtIpsNeg
ebelema	ebeletuks	KndPtIps
ebelema	ebeletuvat	KvtPtIps
ebelema	ebelev	PtsPrPs
ebelema	ebelevad	IndPrPl3
ebelema	ebelevat	KvtPrPs
ebelema	ebelge	ImpPrPl2
ebelema	ebelgem	ImpPrPl1
ebelema	ebelgu	ImpPrPs
ebelema	ebelnud	PtsPtPs
ebelema	ebelnud	PtsPtPsNeg
ebelema	ebelnuks	KndPtPs
ebelema	ebelnuksid	KndPtPl3
ebelema	ebelnuksid	KndPtSg2
ebelema	ebelnuksime	KndPtPl1
ebelema	ebelnuksin	KndPtSg1
ebelema	ebelnuksite	KndPtPl2
ebelema	ebelnuvat	KvtPtPs
