lemma	form	morph_code
jooksma	jookse	ImpPrSg2
jooksma	jookse	IndPrPs_
jooksma	jookseb	IndPrSg3
jooksma	jooksed	IndPrSg2
jooksma	jookseks	KndPrPs
jooksma	jookseksid	KndPrPl3
jooksma	jookseksid	KndPrSg2
jooksma	jookseksime	KndPrPl1
jooksma	jookseksin	KndPrSg1
jooksma	jookseksite	KndPrPl2
jooksma	jookseme	IndPrPl1
jooksma	jooksen	IndPrSg1
jooksma	jooksete	IndPrPl2
jooksma	jooksev	PtsPrPs
jooksma	jooksevad	IndPrPl3
jooksma	jooksid	IndIpfPl3
jooksma	jooksid	IndIpfSg2
jooksma	jooksime	IndIpfPl1
jooksma	jooksin	IndIpfSg1
jooksma	jooksis	IndIpfSg3
jooksma	jooksite	IndIpfPl2
jooksma	jookske	ImpPrPl2
jooksma	jookskem	ImpPrPl1
jooksma	jooksku	ImpPrPs
jooksma	jooksma	Sup
jooksma	jooksmaks	SupTr
jooksma	jooksmas	SupIn
jooksma	jooksmast	SupEl
jooksma	jooksmata	SupAb
jooksma	jooksnud	PtsPtPs
jooksma	jooksnud	PtsPtPsNeg
jooksma	jooksnuks	KndPtPs
jooksma	jooksnuksid	KndPtPl3
jooksma	jooksnuksid	KndPtSg2
jooksma	jooksnuksime	KndPtPl1
jooksma	jooksnuksin	KndPtSg1
jooksma	jooksnuksite	KndPtPl2
jooksma	jooksnuvat	KvtPtPs
jooksma	jooksvat	KvtPrPs
jooksma	joosta	IndPrIps_
jooksma	joosta	Inf
jooksma	joostagu	ImpPrIps
jooksma	joostaks	KndPrIps
jooksma	joostakse	IndPrIps
jooksma	joostama	SupIps
jooksma	joostav	PtsPrIps
jooksma	joostavat	KvtPrIps
jooksma	joostes	Ger
jooksma	joosti	IndIpfIps
jooksma	joostud	PtsPtIps
jooksma	joostud	PtsPtIpsNeg
jooksma	joostuks	KndPtIps
jooksma	joostuvat	KvtPtIps
