lemma	form	morph_code
käänma	kääna	ImpPrSg2
käänma	kääna	IndPrPs_
käänma	käänab	IndPrSg3
käänma	käänad	IndPrSg2
käänma	käänaks	KndPrPs
käänma	käänaksid	KndPrPl3
käänma	käänaksid	KndPrSg2
käänma	käänaksime	KndPrPl1
käänma	käänaksin	KndPrSg1
käänma	käänaksite	KndPrPl2
käänma	kääname	IndPrPl1
käänma	käänan	IndPrSg1
käänma	käänate	IndPrPl2
käänma	käänavad	IndPrPl3
käänma	käända	IndPrIps_
käänma	käända	Inf
käänma	käändagu	ImpPrIps
käänma	käändaks	KndPrIps
käänma	käändakse	IndPrIps
käänma	käändama	SupIps
käänma	käändav	PtsPrIps
käänma	käändavat	KvtPrIps
käänma	käändes	Ger
käänma	käändi	IndIpfIps
käänma	käändud	PtsPtIps
käänma	käändud	PtsPtIpsNeg
käänma	käänduks	KndPtIps
käänma	käänduvat	KvtPtIps
käänma	käänev	PtsPrPs
käänma	käänge	ImpPrPl2
käänma	käängem	ImpPrPl1
käänma	käängu	ImpPrPs
käänma	käänis	IndIpfSg3
käänma	käänma	Sup
käänma	käänmaks	SupTr
käänma	käänmas	SupIn
käänma	käänmast	SupEl
käänma	käänmata	SupAb
käänma	käännud	PtsPtPs
käänma	käännud	PtsPtPsNeg
käänma	käännuks	KndPtPs
käänma	käännuksid	KndPtPl3
käänma	käännuksid	KndPtSg2
käänma	käännuksime	KndPtPl1
käänma	käännuksin	KndPtSg1
käänma	käännuksite	KndPtPl2
käänma	käännuvat	KvtPtPs
käänma	käänsid	IndIpfPl3
käänma	käänsid	IndIpfSg2
käänma	käänsime	IndIpfPl1
käänma	käänsin	IndIpfSg1
käänma	käänsite	IndIpfPl2
käänma	käänvat	KvtPrPs
