lemma	form	morph_code
küljest murdma	küljest murda	Inf
küljest murdma	küljest murdes	Ger
küljest murdma	küljest murdev	PtsPrPs
küljest murdma	küljest murdma	Sup
küljest murdma	küljest murdmaks	SupTr
küljest murdma	küljest murdmas	SupIn
küljest murdma	küljest murdmast	SupEl
küljest murdma	küljest murdmata	SupAb
küljest murdma	küljest murdnud	PtsPtPs
küljest murdma	küljest murtama	SupIps
küljest murdma	küljest murtav	PtsPrIps
küljest murdma	küljest murtud	PtsPtIps
küljest murdma	murdis küljest	IndIpfSg3
küljest murdma	murdke küljest	ImpPrPl2
küljest murdma	murdkem küljest	ImpPrPl1
küljest murdma	murdku küljest	ImpPrPs
küljest murdma	murdnud küljest	PtsPtPsNeg
küljest murdma	murdnuks küljest	KndPtPs
küljest murdma	murdnuksid küljest	KndPtPl3
küljest murdma	murdnuksid küljest	KndPtSg2
küljest murdma	murdnuksime küljest	KndPtPl1
küljest murdma	murdnuksin küljest	KndPtSg1
küljest murdma	murdnuksite küljest	KndPtPl2
küljest murdma	murdnuvat küljest	KvtPtPs
küljest murdma	murdsid küljest	IndIpfPl3
küljest murdma	murdsid küljest	IndIpfSg2
küljest murdma	murdsime küljest	IndIpfPl1
küljest murdma	murdsin küljest	IndIpfSg1
küljest murdma	murdsite küljest	IndIpfPl2
küljest murdma	murdvat küljest	KvtPrPs
küljest murdma	murra küljest	ImpPrSg2
küljest murdma	murra küljest	IndPrPs_
küljest murdma	murrab küljest	IndPrSg3
küljest murdma	murrad küljest	IndPrSg2
küljest murdma	murraks küljest	KndPrPs
küljest murdma	murraksid küljest	KndPrPl3
küljest murdma	murraksid küljest	KndPrSg2
küljest murdma	murraksime küljest	KndPrPl1
küljest murdma	murraksin küljest	KndPrSg1
küljest murdma	murraksite küljest	KndPrPl2
küljest murdma	murrame küljest	IndPrPl1
küljest murdma	murran küljest	IndPrSg1
küljest murdma	murrate küljest	IndPrPl2
küljest murdma	murravad küljest	IndPrPl3
küljest murdma	murta küljest	IndPrIps_
küljest murdma	murtagu küljest	ImpPrIps
küljest murdma	murtaks küljest	KndPrIps
küljest murdma	murtakse küljest	IndPrIps
küljest murdma	murtavat küljest	KvtPrIps
küljest murdma	murti küljest	IndIpfIps
küljest murdma	murtud küljest	PtsPtIpsNeg
küljest murdma	murtuks küljest	KndPtIps
küljest murdma	murtuvat küljest	KvtPtIps
