lemma	form	morph_code
seene peale jätma	jäeta seene peale	IndPrIps_
seene peale jätma	jäetagu seene peale	ImpPrIps
seene peale jätma	jäetaks seene peale	KndPrIps
seene peale jätma	jäetakse seene peale	IndPrIps
seene peale jätma	jäetavat seene peale	KvtPrIps
seene peale jätma	jäeti seene peale	IndIpfIps
seene peale jätma	jäetud seene peale	PtsPtIpsNeg
seene peale jätma	jäetuks seene peale	KndPtIps
seene peale jätma	jäetuvat seene peale	KvtPtIps
seene peale jätma	jäta seene peale	ImpPrSg2
seene peale jätma	jäta seene peale	IndPrPs_
seene peale jätma	jätab seene peale	IndPrSg3
seene peale jätma	jätad seene peale	IndPrSg2
seene peale jätma	jätaks seene peale	KndPrPs
seene peale jätma	jätaksid seene peale	KndPrPl3
seene peale jätma	jätaksid seene peale	KndPrSg2
seene peale jätma	jätaksime seene peale	KndPrPl1
seene peale jätma	jätaksin seene peale	KndPrSg1
seene peale jätma	jätaksite seene peale	KndPrPl2
seene peale jätma	jätame seene peale	IndPrPl1
seene peale jätma	jätan seene peale	IndPrSg1
seene peale jätma	jätate seene peale	IndPrPl2
seene peale jätma	jätavad seene peale	IndPrPl3
seene peale jätma	jätke seene peale	ImpPrPl2
seene peale jätma	jätkem seene peale	ImpPrPl1
seene peale jätma	jätku seene peale	ImpPrPs
seene peale jätma	jätnud seene peale	PtsPtPsNeg
seene peale jätma	jätnuks seene peale	KndPtPs
seene peale jätma	jätnuksid seene peale	KndPtPl3
seene peale jätma	jätnuksid seene peale	KndPtSg2
seene peale jätma	jätnuksime seene peale	KndPtPl1
seene peale jätma	jätnuksin seene peale	KndPtSg1
seene peale jätma	jätnuksite seene peale	KndPtPl2
seene peale jätma	jätnuvat seene peale	KvtPtPs
seene peale jätma	jätsid seene peale	IndIpfPl3
seene peale jätma	jätsid seene peale	IndIpfSg2
seene peale jätma	jätsime seene peale	IndIpfPl1
seene peale jätma	jätsin seene peale	IndIpfSg1
seene peale jätma	jätsite seene peale	IndIpfPl2
seene peale jätma	jättis seene peale	IndIpfSg3
seene peale jätma	jätvat seene peale	KvtPrPs
seene peale jätma	seene peale jäetama	SupIps
seene peale jätma	seene peale jäetav	PtsPrIps
seene peale jätma	seene peale jäetud	PtsPtIps
seene peale jätma	seene peale jätma	Sup
seene peale jätma	seene peale jätmaks	SupTr
seene peale jätma	seene peale jätmas	SupIn
seene peale jätma	seene peale jätmast	SupEl
seene peale jätma	seene peale jätmata	SupAb
seene peale jätma	seene peale jätnud	PtsPtPs
seene peale jätma	seene peale jätta	Inf
seene peale jätma	seene peale jättes	Ger
seene peale jätma	seene peale jättev	PtsPrPs
