lemma	form	morph_code
tallele panema	panda tallele	IndPrIps_
tallele panema	pandagu tallele	ImpPrIps
tallele panema	pandaks tallele	KndPrIps
tallele panema	pandavat tallele	KvtPrIps
tallele panema	pandi tallele	IndIpfIps
tallele panema	pandud tallele	PtsPtIpsNeg
tallele panema	panduks tallele	KndPtIps
tallele panema	panduvat tallele	KvtPtIps
tallele panema	pane tallele	ImpPrSg2
tallele panema	pane tallele	IndPrPs_
tallele panema	paneb tallele	IndPrSg3
tallele panema	paned tallele	IndPrSg2
tallele panema	paneks tallele	KndPrPs
tallele panema	paneksid tallele	KndPrPl3
tallele panema	paneksid tallele	KndPrSg2
tallele panema	paneksime tallele	KndPrPl1
tallele panema	paneksin tallele	KndPrSg1
tallele panema	paneksite tallele	KndPrPl2
tallele panema	paneme tallele	IndPrPl1
tallele panema	panen tallele	IndPrSg1
tallele panema	panete tallele	IndPrPl2
tallele panema	panevad tallele	IndPrPl3
tallele panema	panevat tallele	KvtPrPs
tallele panema	pange tallele	ImpPrPl2
tallele panema	pangem tallele	ImpPrPl1
tallele panema	pangu tallele	ImpPrPs
tallele panema	pani tallele	IndIpfSg3
tallele panema	panid tallele	IndIpfPl3
tallele panema	panid tallele	IndIpfSg2
tallele panema	panime tallele	IndIpfPl1
tallele panema	panin tallele	IndIpfSg1
tallele panema	panite tallele	IndIpfPl2
tallele panema	pannakse tallele	IndPrIps
tallele panema	pannud tallele	PtsPtPsNeg
tallele panema	pannuks tallele	KndPtPs
tallele panema	pannuksid tallele	KndPtPl3
tallele panema	pannuksid tallele	KndPtSg2
tallele panema	pannuksime tallele	KndPtPl1
tallele panema	pannuksin tallele	KndPtSg1
tallele panema	pannuksite tallele	KndPtPl2
tallele panema	pannuvat tallele	KvtPtPs
tallele panema	tallele pandama	SupIps
tallele panema	tallele pandav	PtsPrIps
tallele panema	tallele pandud	PtsPtIps
tallele panema	tallele panema	Sup
tallele panema	tallele panemaks	SupTr
tallele panema	tallele panemas	SupIn
tallele panema	tallele panemast	SupEl
tallele panema	tallele panemata	SupAb
tallele panema	tallele panev	PtsPrPs
tallele panema	tallele panna	Inf
tallele panema	tallele pannes	Ger
tallele panema	tallele pannud	PtsPtPs
