lemma	form	morph_code
vait jääma	jäi vait	IndIpfSg3
vait jääma	jäid vait	IndIpfPl3
vait jääma	jäid vait	IndIpfSg2
vait jääma	jäime vait	IndIpfPl1
vait jääma	jäin vait	IndIpfSg1
vait jääma	jäite vait	IndIpfPl2
vait jääma	jää vait	ImpPrSg2
vait jääma	jää vait	IndPrPs_
vait jääma	jääb vait	IndPrSg3
vait jääma	jääd vait	IndPrSg2
vait jääma	jääda vait	IndPrIps_
vait jääma	jäädagu vait	ImpPrIps
vait jääma	jäädaks vait	KndPrIps
vait jääma	jäädakse vait	IndPrIps
vait jääma	jäädavat vait	KvtPrIps
vait jääma	jäädi vait	IndIpfIps
vait jääma	jäädud vait	PtsPtIpsNeg
vait jääma	jääduks vait	KndPtIps
vait jääma	jääduvat vait	KvtPtIps
vait jääma	jääge vait	ImpPrPl2
vait jääma	jäägem vait	ImpPrPl1
vait jääma	jäägu vait	ImpPrPs
vait jääma	jääks vait	KndPrPs
vait jääma	jääksid vait	KndPrPl3
vait jääma	jääksid vait	KndPrSg2
vait jääma	jääksime vait	KndPrPl1
vait jääma	jääksin vait	KndPrSg1
vait jääma	jääksite vait	KndPrPl2
vait jääma	jääme vait	IndPrPl1
vait jääma	jään vait	IndPrSg1
vait jääma	jäänud vait	PtsPtPsNeg
vait jääma	jäänuks vait	KndPtPs
vait jääma	jäänuksid vait	KndPtPl3
vait jääma	jäänuksid vait	KndPtSg2
vait jääma	jäänuksime vait	KndPtPl1
vait jääma	jäänuksin vait	KndPtSg1
vait jääma	jäänuksite vait	KndPtPl2
vait jääma	jäänuvat vait	KvtPtPs
vait jääma	jääte vait	IndPrPl2
vait jääma	jäävad vait	IndPrPl3
vait jääma	jäävat vait	KvtPrPs
vait jääma	vait jääda	Inf
vait jääma	vait jäädama	SupIps
vait jääma	vait jäädav	PtsPrIps
vait jääma	vait jäädes	Ger
vait jääma	vait jäädud	PtsPtIps
vait jääma	vait jääma	Sup
vait jääma	vait jäämaks	SupTr
vait jääma	vait jäämas	SupIn
vait jääma	vait jäämast	SupEl
vait jääma	vait jäämata	SupAb
vait jääma	vait jäänud	PtsPtPs
vait jääma	vait jääv	PtsPrPs
