lemma	form	morph_code
nagu tuld tooma	nagu tuld toodama	SupIps
nagu tuld tooma	nagu tuld toodav	PtsPrIps
nagu tuld tooma	nagu tuld toodud	PtsPtIps
nagu tuld tooma	nagu tuld tooma	Sup
nagu tuld tooma	nagu tuld toomaks	SupTr
nagu tuld tooma	nagu tuld toomas	SupIn
nagu tuld tooma	nagu tuld toomast	SupEl
nagu tuld tooma	nagu tuld toomata	SupAb
nagu tuld tooma	nagu tuld toonud	PtsPtPs
nagu tuld tooma	nagu tuld toov	PtsPrPs
nagu tuld tooma	nagu tuld tuua	Inf
nagu tuld tooma	nagu tuld tuues	Ger
nagu tuld tooma	too nagu tuld	ImpPrSg2
nagu tuld tooma	too nagu tuld	IndPrPs_
nagu tuld tooma	toob nagu tuld	IndPrSg3
nagu tuld tooma	tood nagu tuld	IndPrSg2
nagu tuld tooma	tooda nagu tuld	IndPrIps_
nagu tuld tooma	toodagu nagu tuld	ImpPrIps
nagu tuld tooma	toodaks nagu tuld	KndPrIps
nagu tuld tooma	toodavat nagu tuld	KvtPrIps
nagu tuld tooma	toodi nagu tuld	IndIpfIps
nagu tuld tooma	toodud nagu tuld	PtsPtIpsNeg
nagu tuld tooma	tooduks nagu tuld	KndPtIps
nagu tuld tooma	tooduvat nagu tuld	KvtPtIps
nagu tuld tooma	tooge nagu tuld	ImpPrPl2
nagu tuld tooma	toogem nagu tuld	ImpPrPl1
nagu tuld tooma	toogu nagu tuld	ImpPrPs
nagu tuld tooma	tooks nagu tuld	KndPrPs
nagu tuld tooma	tooksid nagu tuld	KndPrPl3
nagu tuld tooma	tooksid nagu tuld	KndPrSg2
nagu tuld tooma	tooksime nagu tuld	KndPrPl1
nagu tuld tooma	tooksin nagu tuld	KndPrSg1
nagu tuld tooma	tooksite nagu tuld	KndPrPl2
nagu tuld tooma	toome nagu tuld	IndPrPl1
nagu tuld tooma	toon nagu tuld	IndPrSg1
nagu tuld tooma	toonud nagu tuld	PtsPtPsNeg
nagu tuld tooma	toonuks nagu tuld	KndPtPs
nagu tuld tooma	toonuksid nagu tuld	KndPtPl3
nagu tuld tooma	toonuksid nagu tuld	KndPtSg2
nagu tuld tooma	toonuksime nagu tuld	KndPtPl1
nagu tuld tooma	toonuksin nagu tuld	KndPtSg1
nagu tuld tooma	toonuksite nagu tuld	KndPtPl2
nagu tuld tooma	toonuvat nagu tuld	KvtPtPs
nagu tuld tooma	toote nagu tuld	IndPrPl2
nagu tuld tooma	toovad nagu tuld	IndPrPl3
nagu tuld tooma	toovat nagu tuld	KvtPrPs
nagu tuld tooma	tuuakse nagu tuld	IndPrIps
nagu tuld tooma	tõi nagu tuld	IndIpfSg3
nagu tuld tooma	tõid nagu tuld	IndIpfPl3
nagu tuld tooma	tõid nagu tuld	IndIpfSg2
nagu tuld tooma	tõime nagu tuld	IndIpfPl1
nagu tuld tooma	tõin nagu tuld	IndIpfSg1
nagu tuld tooma	tõite nagu tuld	IndIpfPl2
