lemma	form	morph_code
prügilade	-	SgAdt
prügilade	prügilade	SgN
prügilade	prügilademe	SgG
prügilade	prügilademed	PlN
prügilade	prügilademega	SgKom
prügilade	prügilademeid	PlP
prügilade	prügilademeiks	PlTr
prügilade	prügilademeil	PlAd
prügilade	prügilademeile	PlAll
prügilade	prügilademeilt	PlAbl
prügilade	prügilademeis	PlIn
prügilade	prügilademeisse	PlIll
prügilade	prügilademeist	PlEl
prügilade	prügilademeks	SgTr
prügilade	prügilademel	SgAd
prügilade	prügilademele	SgAll
prügilade	prügilademelt	SgAbl
prügilade	prügilademena	SgEs
prügilade	prügilademeni	SgTer
prügilade	prügilademes	SgIn
prügilade	prügilademesse	SgIll
prügilade	prügilademest	SgEl
prügilade	prügilademeta	SgAb
prügilade	prügilademete	PlG
prügilade	prügilademetega	PlKom
prügilade	prügilademeteks	PlTr
prügilade	prügilademetel	PlAd
prügilade	prügilademetele	PlAll
prügilade	prügilademetelt	PlAbl
prügilade	prügilademetena	PlEs
prügilade	prügilademeteni	PlTer
prügilade	prügilademetes	PlIn
prügilade	prügilademetesse	PlIll
prügilade	prügilademetest	PlEl
prügilade	prügilademeteta	PlAb
prügilade	prügiladet	SgP
