lemma	form	morph_code
hitse	-	SgAdt
hitse	hitse	SgN
hitse	hitset	SgP
hitse	hitsme	SgG
hitse	hitsmed	PlN
hitse	hitsmega	SgKom
hitse	hitsmeid	PlP
hitse	hitsmeiks	PlTr
hitse	hitsmeil	PlAd
hitse	hitsmeile	PlAll
hitse	hitsmeilt	PlAbl
hitse	hitsmeis	PlIn
hitse	hitsmeisse	PlIll
hitse	hitsmeist	PlEl
hitse	hitsmeks	SgTr
hitse	hitsmel	SgAd
hitse	hitsmele	SgAll
hitse	hitsmelt	SgAbl
hitse	hitsmena	SgEs
hitse	hitsmeni	SgTer
hitse	hitsmes	SgIn
hitse	hitsmesse	SgIll
hitse	hitsmest	SgEl
hitse	hitsmeta	SgAb
hitse	hitsmete	PlG
hitse	hitsmetega	PlKom
hitse	hitsmeteks	PlTr
hitse	hitsmetel	PlAd
hitse	hitsmetele	PlAll
hitse	hitsmetelt	PlAbl
hitse	hitsmetena	PlEs
hitse	hitsmeteni	PlTer
hitse	hitsmetes	PlIn
hitse	hitsmetesse	PlIll
hitse	hitsmetest	PlEl
hitse	hitsmeteta	PlAb
