lemma	form	morph_code
veade	-	SgAdt
veade	veade	SgN
veade	veadet	SgP
veade	veadete	PlG
veade	veadetega	PlKom
veade	veadeteks	PlTr
veade	veadetel	PlAd
veade	veadetele	PlAll
veade	veadetelt	PlAbl
veade	veadetena	PlEs
veade	veadeteni	PlTer
veade	veadetes	PlIn
veade	veadetesse	PlIll
veade	veadetest	PlEl
veade	veadeteta	PlAb
veade	veate	SgG
veade	veated	PlN
veade	veatega	SgKom
veade	veateid	PlP
veade	veateiks	PlTr
veade	veateil	PlAd
veade	veateile	PlAll
veade	veateilt	PlAbl
veade	veateis	PlIn
veade	veateisse	PlIll
veade	veateist	PlEl
veade	veateks	SgTr
veade	veatel	SgAd
veade	veatele	SgAll
veade	veatelt	SgAbl
veade	veatena	SgEs
veade	veateni	SgTer
veade	veates	SgIn
veade	veatesse	SgIll
veade	veatest	SgEl
veade	veateta	SgAb
