lemma	form	morph_code
pesukatel	-	SgAdt
pesukatel	pesukatel	SgN
pesukatel	pesukatelde	PlG
pesukatel	pesukateldega	PlKom
pesukatel	pesukateldeks	PlTr
pesukatel	pesukateldel	PlAd
pesukatel	pesukateldele	PlAll
pesukatel	pesukateldelt	PlAbl
pesukatel	pesukateldena	PlEs
pesukatel	pesukateldeni	PlTer
pesukatel	pesukateldes	PlIn
pesukatel	pesukateldesse	PlIll
pesukatel	pesukateldest	PlEl
pesukatel	pesukateldeta	PlAb
pesukatel	pesukatelt	SgP
pesukatel	pesukatla	SgG
pesukatel	pesukatlad	PlN
pesukatel	pesukatlaga	SgKom
pesukatel	pesukatlaid	PlP
pesukatel	pesukatlaiks	PlTr
pesukatel	pesukatlail	PlAd
pesukatel	pesukatlaile	PlAll
pesukatel	pesukatlailt	PlAbl
pesukatel	pesukatlais	PlIn
pesukatel	pesukatlaisse	PlIll
pesukatel	pesukatlaist	PlEl
pesukatel	pesukatlaks	SgTr
pesukatel	pesukatlal	SgAd
pesukatel	pesukatlale	SgAll
pesukatel	pesukatlalt	SgAbl
pesukatel	pesukatlana	SgEs
pesukatel	pesukatlani	SgTer
pesukatel	pesukatlas	SgIn
pesukatel	pesukatlasse	SgIll
pesukatel	pesukatlast	SgEl
pesukatel	pesukatlata	SgAb
