[08:23:01] [phase1] starting, 23 sources (heap=427MB sys=460MB)
[08:23:01] [phase1] [1/23] fixture done in 0s (+40 surfaces, total surfaces=40) (heap=430MB sys=464MB)
[08:23:01] [phase1] [2/23] frequency-words-et done in 0s (+53975 surfaces, total surfaces=54015) (heap=532MB sys=569MB)
[08:23:18] [phase1]   hf-err-newsroom: 288 docs, 200529 sentences in this source - flushing to scratch (heap=1224MB sys=1309MB)
[08:23:37] [phase1]   hf-err-newsroom: 573 docs, 200562 sentences in this source - flushing to scratch (heap=1414MB sys=1701MB)
[08:23:56] [phase1]   hf-err-newsroom: 850 docs, 200252 sentences in this source - flushing to scratch (heap=1709MB sys=1979MB)
[08:24:15] [phase1]   hf-err-newsroom: 1139 docs, 200578 sentences in this source - flushing to scratch (heap=1496MB sys=2350MB)
[08:24:34] [phase1]   hf-err-newsroom: 1429 docs, 200352 sentences in this source - flushing to scratch (heap=2350MB sys=2613MB)
[08:24:53] [phase1]   hf-err-newsroom: 1709 docs, 200419 sentences in this source - flushing to scratch (heap=2630MB sys=2858MB)
[08:25:12] [phase1]   hf-err-newsroom: 1990 docs, 200633 sentences in this source - flushing to scratch (heap=2393MB sys=3136MB)
[08:25:29] [phase1] [3/23] hf-err-newsroom done in 2m28s (+3169891 surfaces, total surfaces=3223906) (heap=2066MB sys=3305MB)
[08:25:37] [phase1]   leipzig-et-news-2020: 441 docs, 200079 sentences in this source - flushing to scratch (heap=2815MB sys=3437MB)
[08:25:44] [phase1] [4/23] leipzig-et-news-2020 done in 15s (+66688 surfaces, total surfaces=3290594) (heap=2252MB sys=3437MB)
[08:25:52] [phase1]   leipzig-et-newscrawl-2017: 432 docs, 200041 sentences in this source - flushing to scratch (heap=3120MB sys=3462MB)
[08:26:03] [phase1]   leipzig-et-newscrawl-2017: 853 docs, 200394 sentences in this source - flushing to scratch (heap=2520MB sys=3477MB)
[08:26:13] [phase1]   leipzig-et-newscrawl-2017: 1284 docs, 200053 sentences in this source - flushing to scratch (heap=3257MB sys=3598MB)
[08:26:24] [phase1]   leipzig-et-newscrawl-2017: 1706 docs, 200361 sentences in this source - flushing to scratch (heap=2571MB sys=3680MB)
[08:26:34] [phase1] [5/23] leipzig-et-newscrawl-2017 done in 50s (+435831 surfaces, total surfaces=3726425) (heap=2647MB sys=3851MB)
[08:26:34] [phase1] [6/23] leipzig-et-wikipedia-2021 done in 0s (+0 surfaces, total surfaces=3726425) (heap=2650MB sys=3851MB)
[08:26:34] [phase1] [7/23] lingq-parallel done in 1s (+263 surfaces, total surfaces=3726688) (heap=2687MB sys=3851MB)
[08:26:35] [phase1] [8/23] opus-bible done in 1s (+2860 surfaces, total surfaces=3729548) (heap=2826MB sys=3851MB)
[08:26:44] [phase1]   opus-dochplt: 561 docs, 200219 sentences in this source - flushing to scratch (heap=3641MB sys=3952MB)
[08:26:56] [phase1]   opus-dochplt: 1122 docs, 200063 sentences in this source - flushing to scratch (heap=2712MB sys=4116MB)
[08:27:07] [phase1]   opus-dochplt: 1670 docs, 200055 sentences in this source - flushing to scratch (heap=3282MB sys=4259MB)
[08:27:19] [phase1]   opus-dochplt: 2202 docs, 200103 sentences in this source - flushing to scratch (heap=3885MB sys=4268MB)
[08:27:31] [phase1]   opus-dochplt: 2764 docs, 200278 sentences in this source - flushing to scratch (heap=2758MB sys=4390MB)
[08:27:43] [phase1]   opus-dochplt: 3347 docs, 200179 sentences in this source - flushing to scratch (heap=3438MB sys=4541MB)
[08:27:56] [phase1]   opus-dochplt: 3911 docs, 200120 sentences in this source - flushing to scratch (heap=3979MB sys=4550MB)
[08:28:08] [phase1]   opus-dochplt: 4464 docs, 200143 sentences in this source - flushing to scratch (heap=2557MB sys=4571MB)
[08:28:21] [phase1]   opus-dochplt: 5012 docs, 200256 sentences in this source - flushing to scratch (heap=2985MB sys=4742MB)
[08:28:34] [phase1]   opus-dochplt: 5572 docs, 200219 sentences in this source - flushing to scratch (heap=3374MB sys=4832MB)
[08:28:47] [phase1]   opus-dochplt: 6126 docs, 200024 sentences in this source - flushing to scratch (heap=3791MB sys=4846MB)
[08:29:01] [phase1]   opus-dochplt: 6696 docs, 200016 sentences in this source - flushing to scratch (heap=4282MB sys=4862MB)
[08:29:15] [phase1]   opus-dochplt: 7242 docs, 200196 sentences in this source - flushing to scratch (heap=4528MB sys=4928MB)
[08:29:28] [phase1]   opus-dochplt: 7799 docs, 200144 sentences in this source - flushing to scratch (heap=2790MB sys=4996MB)
[08:29:42] [phase1]   opus-dochplt: 8354 docs, 200303 sentences in this source - flushing to scratch (heap=3086MB sys=5184MB)
[08:29:57] [phase1]   opus-dochplt: 8924 docs, 200227 sentences in this source - flushing to scratch (heap=3519MB sys=5233MB)
[08:30:11] [phase1]   opus-dochplt: 9488 docs, 200228 sentences in this source - flushing to scratch (heap=3770MB sys=5261MB)
[08:30:25] [phase1]   opus-dochplt: 10040 docs, 200222 sentences in this source - flushing to scratch (heap=3997MB sys=5262MB)
[08:30:39] [phase1]   opus-dochplt: 10583 docs, 200201 sentences in this source - flushing to scratch (heap=4111MB sys=5315MB)
[08:30:53] [phase1]   opus-dochplt: 11126 docs, 200217 sentences in this source - flushing to scratch (heap=4200MB sys=5356MB)
[08:31:06] [phase1]   opus-dochplt: 11674 docs, 200039 sentences in this source - flushing to scratch (heap=4224MB sys=5421MB)
[08:31:21] [phase1]   opus-dochplt: 12239 docs, 200020 sentences in this source - flushing to scratch (heap=4347MB sys=5515MB)
[08:31:35] [phase1]   opus-dochplt: 12816 docs, 200301 sentences in this source - flushing to scratch (heap=4384MB sys=5564MB)
[08:31:49] [phase1]   opus-dochplt: 13364 docs, 200269 sentences in this source - flushing to scratch (heap=4370MB sys=5613MB)
[08:32:04] [phase1]   opus-dochplt: 13926 docs, 200445 sentences in this source - flushing to scratch (heap=4392MB sys=5674MB)
[08:32:19] [phase1]   opus-dochplt: 14485 docs, 200099 sentences in this source - flushing to scratch (heap=4430MB sys=5711MB)
[08:32:34] [phase1]   opus-dochplt: 15075 docs, 200217 sentences in this source - flushing to scratch (heap=4505MB sys=5777MB)
[08:32:50] [phase1]   opus-dochplt: 15636 docs, 200103 sentences in this source - flushing to scratch (heap=4455MB sys=5822MB)
[08:33:06] [phase1]   opus-dochplt: 16204 docs, 200251 sentences in this source - flushing to scratch (heap=4376MB sys=5863MB)
[08:33:21] [phase1]   opus-dochplt: 16775 docs, 200205 sentences in this source - flushing to scratch (heap=4192MB sys=5937MB)
[08:33:38] [phase1]   opus-dochplt: 17324 docs, 200348 sentences in this source - flushing to scratch (heap=3998MB sys=5970MB)
[08:33:54] [phase1]   opus-dochplt: 17898 docs, 200117 sentences in this source - flushing to scratch (heap=3870MB sys=6051MB)
[08:34:09] [phase1]   opus-dochplt: 18472 docs, 200087 sentences in this source - flushing to scratch (heap=3687MB sys=6152MB)
[08:34:26] [phase1]   opus-dochplt: 19048 docs, 200089 sentences in this source - flushing to scratch (heap=3446MB sys=6222MB)
[08:34:42] [phase1]   opus-dochplt: 19623 docs, 200047 sentences in this source - flushing to scratch (heap=5914MB sys=6242MB)
[08:34:58] [phase1]   opus-dochplt: 20239 docs, 200232 sentences in this source - flushing to scratch (heap=5768MB sys=6263MB)
[08:35:15] [phase1]   opus-dochplt: 20825 docs, 200365 sentences in this source - flushing to scratch (heap=5626MB sys=6263MB)
[08:35:31] [phase1]   opus-dochplt: 21394 docs, 200036 sentences in this source - flushing to scratch (heap=5515MB sys=6263MB)
[08:35:47] [phase1]   opus-dochplt: 21988 docs, 200152 sentences in this source - flushing to scratch (heap=5377MB sys=6265MB)
[08:36:05] [phase1]   opus-dochplt: 22615 docs, 200293 sentences in this source - flushing to scratch (heap=5308MB sys=6374MB)
[08:36:22] [phase1]   opus-dochplt: 23199 docs, 200154 sentences in this source - flushing to scratch (heap=5152MB sys=6375MB)
[08:36:39] [phase1]   opus-dochplt: 23784 docs, 200064 sentences in this source - flushing to scratch (heap=4889MB sys=6383MB)
[08:36:56] [phase1]   opus-dochplt: 24397 docs, 200197 sentences in this source - flushing to scratch (heap=4580MB sys=6504MB)
[08:37:15] [phase1]   opus-dochplt: 24987 docs, 200102 sentences in this source - flushing to scratch (heap=4274MB sys=6610MB)
[08:37:33] [phase1]   opus-dochplt: 25566 docs, 200035 sentences in this source - flushing to scratch (heap=3882MB sys=6723MB)
[08:37:50] [phase1]   opus-dochplt: 26145 docs, 200135 sentences in this source - flushing to scratch (heap=6440MB sys=6741MB)
[08:38:08] [phase1]   opus-dochplt: 26726 docs, 200184 sentences in this source - flushing to scratch (heap=6005MB sys=6745MB)
[08:38:26] [phase1]   opus-dochplt: 27299 docs, 200064 sentences in this source - flushing to scratch (heap=5533MB sys=6776MB)
[08:38:45] [phase1]   opus-dochplt: 27863 docs, 200086 sentences in this source - flushing to scratch (heap=4996MB sys=6873MB)
[08:39:03] [phase1]   opus-dochplt: 28433 docs, 200256 sentences in this source - flushing to scratch (heap=4433MB sys=7002MB)
[08:39:22] [phase1]   opus-dochplt: 28979 docs, 200306 sentences in this source - flushing to scratch (heap=3791MB sys=7152MB)
[08:39:40] [phase1]   opus-dochplt: 29546 docs, 200195 sentences in this source - flushing to scratch (heap=6311MB sys=7168MB)
[08:39:58] [phase1]   opus-dochplt: 30100 docs, 200059 sentences in this source - flushing to scratch (heap=5625MB sys=7288MB)
[08:40:17] [phase1]   opus-dochplt: 30665 docs, 200179 sentences in this source - flushing to scratch (heap=4934MB sys=7289MB)
[08:40:36] [phase1]   opus-dochplt: 31261 docs, 200330 sentences in this source - flushing to scratch (heap=4284MB sys=7393MB)
[08:40:54] [phase1]   opus-dochplt: 31847 docs, 200228 sentences in this source - flushing to scratch (heap=6816MB sys=7393MB)
[08:41:15] [phase1]   opus-dochplt: 32445 docs, 200103 sentences in this source - flushing to scratch (heap=6201MB sys=7581MB)
[08:41:35] [phase1]   opus-dochplt: 33051 docs, 200055 sentences in this source - flushing to scratch (heap=5494MB sys=7581MB)
[08:41:56] [phase1]   opus-dochplt: 33593 docs, 200200 sentences in this source - flushing to scratch (heap=4694MB sys=7646MB)
