lemma	form	morph_code
24/7	247	ID
9/11	9/11	SgAdt
9/11	9/11	SgG
9/11	9/11	SgN
9/11	9/11'd	PlN
9/11	9/11'ga	SgKom
9/11	9/11'id	PlP
9/11	9/11'iks	PlTr
9/11	9/11'il	PlAd
9/11	9/11'ile	PlAll
9/11	9/11'ilt	PlAbl
9/11	9/11'is	PlIn
9/11	9/11'isse	PlIll
9/11	9/11'ist	PlEl
9/11	9/11'ks	SgTr
9/11	9/11'l	SgAd
9/11	9/11'le	SgAll
9/11	9/11'lt	SgAbl
9/11	9/11'na	SgEs
9/11	9/11'ni	SgTer
9/11	9/11's	SgIn
9/11	9/11'sse	SgIll
9/11	9/11'st	SgEl
9/11	9/11't	SgP
9/11	9/11'ta	SgAb
9/11	9/11'te	PlG
9/11	9/11'tega	PlKom
9/11	9/11'teks	PlTr
9/11	9/11'tel	PlAd
9/11	9/11'tele	PlAll
9/11	9/11'telt	PlAbl
9/11	9/11'tena	PlEs
9/11	9/11'teni	PlTer
9/11	9/11'tes	PlIn
9/11	9/11'tesse	PlIll
9/11	9/11'test	PlEl
9/11	9/11'teta	PlAb
à	à	ID
Å	Å	SgAdt
Å	Å	SgG
Å	Å	SgN
Å	Å-d	PlN
Å	Å-ga	SgKom
Å	Å-id	PlP
Å	Å-iks	PlTr
Å	Å-il	PlAd
Å	Å-ile	PlAll
Å	Å-ilt	PlAbl
Å	Å-is	PlIn
Å	Å-isse	PlIll
Å	Å-ist	PlEl
Å	Å-ks	SgTr
Å	Å-l	SgAd
Å	Å-le	SgAll
Å	Å-lt	SgAbl
Å	Å-na	SgEs
Å	Å-ni	SgTer
Å	Å-s	SgIn
Å	Å-sse	SgIll
Å	Å-st	SgEl
Å	Å-t	SgP
Å	Å-ta	SgAb
Å	Å-te	PlG
Å	Å-tega	PlKom
Å	Å-teks	PlTr
Å	Å-tel	PlAd
Å	Å-tele	PlAll
Å	Å-telt	PlAbl
Å	Å-tena	PlEs
Å	Å-teni	PlTer
Å	Å-tes	PlIn
Å	Å-tesse	PlIll
Å	Å-test	PlEl
Å	Å-teta	PlAb
à la	à la	ID
à la carte	à la carte	SgN
à la carte	à la carte'e	PlP
à la carte	à la carte'eks	PlTr
à la carte	à la carte'el	PlAd
à la carte	à la carte'ele	PlAll
à la carte	à la carte'elt	PlAbl
à la carte	à la carte'es	PlIn
à la carte	à la carte'esse	PlIll
à la carte	à la carte'est	PlEl
à la carte	à la carte'i	SgAdt
à la carte	à la carte'i	SgG
à la carte	à la carte'i	SgP
à la carte	à la carte'id	PlN
à la carte	à la carte'ide	PlG
à la carte	à la carte'idega	PlKom
à la carte	à la carte'ideks	PlTr
à la carte	à la carte'idel	PlAd
à la carte	à la carte'idele	PlAll
à la carte	à la carte'idelt	PlAbl
à la carte	à la carte'idena	PlEs
à la carte	à la carte'ideni	PlTer
à la carte	à la carte'ides	PlIn
à la carte	à la carte'idesse	PlIll
à la carte	à la carte'idest	PlEl
à la carte	à la carte'ideta	PlAb
à la carte	à la carte'iga	SgKom
à la carte	à la carte'iks	SgTr
à la carte	à la carte'il	SgAd
à la carte	à la carte'ile	SgAll
à la carte	à la carte'ilt	SgAbl
à la carte	à la carte'ina	SgEs
à la carte	à la carte'ini	SgTer
à la carte	à la carte'is	SgIn
à la carte	à la carte'isid	PlP
à la carte	à la carte'isse	SgIll
à la carte	à la carte'ist	SgEl
à la carte	à la carte'ita	SgAb
à propos	à propos	ID
Áthos	Áthos	SgAdt
Áthos	Áthos	SgN
Áthos	Áthose	SgG
Áthos	Áthosed	PlN
Áthos	Áthosega	SgKom
Áthos	Áthoseid	PlP
Áthos	Áthoseiks	PlTr
Áthos	Áthoseil	PlAd
Áthos	Áthoseile	PlAll
Áthos	Áthoseilt	PlAbl
Áthos	Áthoseis	PlIn
Áthos	Áthoseisse	PlIll
Áthos	Áthoseist	PlEl
Áthos	Áthoseks	SgTr
Áthos	Áthosel	SgAd
Áthos	Áthosele	SgAll
Áthos	Áthoselt	SgAbl
Áthos	Áthosena	SgEs
Áthos	Áthoseni	SgTer
Áthos	Áthoses	SgIn
Áthos	Áthosesse	SgIll
Áthos	Áthosest	SgEl
Áthos	Áthoseta	SgAb
Áthos	Áthost	SgP
Áthos	Áthoste	PlG
Áthos	Áthostega	PlKom
Áthos	Áthosteks	PlTr
Áthos	Áthostel	PlAd
Áthos	Áthostele	PlAll
Áthos	Áthostelt	PlAbl
Áthos	Áthostena	PlEs
Áthos	Áthosteni	PlTer
Áthos	Áthostes	PlIn
Áthos	Áthostesse	PlIll
Áthos	Áthostest	PlEl
Áthos	Áthosteta	PlAb
4D	4D	SgAdt
4D	4D	SgG
4D	4D	SgN
4D	4D-d	PlN
4D	4D-d	SgP
4D	4D-de	PlG
4D	4D-dega	PlKom
4D	4D-deks	PlTr
4D	4D-del	PlAd
4D	4D-dele	PlAll
4D	4D-delt	PlAbl
4D	4D-dena	PlEs
4D	4D-deni	PlTer
4D	4D-des	PlIn
4D	4D-desse	PlIll
4D	4D-dest	PlEl
4D	4D-deta	PlAb
4D	4D-ga	SgKom
4D	4D-ks	SgTr
4D	4D-l	SgAd
4D	4D-le	SgAll
4D	4D-lt	SgAbl
4D	4D-na	SgEs
4D	4D-ni	SgTer
4D	4D-s	SgIn
4D	4D-sid	PlP
4D	4D-sse	SgIll
4D	4D-st	SgEl
4D	4D-ta	SgAb
3D-kino	3D-kinno	SgAdt
3D-kino	3D-kino	SgG
3D-kino	3D-kino	SgN
3D-kino	3D-kino	SgP
3D-kino	3D-kinod	PlN
3D-kino	3D-kinode	PlG
3D-kino	3D-kinodega	PlKom
3D-kino	3D-kinodeks	PlTr
3D-kino	3D-kinodel	PlAd
3D-kino	3D-kinodele	PlAll
3D-kino	3D-kinodelt	PlAbl
3D-kino	3D-kinodena	PlEs
3D-kino	3D-kinodeni	PlTer
3D-kino	3D-kinodes	PlIn
3D-kino	3D-kinodesse	PlIll
3D-kino	3D-kinodest	PlEl
3D-kino	3D-kinodeta	PlAb
3D-kino	3D-kinoga	SgKom
3D-kino	3D-kinoks	SgTr
3D-kino	3D-kinol	SgAd
3D-kino	3D-kinole	SgAll
3D-kino	3D-kinolt	SgAbl
3D-kino	3D-kinona	SgEs
3D-kino	3D-kinoni	SgTer
3D-kino	3D-kinos	SgIn
3D-kino	3D-kinosid	PlP
3D-kino	3D-kinosse	SgIll
3D-kino	3D-kinost	SgEl
3D-kino	3D-kinota	SgAb
3D-printer	3D-printer	SgN
3D-printer	3D-printereid	PlP
3D-printer	3D-printeri	SgG
3D-printer	3D-printerid	PlN
3D-printer	3D-printeriga	SgKom
3D-printer	3D-printeriks	SgTr
3D-printer	3D-printeril	SgAd
3D-printer	3D-printerile	SgAll
3D-printer	3D-printerilt	SgAbl
3D-printer	3D-printerina	SgEs
3D-printer	3D-printerini	SgTer
3D-printer	3D-printeris	SgIn
3D-printer	3D-printerisse	SgIll
3D-printer	3D-printerist	SgEl
3D-printer	3D-printerit	SgP
3D-printer	3D-printerita	SgAb
3D-printer	3D-printerite	PlG
3D-printer	3D-printeritega	PlKom
3D-printer	3D-printeriteks	PlTr
3D-printer	3D-printeritel	PlAd
3D-printer	3D-printeritele	PlAll
3D-printer	3D-printeritelt	PlAbl
3D-printer	3D-printeritena	PlEs
3D-printer	3D-printeriteni	PlTer
3D-printer	3D-printerites	PlIn
3D-printer	3D-printeritesse	PlIll
3D-printer	3D-printeritest	PlEl
3D-printer	3D-printeriteta	PlAb
3G	3G	SgAdt
3G	3G	SgG
3G	3G	SgN
3G	3G-d	PlN
3G	3G-d	SgP
3G	3G-de	PlG
3G	3G-dega	PlKom
3G	3G-deks	PlTr
3G	3G-del	PlAd
3G	3G-dele	PlAll
3G	3G-delt	PlAbl
3G	3G-dena	PlEs
3G	3G-deni	PlTer
3G	3G-des	PlIn
3G	3G-desse	PlIll
3G	3G-dest	PlEl
3G	3G-deta	PlAb
3G	3G-ga	SgKom
3G	3G-ks	SgTr
3G	3G-l	SgAd
3G	3G-le	SgAll
3G	3G-lt	SgAbl
3G	3G-na	SgEs
3G	3G-ni	SgTer
3G	3G-s	SgIn
3G	3G-sid	PlP
3G	3G-sse	SgIll
3G	3G-st	SgEl
3G	3G-ta	SgAb
0-korrus	-	SgAdt
0-korrus	0-korrus	SgN
0-korrus	0-korruse	SgG
0-korrus	0-korrused	PlN
0-korrus	0-korrusega	SgKom
0-korrus	0-korruseid	PlP
0-korrus	0-korruseiks	PlTr
0-korrus	0-korruseil	PlAd
0-korrus	0-korruseile	PlAll
0-korrus	0-korruseilt	PlAbl
0-korrus	0-korruseis	PlIn
