lemma	form	morph_code
a	a	SgAdt
a	a	SgG
a	a	SgN
a	ad	PlN
a	ad	SgP
a	ade	PlG
a	adega	PlKom
a	adeks	PlTr
a	adel	PlAd
a	adele	PlAll
a	adelt	PlAbl
a	adena	PlEs
a	adeni	PlTer
a	ades	PlIn
a	adesse	PlIll
a	adest	PlEl
a	adeta	PlAb
a	aga	SgKom
a	aks	SgTr
a	al	SgAd
a	ale	SgAll
a	alt	SgAbl
a	ana	SgEs
a	ani	SgTer
a	as	SgIn
a	asid	PlP
a	asse	SgIll
a	ast	SgEl
a	ata	SgAb
a	a	ID
a	a	SgAdt
a	a	SgG
a	a	SgN
a	a-d	PlN
a	a-ga	SgKom
a	a-id	PlP
a	a-iks	PlTr
a	a-il	PlAd
a	a-ile	PlAll
a	a-ilt	PlAbl
a	a-is	PlIn
a	a-isse	PlIll
a	a-ist	PlEl
a	a-ks	SgTr
a	a-l	SgAd
a	a-le	SgAll
a	a-lt	SgAbl
a	a-na	SgEs
a	a-ni	SgTer
a	a-s	SgIn
a	a-sse	SgIll
a	a-st	SgEl
a	a-t	SgP
a	a-ta	SgAb
a	a-te	PlG
a	a-tega	PlKom
a	a-teks	PlTr
a	a-tel	PlAd
a	a-tele	PlAll
a	a-telt	PlAbl
a	a-tena	PlEs
a	a-teni	PlTer
a	a-tes	PlIn
a	a-tesse	PlIll
a	a-test	PlEl
a	a-teta	PlAb
A	A	SgAdt
A	A	SgG
A	A	SgN
A	A-d	PlN
A	A-ga	SgKom
A	A-id	PlP
A	A-ks	SgTr
A	A-l	SgAd
A	A-le	SgAll
A	A-lt	SgAbl
A	A-na	SgEs
A	A-ni	SgTer
A	A-s	SgIn
A	A-sse	SgIll
A	A-st	SgEl
A	A-t	SgP
A	A-ta	SgAb
A	A-te	PlG
A	A-tega	PlKom
A	A-teks	PlTr
A	A-tel	PlAd
A	A-tele	PlAll
A	A-telt	PlAbl
A	A-tena	PlEs
A	A-teni	PlTer
A	A-tes	PlIn
A	A-tesse	PlIll
A	A-test	PlEl
A	A-teta	PlAb
aa	aa	ID
aabe	-	SgAdt
aabe	aabe	SgN
aabe	aabet	SgP
aabe	aabete	PlG
aabe	aabetega	PlKom
aabe	aabeteks	PlTr
aabe	aabetel	PlAd
aabe	aabetele	PlAll
aabe	aabetelt	PlAbl
aabe	aabetena	PlEs
aabe	aabeteni	PlTer
aabe	aabetes	PlIn
aabe	aabetesse	PlIll
aabe	aabetest	PlEl
aabe	aabeteta	PlAb
aabe	aape	SgG
aabe	aaped	PlN
aabe	aapega	SgKom
aabe	aapeid	PlP
aabe	aapeiks	PlTr
aabe	aapeil	PlAd
aabe	aapeile	PlAll
aabe	aapeilt	PlAbl
aabe	aapeis	PlIn
aabe	aapeisse	PlIll
aabe	aapeist	PlEl
aabe	aapeks	SgTr
aabe	aapel	SgAd
aabe	aapele	SgAll
aabe	aapelt	SgAbl
aabe	aapena	SgEs
aabe	aapeni	SgTer
aabe	aapes	SgIn
aabe	aapesse	SgIll
aabe	aapest	SgEl
aabe	aapeta	SgAb
aabits	-	SgAdt
aabits	aabits	SgN
aabits	aabitsa	SgG
aabits	aabitsad	PlN
aabits	aabitsaga	SgKom
aabits	aabitsaid	PlP
aabits	aabitsaiks	PlTr
aabits	aabitsail	PlAd
aabits	aabitsaile	PlAll
aabits	aabitsailt	PlAbl
aabits	aabitsais	PlIn
aabits	aabitsaisse	PlIll
aabits	aabitsaist	PlEl
aabits	aabitsaks	SgTr
aabits	aabitsal	SgAd
aabits	aabitsale	SgAll
aabits	aabitsalt	SgAbl
aabits	aabitsana	SgEs
aabits	aabitsani	SgTer
aabits	aabitsas	SgIn
aabits	aabitsasse	SgIll
aabits	aabitsast	SgEl
aabits	aabitsat	SgP
aabits	aabitsata	SgAb
aabits	aabitsate	PlG
aabits	aabitsatega	PlKom
aabits	aabitsateks	PlTr
aabits	aabitsatel	PlAd
aabits	aabitsatele	PlAll
aabits	aabitsatelt	PlAbl
aabits	aabitsatena	PlEs
aabits	aabitsateni	PlTer
aabits	aabitsates	PlIn
aabits	aabitsatesse	PlIll
aabits	aabitsatest	PlEl
aabits	aabitsateta	PlAb
aabitsakukk	aabitsakuke	SgG
aabitsakukk	aabitsakuked	PlN
aabitsakukk	aabitsakukega	SgKom
aabitsakukk	aabitsakukeks	SgTr
aabitsakukk	aabitsakukel	SgAd
aabitsakukk	aabitsakukele	SgAll
aabitsakukk	aabitsakukelt	SgAbl
aabitsakukk	aabitsakukena	SgEs
aabitsakukk	aabitsakukeni	SgTer
aabitsakukk	aabitsakukes	SgIn
aabitsakukk	aabitsakukesse	SgIll
aabitsakukk	aabitsakukest	SgEl
aabitsakukk	aabitsakuketa	SgAb
aabitsakukk	aabitsakukiks	PlTr
aabitsakukk	aabitsakukil	PlAd
aabitsakukk	aabitsakukile	PlAll
aabitsakukk	aabitsakukilt	PlAbl
aabitsakukk	aabitsakukis	PlIn
aabitsakukk	aabitsakukisse	PlIll
aabitsakukk	aabitsakukist	PlEl
aabitsakukk	aabitsakukk	SgN
aabitsakukk	aabitsakukke	SgAdt
aabitsakukk	aabitsakukke	SgP
aabitsakukk	aabitsakukkede	PlG
aabitsakukk	aabitsakukkedega	PlKom
aabitsakukk	aabitsakukkedeks	PlTr
aabitsakukk	aabitsakukkedel	PlAd
aabitsakukk	aabitsakukkedele	PlAll
aabitsakukk	aabitsakukkedelt	PlAbl
aabitsakukk	aabitsakukkedena	PlEs
aabitsakukk	aabitsakukkedeni	PlTer
aabitsakukk	aabitsakukkedes	PlIn
aabitsakukk	aabitsakukkedesse	PlIll
aabitsakukk	aabitsakukkedest	PlEl
aabitsakukk	aabitsakukkedeta	PlAb
aabitsakukk	aabitsakukkesid	PlP
aabitsakukk	aabitsakukki	PlP
aabitsaraamat	-	SgAdt
aabitsaraamat	aabitsaraamat	SgN
aabitsaraamat	aabitsaraamatu	SgG
aabitsaraamat	aabitsaraamatud	PlN
aabitsaraamat	aabitsaraamatuga	SgKom
aabitsaraamat	aabitsaraamatuid	PlP
aabitsaraamat	aabitsaraamatuiks	PlTr
aabitsaraamat	aabitsaraamatuil	PlAd
aabitsaraamat	aabitsaraamatuile	PlAll
aabitsaraamat	aabitsaraamatuilt	PlAbl
aabitsaraamat	aabitsaraamatuis	PlIn
aabitsaraamat	aabitsaraamatuisse	PlIll
aabitsaraamat	aabitsaraamatuist	PlEl
aabitsaraamat	aabitsaraamatuks	SgTr
aabitsaraamat	aabitsaraamatul	SgAd
aabitsaraamat	aabitsaraamatule	SgAll
aabitsaraamat	aabitsaraamatult	SgAbl
aabitsaraamat	aabitsaraamatuna	SgEs
aabitsaraamat	aabitsaraamatuni	SgTer
aabitsaraamat	aabitsaraamatus	SgIn
aabitsaraamat	aabitsaraamatusse	SgIll
aabitsaraamat	aabitsaraamatust	SgEl
aabitsaraamat	aabitsaraamatut	SgP
aabitsaraamat	aabitsaraamatuta	SgAb
aabitsaraamat	aabitsaraamatute	PlG
aabitsaraamat	aabitsaraamatutega	PlKom
aabitsaraamat	aabitsaraamatuteks	PlTr
aabitsaraamat	aabitsaraamatutel	PlAd
aabitsaraamat	aabitsaraamatutele	PlAll
aabitsaraamat	aabitsaraamatutelt	PlAbl
aabitsaraamat	aabitsaraamatutena	PlEs
aabitsaraamat	aabitsaraamatuteni	PlTer
aabitsaraamat	aabitsaraamatutes	PlIn
aabitsaraamat	aabitsaraamatutesse	PlIll
aabitsaraamat	aabitsaraamatutest	PlEl
aabitsaraamat	aabitsaraamatuteta	PlAb
aabitsatarkus	-	SgAdt
aabitsatarkus	aabitsatarkus	SgN
aabitsatarkus	aabitsatarkuse	SgG
aabitsatarkus	aabitsatarkused	PlN
aabitsatarkus	aabitsatarkusega	SgKom
aabitsatarkus	aabitsatarkuseid	PlP
aabitsatarkus	aabitsatarkuseiks	PlTr
aabitsatarkus	aabitsatarkuseil	PlAd
aabitsatarkus	aabitsatarkuseile	PlAll
aabitsatarkus	aabitsatarkuseilt	PlAbl
aabitsatarkus	aabitsatarkuseis	PlIn
aabitsatarkus	aabitsatarkuseisse	PlIll
aabitsatarkus	aabitsatarkuseist	PlEl
aabitsatarkus	aabitsatarkuseks	SgTr
aabitsatarkus	aabitsatarkusel	SgAd
aabitsatarkus	aabitsatarkusele	SgAll
aabitsatarkus	aabitsatarkuselt	SgAbl
aabitsatarkus	aabitsatarkusena	SgEs
aabitsatarkus	aabitsatarkuseni	SgTer
aabitsatarkus	aabitsatarkuses	SgIn
aabitsatarkus	aabitsatarkusesse	SgIll
aabitsatarkus	aabitsatarkusest	SgEl
aabitsatarkus	aabitsatarkuseta	SgAb
aabitsatarkus	aabitsatarkusi	PlP
aabitsatarkus	aabitsatarkusiks	PlTr
aabitsatarkus	aabitsatarkusil	PlAd
aabitsatarkus	aabitsatarkusile	PlAll
aabitsatarkus	aabitsatarkusilt	PlAbl
aabitsatarkus	aabitsatarkusis	PlIn
