lemma	form	morph_code
b	b	SgAdt
b	b	SgG
b	b	SgN
b	bd	PlN
b	bd	SgP
b	bde	PlG
b	bdega	PlKom
b	bdeks	PlTr
b	bdel	PlAd
b	bdele	PlAll
b	bdelt	PlAbl
b	bdena	PlEs
b	bdeni	PlTer
b	bdes	PlIn
b	bdesse	PlIll
b	bdest	PlEl
b	bdeta	PlAb
b	bga	SgKom
b	bks	SgTr
b	bl	SgAd
b	ble	SgAll
b	blt	SgAbl
b	bna	SgEs
b	bni	SgTer
b	bs	SgIn
b	bsid	PlP
b	bsse	SgIll
b	bst	SgEl
b	bta	SgAb
b	b	PlP
b	b	SgAdt
b	b	SgG
b	b	SgN
b	b	SgP
b	b-d	PlN
b	b-de	PlG
b	b-dega	PlKom
b	b-deks	PlTr
b	b-del	PlAd
b	b-dele	PlAll
b	b-delt	PlAbl
b	b-dena	PlEs
b	b-deni	PlTer
b	b-des	PlIn
b	b-desse	PlIll
b	b-dest	PlEl
b	b-deta	PlAb
b	b-ga	SgKom
b	b-ks	PlTr
b	b-ks	SgTr
b	b-l	PlAd
b	b-l	SgAd
b	b-le	PlAll
b	b-le	SgAll
b	b-lt	PlAbl
b	b-lt	SgAbl
b	b-na	SgEs
b	b-ni	SgTer
b	b-s	PlIn
b	b-s	SgIn
b	b-sid	PlP
b	b-sse	PlIll
b	b-sse	SgIll
b	b-st	PlEl
b	b-st	SgEl
b	b-ta	SgAb
B	B	PlP
B	B	SgAdt
B	B	SgG
B	B	SgN
B	B	SgP
B	B-d	PlN
B	B-de	PlG
B	B-dega	PlKom
B	B-deks	PlTr
B	B-del	PlAd
B	B-dele	PlAll
B	B-delt	PlAbl
B	B-dena	PlEs
B	B-deni	PlTer
B	B-des	PlIn
B	B-desse	PlIll
B	B-dest	PlEl
B	B-deta	PlAb
B	B-ga	SgKom
B	B-ks	PlTr
B	B-ks	SgTr
B	B-l	PlAd
B	B-l	SgAd
B	B-le	PlAll
B	B-le	SgAll
B	B-lt	PlAbl
B	B-lt	SgAbl
B	B-na	SgEs
B	B-ni	SgTer
B	B-s	PlIn
B	B-s	SgIn
B	B-sid	PlP
B	B-sse	PlIll
B	B-sse	SgIll
B	B-st	PlEl
B	B-st	SgEl
B	B-ta	SgAb
BA	BA	SgAdt
BA	BA	SgG
BA	BA	SgN
BA	BA-d	PlN
BA	BA-d	SgP
BA	BA-de	PlG
BA	BA-dega	PlKom
BA	BA-deks	PlTr
BA	BA-del	PlAd
BA	BA-dele	PlAll
BA	BA-delt	PlAbl
BA	BA-dena	PlEs
BA	BA-deni	PlTer
BA	BA-des	PlIn
BA	BA-desse	PlIll
BA	BA-dest	PlEl
BA	BA-deta	PlAb
BA	BA-ga	SgKom
BA	BA-ks	SgTr
BA	BA-l	SgAd
BA	BA-le	SgAll
BA	BA-lt	SgAbl
BA	BA-na	SgEs
BA	BA-ni	SgTer
BA	BA-s	SgIn
BA	BA-sid	PlP
BA	BA-sse	SgIll
BA	BA-st	SgEl
BA	BA-ta	SgAb
Ba	Ba	ID
baaba	-	SgAdt
baaba	baaba	SgG
baaba	baaba	SgN
baaba	baabad	PlN
baaba	baabade	PlG
baaba	baabadega	PlKom
baaba	baabadeks	PlTr
baaba	baabadel	PlAd
baaba	baabadele	PlAll
baaba	baabadelt	PlAbl
