lemma	form	morph_code
C	C	SgAdt
C	C	SgG
C	C	SgN
C	C-d	PlN
C	C-ga	SgKom
C	C-id	PlP
C	C-iks	PlTr
C	C-il	PlAd
C	C-ile	PlAll
C	C-ilt	PlAbl
C	C-is	PlIn
C	C-isse	PlIll
C	C-ist	PlEl
C	C-ks	SgTr
C	C-l	SgAd
C	C-le	SgAll
C	C-lt	SgAbl
C	C-na	SgEs
C	C-ni	SgTer
C	C-s	SgIn
C	C-sse	SgIll
C	C-st	SgEl
C	C-t	SgP
C	C-ta	SgAb
C	C-te	PlG
C	C-tega	PlKom
C	C-teks	PlTr
C	C-tel	PlAd
C	C-tele	PlAll
C	C-telt	PlAbl
C	C-tena	PlEs
C	C-teni	PlTer
C	C-tes	PlIn
C	C-tesse	PlIll
C	C-test	PlEl
C	C-teta	PlAb
c	c	SgAdt
c	c	SgG
c	c	SgN
c	cd	PlN
c	cd	SgP
c	cde	PlG
c	cdega	PlKom
c	cdeks	PlTr
c	cdel	PlAd
c	cdele	PlAll
c	cdelt	PlAbl
c	cdena	PlEs
c	cdeni	PlTer
c	cdes	PlIn
c	cdesse	PlIll
c	cdest	PlEl
c	cdeta	PlAb
c	cga	SgKom
c	cks	SgTr
c	cl	SgAd
c	cle	SgAll
c	clt	SgAbl
c	cna	SgEs
c	cni	SgTer
c	cs	SgIn
c	csid	PlP
c	csse	SgIll
c	cst	SgEl
c	cta	SgAb
c	c	ID
ca	ca	ID
Ca	Ca	ID
Cabo Verde	Cabo Verde	SgAdt
Cabo Verde	Cabo Verde	SgG
Cabo Verde	Cabo Verde	SgN
Cabo Verde	Cabo Verded	PlN
Cabo Verde	Cabo Verdede	PlG
Cabo Verde	Cabo Verdedega	PlKom
Cabo Verde	Cabo Verdedeks	PlTr
Cabo Verde	Cabo Verdedel	PlAd
Cabo Verde	Cabo Verdedele	PlAll
Cabo Verde	Cabo Verdedelt	PlAbl
Cabo Verde	Cabo Verdedena	PlEs
Cabo Verde	Cabo Verdedeni	PlTer
Cabo Verde	Cabo Verdedes	PlIn
Cabo Verde	Cabo Verdedesse	PlIll
Cabo Verde	Cabo Verdedest	PlEl
Cabo Verde	Cabo Verdedeta	PlAb
Cabo Verde	Cabo Verdega	SgKom
Cabo Verde	Cabo Verdeks	SgTr
Cabo Verde	Cabo Verdel	SgAd
Cabo Verde	Cabo Verdele	SgAll
Cabo Verde	Cabo Verdelt	SgAbl
Cabo Verde	Cabo Verdena	SgEs
Cabo Verde	Cabo Verdeni	SgTer
Cabo Verde	Cabo Verdes	SgIn
Cabo Verde	Cabo Verdesid	PlP
Cabo Verde	Cabo Verdesse	SgIll
Cabo Verde	Cabo Verdest	SgEl
Cabo Verde	Cabo Verdet	SgP
Cabo Verde	Cabo Verdeta	SgAb
cachaça	cachaça	SgAdt
cachaça	cachaça	SgG
cachaça	cachaça	SgN
cachaça	cachaça'd	PlN
cachaça	cachaça'de	PlG
cachaça	cachaça'dega	PlKom
cachaça	cachaça'deks	PlTr
cachaça	cachaça'del	PlAd
cachaça	cachaça'dele	PlAll
cachaça	cachaça'delt	PlAbl
cachaça	cachaça'dena	PlEs
cachaça	cachaça'deni	PlTer
cachaça	cachaça'des	PlIn
cachaça	cachaça'desse	PlIll
cachaça	cachaça'dest	PlEl
cachaça	cachaça'deta	PlAb
cachaça	cachaça'ga	SgKom
cachaça	cachaça'ks	SgTr
cachaça	cachaça'l	SgAd
cachaça	cachaça'le	SgAll
cachaça	cachaça'lt	SgAbl
cachaça	cachaça'na	SgEs
cachaça	cachaça'ni	SgTer
cachaça	cachaça's	SgIn
cachaça	cachaça'sid	PlP
cachaça	cachaça'sse	SgIll
cachaça	cachaça'st	SgEl
cachaça	cachaça't	SgP
cachaça	cachaça'ta	SgAb
caciotta	caciotta	SgAdt
caciotta	caciotta	SgG
caciotta	caciotta	SgN
caciotta	caciotta'd	PlN
caciotta	caciotta'de	PlG
caciotta	caciotta'dega	PlKom
caciotta	caciotta'deks	PlTr
caciotta	caciotta'del	PlAd
caciotta	caciotta'dele	PlAll
caciotta	caciotta'delt	PlAbl
caciotta	caciotta'dena	PlEs
caciotta	caciotta'deni	PlTer
caciotta	caciotta'des	PlIn
caciotta	caciotta'desse	PlIll
caciotta	caciotta'dest	PlEl
caciotta	caciotta'deta	PlAb
caciotta	caciotta'ga	SgKom
caciotta	caciotta'ks	SgTr
caciotta	caciotta'l	SgAd
caciotta	caciotta'le	SgAll
caciotta	caciotta'lt	SgAbl
caciotta	caciotta'na	SgEs
caciotta	caciotta'ni	SgTer
caciotta	caciotta's	SgIn
caciotta	caciotta'sid	PlP
caciotta	caciotta'sse	SgIll
caciotta	caciotta'st	SgEl
caciotta	caciotta't	SgP
caciotta	caciotta'ta	SgAb
Caesari salat	Caesari salat	SgN
Caesari salat	Caesari salateid	PlP
Caesari salat	Caesari salati	SgG
Caesari salat	Caesari salatid	PlN
Caesari salat	Caesari salatiga	SgKom
Caesari salat	Caesari salatiks	SgTr
Caesari salat	Caesari salatil	SgAd
Caesari salat	Caesari salatile	SgAll
Caesari salat	Caesari salatilt	SgAbl
Caesari salat	Caesari salatina	SgEs
Caesari salat	Caesari salatini	SgTer
Caesari salat	Caesari salatis	SgIn
Caesari salat	Caesari salatisse	SgIll
Caesari salat	Caesari salatist	SgEl
Caesari salat	Caesari salatit	SgP
Caesari salat	Caesari salatita	SgAb
Caesari salat	Caesari salatite	PlG
Caesari salat	Caesari salatitega	PlKom
Caesari salat	Caesari salatiteks	PlTr
Caesari salat	Caesari salatitel	PlAd
Caesari salat	Caesari salatitele	PlAll
Caesari salat	Caesari salatitelt	PlAbl
Caesari salat	Caesari salatitena	PlEs
Caesari salat	Caesari salatiteni	PlTer
Caesari salat	Caesari salatites	PlIn
Caesari salat	Caesari salatitesse	PlIll
Caesari salat	Caesari salatitest	PlEl
Caesari salat	Caesari salatiteta	PlAb
café au lait	café au lait	SgAdt
café au lait	café au lait	SgG
café au lait	café au lait	SgN
café au lait	café au laitd	PlN
café au lait	café au laitd	SgP
café au lait	café au laitde	PlG
café au lait	café au laitdega	PlKom
café au lait	café au laitdeks	PlTr
café au lait	café au laitdel	PlAd
café au lait	café au laitdele	PlAll
café au lait	café au laitdelt	PlAbl
café au lait	café au laitdena	PlEs
café au lait	café au laitdeni	PlTer
café au lait	café au laitdes	PlIn
café au lait	café au laitdesse	PlIll
café au lait	café au laitdest	PlEl
café au lait	café au laitdeta	PlAb
café au lait	café au laitga	SgKom
café au lait	café au laitks	SgTr
café au lait	café au laitl	SgAd
café au lait	café au laitle	SgAll
café au lait	café au laitlt	SgAbl
café au lait	café au laitna	SgEs
café au lait	café au laitni	SgTer
café au lait	café au laits	SgIn
café au lait	café au laitsid	PlP
café au lait	café au laitsse	SgIll
café au lait	café au laitst	SgEl
café au lait	café au laitta	SgAb
caffè latte	caffè latte	SgAdt
caffè latte	caffè latte	SgG
caffè latte	caffè latte	SgN
caffè latte	caffè latte'd	PlN
caffè latte	caffè latte'de	PlG
caffè latte	caffè latte'dega	PlKom
caffè latte	caffè latte'deks	PlTr
caffè latte	caffè latte'del	PlAd
caffè latte	caffè latte'dele	PlAll
caffè latte	caffè latte'delt	PlAbl
caffè latte	caffè latte'dena	PlEs
caffè latte	caffè latte'deni	PlTer
caffè latte	caffè latte'des	PlIn
caffè latte	caffè latte'desse	PlIll
caffè latte	caffè latte'dest	PlEl
caffè latte	caffè latte'deta	PlAb
caffè latte	caffè latte'ga	SgKom
caffè latte	caffè latte'ks	SgTr
caffè latte	caffè latte'l	SgAd
caffè latte	caffè latte'le	SgAll
caffè latte	caffè latte'lt	SgAbl
caffè latte	caffè latte'na	SgEs
caffè latte	caffè latte'ni	SgTer
caffè latte	caffè latte's	SgIn
caffè latte	caffè latte'sid	PlP
caffè latte	caffè latte'sse	SgIll
caffè latte	caffè latte'st	SgEl
caffè latte	caffè latte't	SgP
caffè latte	caffè latte'ta	SgAb
caffè macchiato	caffè macchiato	SgAdt
caffè macchiato	caffè macchiato	SgG
caffè macchiato	caffè macchiato	SgN
caffè macchiato	caffè macchiato'd	PlN
caffè macchiato	caffè macchiato'de	PlG
caffè macchiato	caffè macchiato'dega	PlKom
caffè macchiato	caffè macchiato'deks	PlTr
caffè macchiato	caffè macchiato'del	PlAd
caffè macchiato	caffè macchiato'dele	PlAll
caffè macchiato	caffè macchiato'delt	PlAbl
caffè macchiato	caffè macchiato'dena	PlEs
caffè macchiato	caffè macchiato'deni	PlTer
caffè macchiato	caffè macchiato'des	PlIn
caffè macchiato	caffè macchiato'desse	PlIll
caffè macchiato	caffè macchiato'dest	PlEl
caffè macchiato	caffè macchiato'deta	PlAb
caffè macchiato	caffè macchiato'ga	SgKom
caffè macchiato	caffè macchiato'ks	SgTr
caffè macchiato	caffè macchiato'l	SgAd
caffè macchiato	caffè macchiato'le	SgAll
caffè macchiato	caffè macchiato'lt	SgAbl
