lemma	form	morph_code
d	d	SgAdt
d	d	SgG
d	d	SgN
d	dd	PlN
d	dd	SgP
d	dde	PlG
d	ddega	PlKom
d	ddeks	PlTr
d	ddel	PlAd
d	ddele	PlAll
d	ddelt	PlAbl
d	ddena	PlEs
d	ddeni	PlTer
d	ddes	PlIn
d	ddesse	PlIll
d	ddest	PlEl
d	ddeta	PlAb
d	dga	SgKom
d	dks	SgTr
d	dl	SgAd
d	dle	SgAll
d	dlt	SgAbl
d	dna	SgEs
d	dni	SgTer
d	ds	SgIn
d	dsid	PlP
d	dsse	SgIll
d	dst	SgEl
d	dta	SgAb
da	da	ID
daal	daal	SgN
daal	daale	PlP
daal	daaleks	PlTr
daal	daalel	PlAd
daal	daalele	PlAll
daal	daalelt	PlAbl
daal	daales	PlIn
daal	daalesse	PlIll
daal	daalest	PlEl
daal	daali	SgAdt
daal	daali	SgG
daal	daali	SgP
daal	daalid	PlN
daal	daalide	PlG
daal	daalidega	PlKom
daal	daalideks	PlTr
daal	daalidel	PlAd
daal	daalidele	PlAll
daal	daalidelt	PlAbl
daal	daalidena	PlEs
daal	daalideni	PlTer
daal	daalides	PlIn
daal	daalidesse	PlIll
daal	daalidest	PlEl
daal	daalideta	PlAb
daal	daaliga	SgKom
daal	daaliks	SgTr
daal	daalil	SgAd
daal	daalile	SgAll
daal	daalilt	SgAbl
daal	daalina	SgEs
daal	daalini	SgTer
daal	daalis	SgIn
daal	daalisid	PlP
daal	daalisse	SgIll
daal	daalist	SgEl
daal	daalita	SgAb
daalia	-	SgAdt
daalia	daalia	SgG
daalia	daalia	SgN
daalia	daaliad	PlN
daalia	daaliaga	SgKom
daalia	daaliaid	PlP
daalia	daaliaiks	PlTr
daalia	daaliail	PlAd
daalia	daaliaile	PlAll
daalia	daaliailt	PlAbl
daalia	daaliais	PlIn
daalia	daaliaisse	PlIll
daalia	daaliaist	PlEl
daalia	daaliaks	SgTr
daalia	daalial	SgAd
daalia	daaliale	SgAll
daalia	daalialt	SgAbl
daalia	daaliana	SgEs
daalia	daaliani	SgTer
daalia	daalias	SgIn
daalia	daaliasse	SgIll
daalia	daaliast	SgEl
daalia	daaliat	SgP
daalia	daaliata	SgAb
daalia	daaliate	PlG
daalia	daaliatega	PlKom
daalia	daaliateks	PlTr
daalia	daaliatel	PlAd
daalia	daaliatele	PlAll
daalia	daaliatelt	PlAbl
daalia	daaliatena	PlEs
daalia	daaliateni	PlTer
daalia	daaliates	PlIn
daalia	daaliatesse	PlIll
daalia	daaliatest	PlEl
daalia	daaliateta	PlAb
daam	daam	SgN
daam	daame	PlP
daam	daameks	PlTr
daam	daamel	PlAd
daam	daamele	PlAll
daam	daamelt	PlAbl
daam	daames	PlIn
daam	daamesse	PlIll
daam	daamest	PlEl
daam	daami	SgAdt
daam	daami	SgG
daam	daami	SgP
daam	daamid	PlN
daam	daamide	PlG
daam	daamidega	PlKom
daam	daamideks	PlTr
daam	daamidel	PlAd
daam	daamidele	PlAll
daam	daamidelt	PlAbl
daam	daamidena	PlEs
daam	daamideni	PlTer
daam	daamides	PlIn
daam	daamidesse	PlIll
daam	daamidest	PlEl
daam	daamideta	PlAb
daam	daamiga	SgKom
daam	daamiks	SgTr
daam	daamil	SgAd
daam	daamile	SgAll
daam	daamilt	SgAbl
daam	daamina	SgEs
daam	daamini	SgTer
daam	daamis	SgIn
daam	daamisid	PlP
daam	daamisse	SgIll
daam	daamist	SgEl
daam	daamita	SgAb
daamike	daamike	SgN
daamike	daamikese	SgG
daamike	daamikesed	PlN
daamike	daamikesega	SgKom
daamike	daamikeseks	SgTr
daamike	daamikesel	SgAd
daamike	daamikesele	SgAll
daamike	daamikeselt	SgAbl
daamike	daamikesena	SgEs
daamike	daamikeseni	SgTer
daamike	daamikeses	SgIn
daamike	daamikesesse	SgIll
daamike	daamikesest	SgEl
daamike	daamikeseta	SgAb
daamike	daamikesi	PlP
daamike	daamikesiks	PlTr
daamike	daamikesil	PlAd
daamike	daamikesile	PlAll
daamike	daamikesilt	PlAbl
daamike	daamikesis	PlIn
daamike	daamikesisse	PlIll
daamike	daamikesist	PlEl
daamike	daamikesse	SgAdt
daamike	daamikest	SgP
daamike	daamikeste	PlG
daamike	daamikestega	PlKom
daamike	daamikesteks	PlTr
daamike	daamikestel	PlAd
daamike	daamikestele	PlAll
daamike	daamikestelt	PlAbl
daamike	daamikestena	PlEs
daamike	daamikesteni	PlTer
daamike	daamikestes	PlIn
daamike	daamikestesse	PlIll
daamike	daamikestest	PlEl
daamike	daamikesteta	PlAb
daamisadul	-	SgAdt
daamisadul	daamisadul	SgN
daamisadul	daamisadula	SgG
daamisadul	daamisadulad	PlN
daamisadul	daamisadulaga	SgKom
daamisadul	daamisadulaid	PlP
daamisadul	daamisadulaiks	PlTr
daamisadul	daamisadulail	PlAd
daamisadul	daamisadulaile	PlAll
daamisadul	daamisadulailt	PlAbl
daamisadul	daamisadulais	PlIn
daamisadul	daamisadulaisse	PlIll
daamisadul	daamisadulaist	PlEl
daamisadul	daamisadulaks	SgTr
daamisadul	daamisadulal	SgAd
daamisadul	daamisadulale	SgAll
daamisadul	daamisadulalt	SgAbl
daamisadul	daamisadulana	SgEs
daamisadul	daamisadulani	SgTer
daamisadul	daamisadulas	SgIn
daamisadul	daamisadulasse	SgIll
daamisadul	daamisadulast	SgEl
daamisadul	daamisadulat	SgP
daamisadul	daamisadulata	SgAb
daamisadul	daamisadulate	PlG
daamisadul	daamisadulatega	PlKom
daamisadul	daamisadulateks	PlTr
daamisadul	daamisadulatel	PlAd
daamisadul	daamisadulatele	PlAll
daamisadul	daamisadulatelt	PlAbl
daamisadul	daamisadulatena	PlEs
daamisadul	daamisadulateni	PlTer
daamisadul	daamisadulates	PlIn
daamisadul	daamisadulatesse	PlIll
daamisadul	daamisadulatest	PlEl
daamisadul	daamisadulateta	PlAb
daativ	-	SgAdt
daativ	daativ	SgN
daativ	daativeid	PlP
daativ	daativeiks	PlTr
daativ	daativeil	PlAd
daativ	daativeile	PlAll
daativ	daativeilt	PlAbl
daativ	daativeis	PlIn
daativ	daativeisse	PlIll
daativ	daativeist	PlEl
daativ	daativi	SgG
daativ	daativid	PlN
daativ	daativiga	SgKom
daativ	daativiks	SgTr
daativ	daativil	SgAd
daativ	daativile	SgAll
daativ	daativilt	SgAbl
daativ	daativina	SgEs
daativ	daativini	SgTer
daativ	daativis	SgIn
daativ	daativisse	SgIll
daativ	daativist	SgEl
daativ	daativit	SgP
daativ	daativita	SgAb
daativ	daativite	PlG
daativ	daativitega	PlKom
daativ	daativiteks	PlTr
daativ	daativitel	PlAd
daativ	daativitele	PlAll
daativ	daativitelt	PlAbl
daativ	daativitena	PlEs
daativ	daativiteni	PlTer
daativ	daativites	PlIn
daativ	daativitesse	PlIll
daativ	daativitest	PlEl
daativ	daativiteta	PlAb
daatum	-	SgAdt
daatum	daatum	SgN
daatum	daatumeid	PlP
daatum	daatumeiks	PlTr
daatum	daatumeil	PlAd
daatum	daatumeile	PlAll
daatum	daatumeilt	PlAbl
daatum	daatumeis	PlIn
daatum	daatumeisse	PlIll
daatum	daatumeist	PlEl
daatum	daatumi	SgG
daatum	daatumid	PlN
daatum	daatumiga	SgKom
daatum	daatumiks	SgTr
daatum	daatumil	SgAd
daatum	daatumile	SgAll
daatum	daatumilt	SgAbl
daatum	daatumina	SgEs
daatum	daatumini	SgTer
daatum	daatumis	SgIn
daatum	daatumisse	SgIll
daatum	daatumist	SgEl
daatum	daatumit	SgP
daatum	daatumita	SgAb
daatum	daatumite	PlG
daatum	daatumitega	PlKom
daatum	daatumiteks	PlTr
daatum	daatumitel	PlAd
daatum	daatumitele	PlAll
daatum	daatumitelt	PlAbl
daatum	daatumitena	PlEs
daatum	daatumiteni	PlTer
daatum	daatumites	PlIn
daatum	daatumitesse	PlIll
daatum	daatumitest	PlEl
daatum	daatumiteta	PlAb
da capo	da capo	ID
dada	-	SgAdt
dada	dada	SgG
dada	dada	SgN
dada	dada	SgP
dada	dadad	PlN
dada	dadade	PlG
dada	dadadega	PlKom
dada	dadadeks	PlTr
dada	dadadel	PlAd
dada	dadadele	PlAll
dada	dadadelt	PlAbl
dada	dadadena	PlEs
dada	dadadeni	PlTer
dada	dadades	PlIn
dada	dadadesse	PlIll
dada	dadadest	PlEl
dada	dadadeta	PlAb
dada	dadaga	SgKom
dada	dadaks	SgTr
dada	dadal	SgAd
dada	dadale	SgAll
dada	dadalt	SgAbl
dada	dadana	SgEs
dada	dadani	SgTer
dada	dadas	SgIn
dada	dadasid	PlP
dada	dadasse	SgIll
dada	dadast	SgEl
dada	dadata	SgAb
dadaism	dadaism	SgN
dadaism	dadaisme	PlP
dadaism	dadaismeks	PlTr
dadaism	dadaismel	PlAd
dadaism	dadaismele	PlAll
dadaism	dadaismelt	PlAbl
dadaism	dadaismes	PlIn
dadaism	dadaismesse	PlIll
dadaism	dadaismest	PlEl
dadaism	dadaismi	SgAdt
dadaism	dadaismi	SgG
dadaism	dadaismi	SgP
dadaism	dadaismid	PlN
dadaism	dadaismide	PlG
dadaism	dadaismidega	PlKom
dadaism	dadaismideks	PlTr
dadaism	dadaismidel	PlAd
dadaism	dadaismidele	PlAll
dadaism	dadaismidelt	PlAbl
dadaism	dadaismidena	PlEs
dadaism	dadaismideni	PlTer
dadaism	dadaismides	PlIn
dadaism	dadaismidesse	PlIll
dadaism	dadaismidest	PlEl
dadaism	dadaismideta	PlAb
dadaism	dadaismiga	SgKom
dadaism	dadaismiks	SgTr
dadaism	dadaismil	SgAd
dadaism	dadaismile	SgAll
dadaism	dadaismilt	SgAbl
dadaism	dadaismina	SgEs
dadaism	dadaismini	SgTer
dadaism	dadaismis	SgIn
dadaism	dadaismisid	PlP
dadaism	dadaismisse	SgIll
dadaism	dadaismist	SgEl
dadaism	dadaismita	SgAb
Daesh	Daesh	SgAdt
Daesh	Daesh	SgN
Daesh	Daesheid	PlP
Daesh	Daesheiks	PlTr
Daesh	Daesheil	PlAd
Daesh	Daesheile	PlAll
Daesh	Daesheilt	PlAbl
Daesh	Daesheis	PlIn
Daesh	Daesheisse	PlIll
Daesh	Daesheist	PlEl
Daesh	Daeshi	SgG
Daesh	Daeshid	PlN
Daesh	Daeshiga	SgKom
Daesh	Daeshiks	SgTr
