lemma	form	morph_code
E	E	ID
e	e	SgAdt
e	e	SgG
e	e	SgN
e	ed	PlN
e	ed	SgP
e	ede	PlG
e	edega	PlKom
e	edeks	PlTr
e	edel	PlAd
e	edele	PlAll
e	edelt	PlAbl
e	edena	PlEs
e	edeni	PlTer
e	edes	PlIn
e	edesse	PlIll
e	edest	PlEl
e	edeta	PlAb
e	ega	SgKom
e	eks	SgTr
e	el	SgAd
e	ele	SgAll
e	elt	SgAbl
e	ena	SgEs
e	eni	SgTer
e	es	SgIn
e	esid	PlP
e	esse	SgIll
e	est	SgEl
e	eta	SgAb
e	e	ID
e	e-	ID
E-aine	-	SgAdt
E-aine	E-aine	SgG
E-aine	E-aine	SgN
E-aine	E-ained	PlN
E-aine	E-ainega	SgKom
E-aine	E-aineid	PlP
E-aine	E-aineiks	PlTr
E-aine	E-aineil	PlAd
E-aine	E-aineile	PlAll
E-aine	E-aineilt	PlAbl
E-aine	E-aineis	PlIn
E-aine	E-aineisse	PlIll
E-aine	E-aineist	PlEl
E-aine	E-aineks	SgTr
E-aine	E-ainel	SgAd
E-aine	E-ainele	SgAll
E-aine	E-ainelt	SgAbl
E-aine	E-ainena	SgEs
E-aine	E-aineni	SgTer
E-aine	E-aines	SgIn
E-aine	E-ainesse	SgIll
E-aine	E-ainest	SgEl
E-aine	E-ainet	SgP
E-aine	E-aineta	SgAb
E-aine	E-ainete	PlG
E-aine	E-ainetega	PlKom
E-aine	E-aineteks	PlTr
E-aine	E-ainetel	PlAd
E-aine	E-ainetele	PlAll
E-aine	E-ainetelt	PlAbl
E-aine	E-ainetena	PlEs
E-aine	E-aineteni	PlTer
E-aine	E-ainetes	PlIn
E-aine	E-ainetesse	PlIll
E-aine	E-ainetest	PlEl
E-aine	E-aineteta	PlAb
e-ajakiri	e-ajakiri	SgN
e-ajakiri	e-ajakirja	SgAdt
e-ajakiri	e-ajakirja	SgG
e-ajakiri	e-ajakirja	SgP
e-ajakiri	e-ajakirjad	PlN
e-ajakiri	e-ajakirjade	PlG
e-ajakiri	e-ajakirjadega	PlKom
e-ajakiri	e-ajakirjadeks	PlTr
e-ajakiri	e-ajakirjadel	PlAd
e-ajakiri	e-ajakirjadele	PlAll
e-ajakiri	e-ajakirjadelt	PlAbl
e-ajakiri	e-ajakirjadena	PlEs
e-ajakiri	e-ajakirjadeni	PlTer
e-ajakiri	e-ajakirjades	PlIn
e-ajakiri	e-ajakirjadesse	PlIll
e-ajakiri	e-ajakirjadest	PlEl
e-ajakiri	e-ajakirjadeta	PlAb
e-ajakiri	e-ajakirjaga	SgKom
e-ajakiri	e-ajakirjaks	SgTr
e-ajakiri	e-ajakirjal	SgAd
e-ajakiri	e-ajakirjale	SgAll
e-ajakiri	e-ajakirjalt	SgAbl
e-ajakiri	e-ajakirjana	SgEs
e-ajakiri	e-ajakirjani	SgTer
e-ajakiri	e-ajakirjas	SgIn
e-ajakiri	e-ajakirjasid	PlP
e-ajakiri	e-ajakirjasse	SgIll
e-ajakiri	e-ajakirjast	SgEl
e-ajakiri	e-ajakirjata	SgAb
e-ajakiri	e-ajakirju	PlP
e-ajakiri	e-ajakirjuks	PlTr
e-ajakiri	e-ajakirjul	PlAd
e-ajakiri	e-ajakirjule	PlAll
e-ajakiri	e-ajakirjult	PlAbl
e-ajakiri	e-ajakirjus	PlIn
e-ajakiri	e-ajakirjusse	PlIll
e-ajakiri	e-ajakirjust	PlEl
eakaaslane	-	SgAdt
eakaaslane	eakaaslane	SgN
eakaaslane	eakaaslase	SgG
eakaaslane	eakaaslased	PlN
eakaaslane	eakaaslasega	SgKom
