lemma	form	morph_code
F	F	ID
f	f	ID
faabula	-	SgAdt
faabula	faabula	SgG
faabula	faabula	SgN
faabula	faabulad	PlN
faabula	faabulaga	SgKom
faabula	faabulaid	PlP
faabula	faabulaiks	PlTr
faabula	faabulail	PlAd
faabula	faabulaile	PlAll
faabula	faabulailt	PlAbl
faabula	faabulais	PlIn
faabula	faabulaisse	PlIll
faabula	faabulaist	PlEl
faabula	faabulaks	SgTr
faabula	faabulal	SgAd
faabula	faabulale	SgAll
faabula	faabulalt	SgAbl
faabula	faabulana	SgEs
faabula	faabulani	SgTer
faabula	faabulas	SgIn
faabula	faabulasse	SgIll
faabula	faabulast	SgEl
faabula	faabulat	SgP
faabula	faabulata	SgAb
faabula	faabulate	PlG
faabula	faabulatega	PlKom
faabula	faabulateks	PlTr
faabula	faabulatel	PlAd
faabula	faabulatele	PlAll
faabula	faabulatelt	PlAbl
faabula	faabulatena	PlEs
faabula	faabulateni	PlTer
faabula	faabulates	PlIn
faabula	faabulatesse	PlIll
faabula	faabulatest	PlEl
faabula	faabulateta	PlAb
faag	faag	SgN
faag	faage	PlP
faag	faageks	PlTr
faag	faagel	PlAd
faag	faagele	PlAll
faag	faagelt	PlAbl
faag	faages	PlIn
faag	faagesse	PlIll
faag	faagest	PlEl
faag	faagi	SgAdt
faag	faagi	SgG
faag	faagi	SgP
faag	faagid	PlN
faag	faagide	PlG
faag	faagidega	PlKom
faag	faagideks	PlTr
faag	faagidel	PlAd
faag	faagidele	PlAll
faag	faagidelt	PlAbl
faag	faagidena	PlEs
faag	faagideni	PlTer
faag	faagides	PlIn
faag	faagidesse	PlIll
faag	faagidest	PlEl
faag	faagideta	PlAb
faag	faagiga	SgKom
faag	faagiks	SgTr
faag	faagil	SgAd
faag	faagile	SgAll
faag	faagilt	SgAbl
faag	faagina	SgEs
faag	faagini	SgTer
faag	faagis	SgIn
faag	faagisid	PlP
faag	faagisse	SgIll
faag	faagist	SgEl
faag	faagita	SgAb
faalanks	-	SgAdt
faalanks	faalanks	SgN
faalanks	faalankseid	PlP
faalanks	faalankseiks	PlTr
faalanks	faalankseil	PlAd
faalanks	faalankseile	PlAll
faalanks	faalankseilt	PlAbl
faalanks	faalankseis	PlIn
faalanks	faalankseisse	PlIll
faalanks	faalankseist	PlEl
faalanks	faalanksi	SgG
faalanks	faalanksid	PlN
faalanks	faalanksiga	SgKom
faalanks	faalanksiks	SgTr
faalanks	faalanksil	SgAd
faalanks	faalanksile	SgAll
faalanks	faalanksilt	SgAbl
faalanks	faalanksina	SgEs
faalanks	faalanksini	SgTer
faalanks	faalanksis	SgIn
faalanks	faalanksisse	SgIll
faalanks	faalanksist	SgEl
faalanks	faalanksit	SgP
faalanks	faalanksita	SgAb
faalanks	faalanksite	PlG
faalanks	faalanksitega	PlKom
faalanks	faalanksiteks	PlTr
faalanks	faalanksitel	PlAd
faalanks	faalanksitele	PlAll
faalanks	faalanksitelt	PlAbl
faalanks	faalanksitena	PlEs
faalanks	faalanksiteni	PlTer
faalanks	faalanksites	PlIn
faalanks	faalanksitesse	PlIll
faalanks	faalanksitest	PlEl
faalanks	faalanksiteta	PlAb
faarvaater	-	SgAdt
faarvaater	faarvaater	SgN
faarvaater	faarvaatreid	PlP
faarvaater	faarvaatreiks	PlTr
faarvaater	faarvaatreil	PlAd
faarvaater	faarvaatreile	PlAll
faarvaater	faarvaatreilt	PlAbl
faarvaater	faarvaatreis	PlIn
faarvaater	faarvaatreisse	PlIll
faarvaater	faarvaatreist	PlEl
faarvaater	faarvaatri	SgG
faarvaater	faarvaatrid	PlN
faarvaater	faarvaatriga	SgKom
faarvaater	faarvaatriks	SgTr
faarvaater	faarvaatril	SgAd
faarvaater	faarvaatrile	SgAll
faarvaater	faarvaatrilt	SgAbl
faarvaater	faarvaatrina	SgEs
faarvaater	faarvaatrini	SgTer
faarvaater	faarvaatris	SgIn
faarvaater	faarvaatrisse	SgIll
faarvaater	faarvaatrist	SgEl
faarvaater	faarvaatrit	SgP
faarvaater	faarvaatrita	SgAb
faarvaater	faarvaatrite	PlG
faarvaater	faarvaatritega	PlKom
faarvaater	faarvaatriteks	PlTr
faarvaater	faarvaatritel	PlAd
faarvaater	faarvaatritele	PlAll
faarvaater	faarvaatritelt	PlAbl
faarvaater	faarvaatritena	PlEs
faarvaater	faarvaatriteni	PlTer
faarvaater	faarvaatrites	PlIn
faarvaater	faarvaatritesse	PlIll
faarvaater	faarvaatritest	PlEl
faarvaater	faarvaatriteta	PlAb
faas	faas	SgN
faas	faase	PlP
faas	faaseks	PlTr
faas	faasel	PlAd
faas	faasele	PlAll
faas	faaselt	PlAbl
faas	faases	PlIn
faas	faasesse	PlIll
faas	faasest	PlEl
faas	faasi	SgAdt
faas	faasi	SgG
faas	faasi	SgP
faas	faasid	PlN
faas	faaside	PlG
faas	faasidega	PlKom
faas	faasideks	PlTr
faas	faasidel	PlAd
faas	faasidele	PlAll
faas	faasidelt	PlAbl
faas	faasidena	PlEs
faas	faasideni	PlTer
faas	faasides	PlIn
faas	faasidesse	PlIll
faas	faasidest	PlEl
faas	faasideta	PlAb
faas	faasiga	SgKom
faas	faasiks	SgTr
faas	faasil	SgAd
faas	faasile	SgAll
faas	faasilt	SgAbl
faas	faasina	SgEs
faas	faasini	SgTer
faas	faasis	SgIn
faas	faasisid	PlP
faas	faasisse	SgIll
faas	faasist	SgEl
faas	faasita	SgAb
faas	faas	SgN
faas	faase	PlP
faas	faaseks	PlTr
faas	faasel	PlAd
faas	faasele	PlAll
faas	faaselt	PlAbl
faas	faases	PlIn
faas	faasesse	PlIll
faas	faasest	PlEl
faas	faasi	SgAdt
faas	faasi	SgG
faas	faasi	SgP
faas	faasid	PlN
faas	faaside	PlG
faas	faasidega	PlKom
faas	faasideks	PlTr
faas	faasidel	PlAd
faas	faasidele	PlAll
faas	faasidelt	PlAbl
faas	faasidena	PlEs
faas	faasideni	PlTer
faas	faasides	PlIn
faas	faasidesse	PlIll
faas	faasidest	PlEl
faas	faasideta	PlAb
faas	faasiga	SgKom
faas	faasiks	SgTr
faas	faasil	SgAd
faas	faasile	SgAll
faas	faasilt	SgAbl
faas	faasina	SgEs
faas	faasini	SgTer
faas	faasis	SgIn
faas	faasisid	PlP
faas	faasisse	SgIll
faas	faasist	SgEl
faas	faasita	SgAb
faasan	-	SgAdt
faasan	faasan	SgN
faasan	faasaneid	PlP
faasan	faasaneiks	PlTr
faasan	faasaneil	PlAd
faasan	faasaneile	PlAll
faasan	faasaneilt	PlAbl
faasan	faasaneis	PlIn
faasan	faasaneisse	PlIll
faasan	faasaneist	PlEl
faasan	faasani	SgG
faasan	faasanid	PlN
faasan	faasaniga	SgKom
faasan	faasaniks	SgTr
faasan	faasanil	SgAd
faasan	faasanile	SgAll
faasan	faasanilt	SgAbl
faasan	faasanina	SgEs
faasan	faasanini	SgTer
faasan	faasanis	SgIn
faasan	faasanisse	SgIll
faasan	faasanist	SgEl
faasan	faasanit	SgP
faasan	faasanita	SgAb
faasan	faasanite	PlG
faasan	faasanitega	PlKom
faasan	faasaniteks	PlTr
faasan	faasanitel	PlAd
faasan	faasanitele	PlAll
faasan	faasanitelt	PlAbl
faasan	faasanitena	PlEs
faasan	faasaniteni	PlTer
faasan	faasanites	PlIn
faasan	faasanitesse	PlIll
faasan	faasanitest	PlEl
faasan	faasaniteta	PlAb
faasanikana	-	SgAdt
faasanikana	faasanikana	SgG
faasanikana	faasanikana	SgN
faasanikana	faasanikana	SgP
faasanikana	faasanikanad	PlN
faasanikana	faasanikanade	PlG
faasanikana	faasanikanadega	PlKom
faasanikana	faasanikanadeks	PlTr
faasanikana	faasanikanadel	PlAd
faasanikana	faasanikanadele	PlAll
faasanikana	faasanikanadelt	PlAbl
faasanikana	faasanikanadena	PlEs
faasanikana	faasanikanadeni	PlTer
faasanikana	faasanikanades	PlIn
faasanikana	faasanikanadesse	PlIll
faasanikana	faasanikanadest	PlEl
faasanikana	faasanikanadeta	PlAb
faasanikana	faasanikanaga	SgKom
faasanikana	faasanikanaks	SgTr
faasanikana	faasanikanal	SgAd
faasanikana	faasanikanale	SgAll
faasanikana	faasanikanalt	SgAbl
faasanikana	faasanikanana	SgEs
faasanikana	faasanikanani	SgTer
faasanikana	faasanikanas	SgIn
faasanikana	faasanikanasid	PlP
faasanikana	faasanikanasse	SgIll
faasanikana	faasanikanast	SgEl
faasanikana	faasanikanata	SgAb
faasanikana	faasanikanu	PlP
faasanikana	faasanikanuks	PlTr
faasanikana	faasanikanul	PlAd
faasanikana	faasanikanule	PlAll
faasanikana	faasanikanult	PlAbl
faasanikana	faasanikanus	PlIn
faasanikana	faasanikanusse	PlIll
faasanikana	faasanikanust	PlEl
faasanikukk	faasanikuke	SgG
faasanikukk	faasanikuked	PlN
faasanikukk	faasanikukega	SgKom
faasanikukk	faasanikukeks	SgTr
faasanikukk	faasanikukel	SgAd
faasanikukk	faasanikukele	SgAll
faasanikukk	faasanikukelt	SgAbl
faasanikukk	faasanikukena	SgEs
