lemma	form	morph_code
G	G	SgAdt
G	G	SgG
G	G	SgN
G	G	SgP
G	G-d	PlN
G	G-de	PlG
G	G-dega	PlKom
G	G-deks	PlTr
G	G-del	PlAd
G	G-dele	PlAll
G	G-delt	PlAbl
G	G-dena	PlEs
G	G-deni	PlTer
G	G-des	PlIn
G	G-desse	PlIll
G	G-dest	PlEl
G	G-deta	PlAb
G	G-ga	SgKom
G	G-ks	SgTr
G	G-l	SgAd
G	G-le	SgAll
G	G-lt	SgAbl
G	G-na	SgEs
G	G-ni	SgTer
G	G-s	SgIn
G	G-sid	PlP
G	G-sse	SgIll
G	G-st	SgEl
G	G-ta	SgAb
G7	G7	SgAdt
G7	G7	SgG
G7	G7	SgN
G7	G7-d	PlN
G7	G7-ga	SgKom
G7	G7-id	PlP
G7	G7-iks	PlTr
G7	G7-il	PlAd
G7	G7-ile	PlAll
G7	G7-ilt	PlAbl
G7	G7-is	PlIn
G7	G7-isse	PlIll
G7	G7-ist	PlEl
G7	G7-ks	SgTr
G7	G7-l	SgAd
G7	G7-le	SgAll
G7	G7-lt	SgAbl
G7	G7-na	SgEs
G7	G7-ni	SgTer
G7	G7-s	SgIn
G7	G7-sse	SgIll
G7	G7-st	SgEl
G7	G7-t	SgP
G7	G7-ta	SgAb
G7	G7-te	PlG
G7	G7-tega	PlKom
G7	G7-teks	PlTr
G7	G7-tel	PlAd
G7	G7-tele	PlAll
G7	G7-telt	PlAbl
G7	G7-tena	PlEs
G7	G7-teni	PlTer
G7	G7-tes	PlIn
G7	G7-tesse	PlIll
G7	G7-test	PlEl
G7	G7-teta	PlAb
g	g	SgAdt
g	g	SgG
g	g	SgN
g	gd	PlN
g	gd	SgP
g	gde	PlG
g	gdega	PlKom
g	gdeks	PlTr
g	gdel	PlAd
g	gdele	PlAll
g	gdelt	PlAbl
g	gdena	PlEs
g	gdeni	PlTer
g	gdes	PlIn
g	gdesse	PlIll
g	gdest	PlEl
g	gdeta	PlAb
g	gga	SgKom
g	gks	SgTr
g	gl	SgAd
g	gle	SgAll
g	glt	SgAbl
g	gna	SgEs
g	gni	SgTer
g	gs	SgIn
g	gsid	PlP
g	gsse	SgIll
g	gst	SgEl
g	gta	SgAb
Ga	Ga	ID
gaas	gaas	SgN
gaas	gaase	PlP
gaas	gaaseks	PlTr
gaas	gaasel	PlAd
gaas	gaasele	PlAll
gaas	gaaselt	PlAbl
gaas	gaases	PlIn
gaas	gaasesse	PlIll
gaas	gaasest	PlEl
gaas	gaasi	SgAdt
gaas	gaasi	SgG
gaas	gaasi	SgP
gaas	gaasid	PlN
gaas	gaaside	PlG
gaas	gaasidega	PlKom
gaas	gaasideks	PlTr
gaas	gaasidel	PlAd
gaas	gaasidele	PlAll
gaas	gaasidelt	PlAbl
gaas	gaasidena	PlEs
gaas	gaasideni	PlTer
gaas	gaasides	PlIn
gaas	gaasidesse	PlIll
gaas	gaasidest	PlEl
gaas	gaasideta	PlAb
gaas	gaasiga	SgKom
gaas	gaasiks	SgTr
gaas	gaasil	SgAd
gaas	gaasile	SgAll
gaas	gaasilt	SgAbl
gaas	gaasina	SgEs
gaas	gaasini	SgTer
gaas	gaasis	SgIn
gaas	gaasisid	PlP
gaas	gaasisse	SgIll
gaas	gaasist	SgEl
gaas	gaasita	SgAb
gaas	gaas	SgN
gaas	gaase	PlP
gaas	gaaseks	PlTr
gaas	gaasel	PlAd
gaas	gaasele	PlAll
gaas	gaaselt	PlAbl
gaas	gaases	PlIn
gaas	gaasesse	PlIll
gaas	gaasest	PlEl
gaas	gaasi	SgAdt
gaas	gaasi	SgG
gaas	gaasi	SgP
gaas	gaasid	PlN
gaas	gaaside	PlG
gaas	gaasidega	PlKom
gaas	gaasideks	PlTr
gaas	gaasidel	PlAd
gaas	gaasidele	PlAll
gaas	gaasidelt	PlAbl
gaas	gaasidena	PlEs
gaas	gaasideni	PlTer
gaas	gaasides	PlIn
gaas	gaasidesse	PlIll
gaas	gaasidest	PlEl
gaas	gaasideta	PlAb
gaas	gaasiga	SgKom
gaas	gaasiks	SgTr
gaas	gaasil	SgAd
gaas	gaasile	SgAll
gaas	gaasilt	SgAbl
gaas	gaasina	SgEs
gaas	gaasini	SgTer
gaas	gaasis	SgIn
gaas	gaasisid	PlP
gaas	gaasisse	SgIll
gaas	gaasist	SgEl
gaas	gaasita	SgAb
gaasbetoon	gaasbetoon	SgN
gaasbetoon	gaasbetoone	PlP
gaasbetoon	gaasbetooneks	PlTr
gaasbetoon	gaasbetoonel	PlAd
gaasbetoon	gaasbetoonele	PlAll
gaasbetoon	gaasbetoonelt	PlAbl
gaasbetoon	gaasbetoones	PlIn
gaasbetoon	gaasbetoonesse	PlIll
gaasbetoon	gaasbetoonest	PlEl
gaasbetoon	gaasbetooni	SgAdt
gaasbetoon	gaasbetooni	SgG
gaasbetoon	gaasbetooni	SgP
gaasbetoon	gaasbetoonid	PlN
gaasbetoon	gaasbetoonide	PlG
gaasbetoon	gaasbetoonidega	PlKom
gaasbetoon	gaasbetoonideks	PlTr
gaasbetoon	gaasbetoonidel	PlAd
gaasbetoon	gaasbetoonidele	PlAll
gaasbetoon	gaasbetoonidelt	PlAbl
gaasbetoon	gaasbetoonidena	PlEs
gaasbetoon	gaasbetoonideni	PlTer
gaasbetoon	gaasbetoonides	PlIn
gaasbetoon	gaasbetoonidesse	PlIll
gaasbetoon	gaasbetoonidest	PlEl
gaasbetoon	gaasbetoonideta	PlAb
gaasbetoon	gaasbetooniga	SgKom
gaasbetoon	gaasbetooniks	SgTr
gaasbetoon	gaasbetoonil	SgAd
gaasbetoon	gaasbetoonile	SgAll
gaasbetoon	gaasbetoonilt	SgAbl
gaasbetoon	gaasbetoonina	SgEs
gaasbetoon	gaasbetoonini	SgTer
gaasbetoon	gaasbetoonis	SgIn
gaasbetoon	gaasbetoonisid	PlP
gaasbetoon	gaasbetoonisse	SgIll
gaasbetoon	gaasbetoonist	SgEl
gaasbetoon	gaasbetoonita	SgAb
gaasgangreen	gaasgangreen	SgN
gaasgangreen	gaasgangreene	PlP
gaasgangreen	gaasgangreeneks	PlTr
gaasgangreen	gaasgangreenel	PlAd
gaasgangreen	gaasgangreenele	PlAll
gaasgangreen	gaasgangreenelt	PlAbl
gaasgangreen	gaasgangreenes	PlIn
gaasgangreen	gaasgangreenesse	PlIll
gaasgangreen	gaasgangreenest	PlEl
gaasgangreen	gaasgangreeni	SgAdt
gaasgangreen	gaasgangreeni	SgG
gaasgangreen	gaasgangreeni	SgP
gaasgangreen	gaasgangreenid	PlN
gaasgangreen	gaasgangreenide	PlG
gaasgangreen	gaasgangreenidega	PlKom
gaasgangreen	gaasgangreenideks	PlTr
gaasgangreen	gaasgangreenidel	PlAd
gaasgangreen	gaasgangreenidele	PlAll
gaasgangreen	gaasgangreenidelt	PlAbl
gaasgangreen	gaasgangreenidena	PlEs
gaasgangreen	gaasgangreenideni	PlTer
gaasgangreen	gaasgangreenides	PlIn
gaasgangreen	gaasgangreenidesse	PlIll
gaasgangreen	gaasgangreenidest	PlEl
gaasgangreen	gaasgangreenideta	PlAb
gaasgangreen	gaasgangreeniga	SgKom
gaasgangreen	gaasgangreeniks	SgTr
gaasgangreen	gaasgangreenil	SgAd
gaasgangreen	gaasgangreenile	SgAll
gaasgangreen	gaasgangreenilt	SgAbl
gaasgangreen	gaasgangreenina	SgEs
gaasgangreen	gaasgangreenini	SgTer
gaasgangreen	gaasgangreenis	SgIn
gaasgangreen	gaasgangreenisid	PlP
gaasgangreen	gaasgangreenisse	SgIll
gaasgangreen	gaasgangreenist	SgEl
gaasgangreen	gaasgangreenita	SgAb
gaasiahi	gaasiahi	SgN
gaasiahi	gaasiahje	PlP
gaasiahi	gaasiahjeks	PlTr
gaasiahi	gaasiahjel	PlAd
gaasiahi	gaasiahjele	PlAll
gaasiahi	gaasiahjelt	PlAbl
gaasiahi	gaasiahjes	PlIn
gaasiahi	gaasiahjesse	PlIll
gaasiahi	gaasiahjest	PlEl
