lemma	form	morph_code
H	H	ID
h	h	SgAdt
h	h	SgG
h	h	SgN
h	hd	PlN
h	hd	SgP
h	hde	PlG
h	hdega	PlKom
h	hdeks	PlTr
h	hdel	PlAd
h	hdele	PlAll
h	hdelt	PlAbl
h	hdena	PlEs
h	hdeni	PlTer
h	hdes	PlIn
h	hdesse	PlIll
h	hdest	PlEl
h	hdeta	PlAb
h	hga	SgKom
h	hks	SgTr
h	hl	SgAd
h	hle	SgAll
h	hlt	SgAbl
h	hna	SgEs
h	hni	SgTer
h	hs	SgIn
h	hsid	PlP
h	hsse	SgIll
h	hst	SgEl
h	hta	SgAb
ha	ha	SgAdt
ha	ha	SgG
ha	ha	SgN
ha	ha-d	PlN
ha	ha-ga	SgKom
ha	ha-id	PlP
ha	ha-iks	PlTr
ha	ha-il	PlAd
ha	ha-ile	PlAll
ha	ha-ilt	PlAbl
ha	ha-is	PlIn
ha	ha-isse	PlIll
ha	ha-ist	PlEl
ha	ha-ks	SgTr
ha	ha-l	SgAd
ha	ha-le	SgAll
ha	ha-lt	SgAbl
ha	ha-na	SgEs
ha	ha-ni	SgTer
ha	ha-s	SgIn
ha	ha-sse	SgIll
ha	ha-st	SgEl
ha	ha-t	SgP
ha	ha-ta	SgAb
ha	ha-te	PlG
ha	ha-tega	PlKom
ha	ha-teks	PlTr
ha	ha-tel	PlAd
ha	ha-tele	PlAll
ha	ha-telt	PlAbl
ha	ha-tena	PlEs
ha	ha-teni	PlTer
ha	ha-tes	PlIn
ha	ha-tesse	PlIll
ha	ha-test	PlEl
ha	ha-teta	PlAb
haa	haa	ID
haab	haab	SgN
haab	haaba	SgAdt
haab	haaba	SgP
haab	haabade	PlG
haab	haabadega	PlKom
haab	haabadeks	PlTr
haab	haabadel	PlAd
haab	haabadele	PlAll
haab	haabadelt	PlAbl
haab	haabadena	PlEs
haab	haabadeni	PlTer
haab	haabades	PlIn
haab	haabadesse	PlIll
haab	haabadest	PlEl
haab	haabadeta	PlAb
haab	haabasid	PlP
haab	haabu	PlP
haab	haava	SgG
haab	haavad	PlN
haab	haavaga	SgKom
haab	haavaks	SgTr
haab	haaval	SgAd
haab	haavale	SgAll
haab	haavalt	SgAbl
haab	haavana	SgEs
haab	haavani	SgTer
haab	haavas	SgIn
haab	haavasse	SgIll
haab	haavast	SgEl
haab	haavata	SgAb
haab	haavuks	PlTr
haab	haavul	PlAd
haab	haavule	PlAll
haab	haavult	PlAbl
haab	haavus	PlIn
haab	haavusse	PlIll
haab	haavust	PlEl
haabitus	haabitus	SgN
haabitus	haabituse	SgG
haabitus	haabitused	PlN
haabitus	haabitusega	SgKom
haabitus	haabituseks	SgTr
haabitus	haabitusel	SgAd
haabitus	haabitusele	SgAll
haabitus	haabituselt	SgAbl
haabitus	haabitusena	SgEs
haabitus	haabituseni	SgTer
haabitus	haabituses	SgIn
haabitus	haabitusesse	SgIll
haabitus	haabitusest	SgEl
haabitus	haabituseta	SgAb
haabitus	haabitusi	PlP
haabitus	haabitusiks	PlTr
haabitus	haabitusil	PlAd
haabitus	haabitusile	PlAll
haabitus	haabitusilt	PlAbl
haabitus	haabitusis	PlIn
haabitus	haabitusisse	PlIll
haabitus	haabitusist	PlEl
haabitus	haabitusse	SgAdt
haabitus	haabitust	SgP
haabitus	haabituste	PlG
haabitus	haabitustega	PlKom
haabitus	haabitusteks	PlTr
haabitus	haabitustel	PlAd
haabitus	haabitustele	PlAll
haabitus	haabitustelt	PlAbl
haabitus	haabitustena	PlEs
haabitus	haabitusteni	PlTer
haabitus	haabitustes	PlIn
haabitus	haabitustesse	PlIll
haabitus	haabitustest	PlEl
haabitus	haabitusteta	PlAb
haabjas	-	SgAdt
haabjas	haabja	SgG
haabjas	haabjad	PlN
haabjas	haabjaga	SgKom
haabjas	haabjaid	PlP
haabjas	haabjaiks	PlTr
haabjas	haabjail	PlAd
haabjas	haabjaile	PlAll
haabjas	haabjailt	PlAbl
haabjas	haabjais	PlIn
haabjas	haabjaisse	PlIll
haabjas	haabjaist	PlEl
haabjas	haabjaks	SgTr
haabjas	haabjal	SgAd
haabjas	haabjale	SgAll
haabjas	haabjalt	SgAbl
haabjas	haabjana	SgEs
haabjas	haabjani	SgTer
haabjas	haabjas	SgIn
haabjas	haabjas	SgN
haabjas	haabjasse	SgIll
haabjas	haabjast	SgEl
haabjas	haabjat	SgP
haabjas	haabjata	SgAb
haabjas	haabjate	PlG
haabjas	haabjatega	PlKom
haabjas	haabjateks	PlTr
haabjas	haabjatel	PlAd
haabjas	haabjatele	PlAll
haabjas	haabjatelt	PlAbl
haabjas	haabjatena	PlEs
haabjas	haabjateni	PlTer
haabjas	haabjates	PlIn
haabjas	haabjatesse	PlIll
haabjas	haabjatest	PlEl
haabjas	haabjateta	PlAb
haage	-	SgAdt
haage	haage	SgN
haage	haaget	SgP
haage	haagete	PlG
haage	haagetega	PlKom
haage	haageteks	PlTr
haage	haagetel	PlAd
haage	haagetele	PlAll
haage	haagetelt	PlAbl
haage	haagetena	PlEs
haage	haageteni	PlTer
haage	haagetes	PlIn
haage	haagetesse	PlIll
haage	haagetest	PlEl
haage	haageteta	PlAb
haage	haake	SgG
haage	haaked	PlN
haage	haakega	SgKom
haage	haakeid	PlP
haage	haakeiks	PlTr
haage	haakeil	PlAd
haage	haakeile	PlAll
haage	haakeilt	PlAbl
haage	haakeis	PlIn
haage	haakeisse	PlIll
haage	haakeist	PlEl
haage	haakeks	SgTr
haage	haakel	SgAd
haage	haakele	SgAll
haage	haakelt	SgAbl
haage	haakena	SgEs
haage	haakeni	SgTer
haage	haakes	SgIn
haage	haakesse	SgIll
haage	haakest	SgEl
haage	haaketa	SgAb
haagikohtunik	haagikohtunik	SgN
haagikohtunik	haagikohtunike	PlG
haagikohtunik	haagikohtunikega	PlKom
haagikohtunik	haagikohtunikeks	PlTr
haagikohtunik	haagikohtunikel	PlAd
haagikohtunik	haagikohtunikele	PlAll
haagikohtunik	haagikohtunikelt	PlAbl
haagikohtunik	haagikohtunikena	PlEs
haagikohtunik	haagikohtunikeni	PlTer
haagikohtunik	haagikohtunikes	PlIn
haagikohtunik	haagikohtunikesse	PlIll
haagikohtunik	haagikohtunikest	PlEl
haagikohtunik	haagikohtuniketa	PlAb
haagikohtunik	haagikohtunikke	PlP
haagikohtunik	haagikohtunikku	SgAdt
haagikohtunik	haagikohtunikku	SgP
haagikohtunik	haagikohtunikkude	PlG
haagikohtunik	haagikohtunikkudega	PlKom
haagikohtunik	haagikohtunikkudeks	PlTr
haagikohtunik	haagikohtunikkudel	PlAd
haagikohtunik	haagikohtunikkudele	PlAll
haagikohtunik	haagikohtunikkudelt	PlAbl
haagikohtunik	haagikohtunikkudena	PlEs
haagikohtunik	haagikohtunikkudeni	PlTer
haagikohtunik	haagikohtunikkudes	PlIn
haagikohtunik	haagikohtunikkudesse	PlIll
haagikohtunik	haagikohtunikkudest	PlEl
haagikohtunik	haagikohtunikkudeta	PlAb
haagikohtunik	haagikohtunikkusid	PlP
haagikohtunik	haagikohtuniku	SgG
haagikohtunik	haagikohtunikud	PlN
haagikohtunik	haagikohtunikuga	SgKom
haagikohtunik	haagikohtunikuks	SgTr
haagikohtunik	haagikohtunikul	SgAd
haagikohtunik	haagikohtunikule	SgAll
haagikohtunik	haagikohtunikult	SgAbl
haagikohtunik	haagikohtunikuna	SgEs
haagikohtunik	haagikohtunikuni	SgTer
haagikohtunik	haagikohtunikus	SgIn
haagikohtunik	haagikohtunikusse	SgIll
haagikohtunik	haagikohtunikust	SgEl
haagikohtunik	haagikohtunikuta	SgAb
haagis	-	SgAdt
haagis	haagis	SgN
haagis	haagise	SgG
haagis	haagised	PlN
haagis	haagisega	SgKom
haagis	haagiseid	PlP
haagis	haagiseiks	PlTr
haagis	haagiseil	PlAd
haagis	haagiseile	PlAll
haagis	haagiseilt	PlAbl
haagis	haagiseis	PlIn
haagis	haagiseisse	PlIll
haagis	haagiseist	PlEl
haagis	haagiseks	SgTr
haagis	haagisel	SgAd
haagis	haagisele	SgAll
haagis	haagiselt	SgAbl
haagis	haagisena	SgEs
haagis	haagiseni	SgTer
haagis	haagises	SgIn
haagis	haagisesse	SgIll
haagis	haagisest	SgEl
haagis	haagiseta	SgAb
haagis	haagist	SgP
haagis	haagiste	PlG
haagis	haagistega	PlKom
haagis	haagisteks	PlTr
haagis	haagistel	PlAd
haagis	haagistele	PlAll
haagis	haagistelt	PlAbl
haagis	haagistena	PlEs
haagis	haagisteni	PlTer
haagis	haagistes	PlIn
haagis	haagistesse	PlIll
haagis	haagistest	PlEl
haagis	haagisteta	PlAb
haagissuvila	-	SgAdt
haagissuvila	haagissuvila	SgG
haagissuvila	haagissuvila	SgN
haagissuvila	haagissuvilad	PlN
haagissuvila	haagissuvilaga	SgKom
haagissuvila	haagissuvilaid	PlP
haagissuvila	haagissuvilaiks	PlTr
haagissuvila	haagissuvilail	PlAd
haagissuvila	haagissuvilaile	PlAll
haagissuvila	haagissuvilailt	PlAbl
haagissuvila	haagissuvilais	PlIn
haagissuvila	haagissuvilaisse	PlIll
haagissuvila	haagissuvilaist	PlEl
haagissuvila	haagissuvilaks	SgTr
haagissuvila	haagissuvilal	SgAd
haagissuvila	haagissuvilale	SgAll
haagissuvila	haagissuvilalt	SgAbl
haagissuvila	haagissuvilana	SgEs
haagissuvila	haagissuvilani	SgTer
haagissuvila	haagissuvilas	SgIn
haagissuvila	haagissuvilasse	SgIll
haagissuvila	haagissuvilast	SgEl
haagissuvila	haagissuvilat	SgP
haagissuvila	haagissuvilata	SgAb
haagissuvila	haagissuvilate	PlG
haagissuvila	haagissuvilatega	PlKom
haagissuvila	haagissuvilateks	PlTr
haagissuvila	haagissuvilatel	PlAd
haagissuvila	haagissuvilatele	PlAll
haagissuvila	haagissuvilatelt	PlAbl
haagissuvila	haagissuvilatena	PlEs
haagissuvila	haagissuvilateni	PlTer
haagissuvila	haagissuvilates	PlIn
haagissuvila	haagissuvilatesse	PlIll
haagissuvila	haagissuvilatest	PlEl
haagissuvila	haagissuvilateta	PlAb
