lemma	form	morph_code
I	I	ID
i	i	SgAdt
i	i	SgG
i	i	SgN
i	id	PlN
i	id	SgP
i	ide	PlG
i	idega	PlKom
i	ideks	PlTr
i	idel	PlAd
i	idele	PlAll
i	idelt	PlAbl
i	idena	PlEs
i	ideni	PlTer
i	ides	PlIn
i	idesse	PlIll
i	idest	PlEl
i	ideta	PlAb
i	iga	SgKom
i	iks	SgTr
i	il	SgAd
i	ile	SgAll
i	ilt	SgAbl
i	ina	SgEs
i	ini	SgTer
i	is	SgIn
i	isid	PlP
i	isse	SgIll
i	ist	SgEl
i	ita	SgAb
i	i	ID
ib.	ib.	ID
iba ajama	aeta iba	IndPrIps_
iba ajama	aetagu iba	ImpPrIps
iba ajama	aetaks iba	KndPrIps
iba ajama	aetakse iba	IndPrIps
iba ajama	aetavat iba	KvtPrIps
iba ajama	aeti iba	IndIpfIps
iba ajama	aetud iba	PtsPtIpsNeg
iba ajama	aetuks iba	KndPtIps
iba ajama	aetuvat iba	KvtPtIps
iba ajama	aja iba	ImpPrSg2
iba ajama	aja iba	IndPrPs_
iba ajama	ajab iba	IndPrSg3
iba ajama	ajad iba	IndPrSg2
iba ajama	ajage iba	ImpPrPl2
iba ajama	ajagem iba	ImpPrPl1
iba ajama	ajagu iba	ImpPrPs
iba ajama	ajaks iba	KndPrPs
iba ajama	ajaksid iba	KndPrPl3
iba ajama	ajaksid iba	KndPrSg2
iba ajama	ajaksime iba	KndPrPl1
iba ajama	ajaksin iba	KndPrSg1
iba ajama	ajaksite iba	KndPrPl2
iba ajama	ajame iba	IndPrPl1
iba ajama	ajan iba	IndPrSg1
iba ajama	ajanud iba	PtsPtPsNeg
iba ajama	ajanuks iba	KndPtPs
iba ajama	ajanuksid iba	KndPtPl3
iba ajama	ajanuksid iba	KndPtSg2
iba ajama	ajanuksime iba	KndPtPl1
iba ajama	ajanuksin iba	KndPtSg1
iba ajama	ajanuksite iba	KndPtPl2
iba ajama	ajanuvat iba	KvtPtPs
iba ajama	ajas iba	IndIpfSg3
iba ajama	ajasid iba	IndIpfPl3
iba ajama	ajasid iba	IndIpfSg2
iba ajama	ajasime iba	IndIpfPl1
iba ajama	ajasin iba	IndIpfSg1
iba ajama	ajasite iba	IndIpfPl2
iba ajama	ajate iba	IndPrPl2
iba ajama	ajavad iba	IndPrPl3
iba ajama	ajavat iba	KvtPrPs
iba ajama	iba aetama	SupIps
iba ajama	iba aetav	PtsPrIps
iba ajama	iba aetud	PtsPtIps
iba ajama	iba ajada	Inf
iba ajama	iba ajades	Ger
iba ajama	iba ajama	Sup
iba ajama	iba ajamaks	SupTr
iba ajama	iba ajamas	SupIn
iba ajama	iba ajamast	SupEl
iba ajama	iba ajamata	SupAb
iba ajama	iba ajanud	PtsPtPs
iba ajama	iba ajav	PtsPrPs
ibe	ibe	SgG
ibe	ibe	SgN
ibe	ibed	PlN
ibe	ibede	PlG
ibe	ibedega	PlKom
ibe	ibedeks	PlTr
ibe	ibedel	PlAd
ibe	ibedele	PlAll
ibe	ibedelt	PlAbl
ibe	ibedena	PlEs
ibe	ibedeni	PlTer
ibe	ibedes	PlIn
ibe	ibedesse	PlIll
ibe	ibedest	PlEl
ibe	ibedeta	PlAb
ibe	ibega	SgKom
ibe	ibeks	SgTr
ibe	ibel	SgAd
ibe	ibele	SgAll
ibe	ibelt	SgAbl
ibe	ibena	SgEs
ibe	ibeni	SgTer
ibe	ibes	SgIn
ibe	ibesid	PlP
ibe	ibesse	SgIll
ibe	ibest	SgEl
ibe	ibet	SgP
ibe	ibeta	SgAb
ibeer	ibeer	SgN
ibeer	ibeere	PlP
ibeer	ibeereks	PlTr
ibeer	ibeerel	PlAd
ibeer	ibeerele	PlAll
ibeer	ibeerelt	PlAbl
ibeer	ibeeres	PlIn
ibeer	ibeeresse	PlIll
ibeer	ibeerest	PlEl
ibeer	ibeeri	SgAdt
ibeer	ibeeri	SgG
ibeer	ibeeri	SgP
ibeer	ibeerid	PlN
ibeer	ibeeride	PlG
ibeer	ibeeridega	PlKom
ibeer	ibeerideks	PlTr
ibeer	ibeeridel	PlAd
ibeer	ibeeridele	PlAll
ibeer	ibeeridelt	PlAbl
ibeer	ibeeridena	PlEs
ibeer	ibeerideni	PlTer
ibeer	ibeerides	PlIn
ibeer	ibeeridesse	PlIll
ibeer	ibeeridest	PlEl
ibeer	ibeerideta	PlAb
ibeer	ibeeriga	SgKom
ibeer	ibeeriks	SgTr
ibeer	ibeeril	SgAd
ibeer	ibeerile	SgAll
ibeer	ibeerilt	SgAbl
ibeer	ibeerina	SgEs
ibeer	ibeerini	SgTer
ibeer	ibeeris	SgIn
ibeer	ibeerisid	PlP
ibeer	ibeerisse	SgIll
ibeer	ibeerist	SgEl
ibeer	ibeerita	SgAb
Ibeeria poolsaar	Ibeeria poolsaar	SgN
Ibeeria poolsaar	Ibeeria poolsaarde	SgAdt
Ibeeria poolsaar	Ibeeria poolsaare	SgG
Ibeeria poolsaar	Ibeeria poolsaarega	SgKom
Ibeeria poolsaar	Ibeeria poolsaareks	SgTr
Ibeeria poolsaar	Ibeeria poolsaarel	SgAd
Ibeeria poolsaar	Ibeeria poolsaarele	SgAll
Ibeeria poolsaar	Ibeeria poolsaarelt	SgAbl
Ibeeria poolsaar	Ibeeria poolsaarena	SgEs
Ibeeria poolsaar	Ibeeria poolsaareni	SgTer
Ibeeria poolsaar	Ibeeria poolsaares	SgIn
Ibeeria poolsaar	Ibeeria poolsaaresse	SgIll
Ibeeria poolsaar	Ibeeria poolsaarest	SgEl
Ibeeria poolsaar	Ibeeria poolsaareta	SgAb
Ibeeria poolsaar	Ibeeria poolsaart	SgP
ibeeris	-	SgAdt
ibeeris	ibeeris	SgN
ibeeris	ibeerise	SgG
ibeeris	ibeerised	PlN
ibeeris	ibeerisega	SgKom
ibeeris	ibeeriseid	PlP
ibeeris	ibeeriseiks	PlTr
ibeeris	ibeeriseil	PlAd
ibeeris	ibeeriseile	PlAll
ibeeris	ibeeriseilt	PlAbl
ibeeris	ibeeriseis	PlIn
ibeeris	ibeeriseisse	PlIll
ibeeris	ibeeriseist	PlEl
ibeeris	ibeeriseks	SgTr
ibeeris	ibeerisel	SgAd
ibeeris	ibeerisele	SgAll
ibeeris	ibeeriselt	SgAbl
ibeeris	ibeerisena	SgEs
ibeeris	ibeeriseni	SgTer
ibeeris	ibeerises	SgIn
ibeeris	ibeerisesse	SgIll
ibeeris	ibeerisest	SgEl
ibeeris	ibeeriseta	SgAb
ibeeris	ibeerist	SgP
ibeeris	ibeeriste	PlG
ibeeris	ibeeristega	PlKom
ibeeris	ibeeristeks	PlTr
ibeeris	ibeeristel	PlAd
ibeeris	ibeeristele	PlAll
ibeeris	ibeeristelt	PlAbl
ibeeris	ibeeristena	PlEs
ibeeris	ibeeristeni	PlTer
ibeeris	ibeeristes	PlIn
ibeeris	ibeeristesse	PlIll
ibeeris	ibeeristest	PlEl
ibeeris	ibeeristeta	PlAb
Iberico sink	Iberico singi	SgG
Iberico sink	Iberico singid	PlN
Iberico sink	Iberico singiga	SgKom
Iberico sink	Iberico singiks	SgTr
Iberico sink	Iberico singil	SgAd
Iberico sink	Iberico singile	SgAll
Iberico sink	Iberico singilt	SgAbl
Iberico sink	Iberico singina	SgEs
Iberico sink	Iberico singini	SgTer
Iberico sink	Iberico singis	SgIn
Iberico sink	Iberico singisse	SgIll
Iberico sink	Iberico singist	SgEl
Iberico sink	Iberico singita	SgAb
Iberico sink	Iberico sink	SgN
Iberico sink	Iberico sinke	PlP
Iberico sink	Iberico sinki	SgAdt
Iberico sink	Iberico sinki	SgP
Iberico sink	Iberico sinkide	PlG
Iberico sink	Iberico sinkidega	PlKom
Iberico sink	Iberico sinkideks	PlTr
Iberico sink	Iberico sinkidel	PlAd
Iberico sink	Iberico sinkidele	PlAll
Iberico sink	Iberico sinkidelt	PlAbl
Iberico sink	Iberico sinkidena	PlEs
Iberico sink	Iberico sinkideni	PlTer
Iberico sink	Iberico sinkides	PlIn
Iberico sink	Iberico sinkidesse	PlIll
Iberico sink	Iberico sinkidest	PlEl
Iberico sink	Iberico sinkideta	PlAb
Iberico sink	Iberico sinkisid	PlP
ibid.	ibid.	ID
ibidem	ibidem	ID
Ibiza	Ibiza	SgAdt
Ibiza	Ibiza	SgG
Ibiza	Ibiza	SgN
Ibiza	Ibizad	PlN
Ibiza	Ibizade	PlG
Ibiza	Ibizadega	PlKom
Ibiza	Ibizadeks	PlTr
Ibiza	Ibizadel	PlAd
Ibiza	Ibizadele	PlAll
Ibiza	Ibizadelt	PlAbl
Ibiza	Ibizadena	PlEs
Ibiza	Ibizadeni	PlTer
Ibiza	Ibizades	PlIn
Ibiza	Ibizadesse	PlIll
Ibiza	Ibizadest	PlEl
Ibiza	Ibizadeta	PlAb
Ibiza	Ibizaga	SgKom
Ibiza	Ibizaks	SgTr
Ibiza	Ibizal	SgAd
Ibiza	Ibizale	SgAll
Ibiza	Ibizalt	SgAbl
Ibiza	Ibizana	SgEs
Ibiza	Ibizani	SgTer
Ibiza	Ibizas	SgIn
Ibiza	Ibizasid	PlP
Ibiza	Ibizasse	SgIll
Ibiza	Ibizast	SgEl
Ibiza	Ibizat	SgP
Ibiza	Ibizata	SgAb
ibo	-	SgAdt
ibo	ibo	SgG
ibo	ibo	SgN
ibo	ibo	SgP
ibo	ibod	PlN
ibo	ibode	PlG
ibo	ibodega	PlKom
ibo	ibodeks	PlTr
ibo	ibodel	PlAd
ibo	ibodele	PlAll
ibo	ibodelt	PlAbl
ibo	ibodena	PlEs
ibo	ibodeni	PlTer
ibo	ibodes	PlIn
ibo	ibodesse	PlIll
ibo	ibodest	PlEl
ibo	ibodeta	PlAb
ibo	iboga	SgKom
ibo	iboks	SgTr
ibo	ibol	SgAd
ibo	ibole	SgAll
ibo	ibolt	SgAbl
ibo	ibona	SgEs
ibo	iboni	SgTer
ibo	ibos	SgIn
ibo	ibosid	PlP
ibo	ibosse	SgIll
ibo	ibost	SgEl
ibo	ibot	SgP
ibo	ibota	SgAb
ibuprofeen	ibuprofeen	SgN
ibuprofeen	ibuprofeene	PlP
ibuprofeen	ibuprofeeneks	PlTr
ibuprofeen	ibuprofeenel	PlAd
ibuprofeen	ibuprofeenele	PlAll
ibuprofeen	ibuprofeenelt	PlAbl
ibuprofeen	ibuprofeenes	PlIn
ibuprofeen	ibuprofeenesse	PlIll
ibuprofeen	ibuprofeenest	PlEl
ibuprofeen	ibuprofeeni	SgAdt
ibuprofeen	ibuprofeeni	SgG
ibuprofeen	ibuprofeeni	SgP
ibuprofeen	ibuprofeenid	PlN
ibuprofeen	ibuprofeenide	PlG
ibuprofeen	ibuprofeenidega	PlKom
ibuprofeen	ibuprofeenideks	PlTr
ibuprofeen	ibuprofeenidel	PlAd
ibuprofeen	ibuprofeenidele	PlAll
ibuprofeen	ibuprofeenidelt	PlAbl
ibuprofeen	ibuprofeenidena	PlEs
ibuprofeen	ibuprofeenideni	PlTer
ibuprofeen	ibuprofeenides	PlIn
ibuprofeen	ibuprofeenidesse	PlIll
ibuprofeen	ibuprofeenidest	PlEl
ibuprofeen	ibuprofeenideta	PlAb
ibuprofeen	ibuprofeeniga	SgKom
ibuprofeen	ibuprofeeniks	SgTr
ibuprofeen	ibuprofeenil	SgAd
ibuprofeen	ibuprofeenile	SgAll
ibuprofeen	ibuprofeenilt	SgAbl
ibuprofeen	ibuprofeenina	SgEs
ibuprofeen	ibuprofeenini	SgTer
ibuprofeen	ibuprofeenis	SgIn
ibuprofeen	ibuprofeenisid	PlP
ibuprofeen	ibuprofeenisse	SgIll
ibuprofeen	ibuprofeenist	SgEl
ibuprofeen	ibuprofeenita	SgAb
ida	Ida	??
ida	ida	SgG
ida	ida	SgN
ida	ida	SgP
ida	idad	PlN
ida	idade	PlG
ida	idadega	PlKom
ida	idadeks	PlTr
ida	idadel	PlAd
ida	idadele	PlAll
ida	idadelt	PlAbl
ida	idadena	PlEs
ida	idadeni	PlTer
ida	idades	PlIn
ida	idadesse	PlIll
ida	idadest	PlEl
ida	idadeta	PlAb
ida	idaga	SgKom
ida	idaks	SgTr
ida	idal	SgAd
ida	idale	SgAll
ida	idalt	SgAbl
ida	idana	SgEs
ida	idani	SgTer
ida	idas	SgIn
ida	idasid	PlP
ida	idasse	SgIll
ida	idast	SgEl
ida	idata	SgAb
ida	itta	SgAdt
idaala	-	SgAdt
idaala	idaala	SgG
idaala	idaala	SgN
idaala	idaala	SgP
idaala	idaalad	PlN
idaala	idaalade	PlG
idaala	idaaladega	PlKom
idaala	idaaladeks	PlTr
idaala	idaaladel	PlAd
idaala	idaaladele	PlAll
idaala	idaaladelt	PlAbl
idaala	idaaladena	PlEs
idaala	idaaladeni	PlTer
idaala	idaalades	PlIn
idaala	idaaladesse	PlIll
idaala	idaaladest	PlEl
idaala	idaaladeta	PlAb
idaala	idaalaga	SgKom
idaala	idaalaks	SgTr
idaala	idaalal	SgAd
idaala	idaalale	SgAll
idaala	idaalalt	SgAbl
idaala	idaalana	SgEs
idaala	idaalani	SgTer
idaala	idaalas	SgIn
idaala	idaalasid	PlP
idaala	idaalasse	SgIll
idaala	idaalast	SgEl
idaala	idaalata	SgAb
idaala	idaalu	PlP
idaala	idaaluks	PlTr
idaala	idaalul	PlAd
idaala	idaalule	PlAll
idaala	idaalult	PlAbl
idaala	idaalus	PlIn
idaala	idaalusse	PlIll
idaala	idaalust	PlEl
idablokk	idablokeks	PlTr
idablokk	idablokel	PlAd
idablokk	idablokele	PlAll
idablokk	idablokelt	PlAbl
idablokk	idablokes	PlIn
idablokk	idablokesse	PlIll
idablokk	idablokest	PlEl
idablokk	idabloki	SgG
idablokk	idablokid	PlN
idablokk	idablokiga	SgKom
idablokk	idablokiks	SgTr
idablokk	idablokil	SgAd
idablokk	idablokile	SgAll
idablokk	idablokilt	SgAbl
idablokk	idablokina	SgEs
idablokk	idablokini	SgTer
idablokk	idablokis	SgIn
idablokk	idablokisse	SgIll
idablokk	idablokist	SgEl
idablokk	idablokita	SgAb
idablokk	idablokk	SgN
idablokk	idablokke	PlP
idablokk	idablokki	SgAdt
idablokk	idablokki	SgP
idablokk	idablokkide	PlG
idablokk	idablokkidega	PlKom
idablokk	idablokkideks	PlTr
idablokk	idablokkidel	PlAd
idablokk	idablokkidele	PlAll
idablokk	idablokkidelt	PlAbl
idablokk	idablokkidena	PlEs
idablokk	idablokkideni	PlTer
idablokk	idablokkides	PlIn
idablokk	idablokkidesse	PlIll
idablokk	idablokkidest	PlEl
idablokk	idablokkideta	PlAb
idablokk	idablokkisid	PlP
Ida-Eesti	Ida-Eesti	SgAdt
Ida-Eesti	Ida-Eesti	SgG
Ida-Eesti	Ida-Eesti	SgN
Ida-Eesti	Ida-Eestid	PlN
Ida-Eesti	Ida-Eestide	PlG
Ida-Eesti	Ida-Eestidega	PlKom
Ida-Eesti	Ida-Eestideks	PlTr
Ida-Eesti	Ida-Eestidel	PlAd
Ida-Eesti	Ida-Eestidele	PlAll
Ida-Eesti	Ida-Eestidelt	PlAbl
Ida-Eesti	Ida-Eestidena	PlEs
Ida-Eesti	Ida-Eestideni	PlTer
Ida-Eesti	Ida-Eestides	PlIn
Ida-Eesti	Ida-Eestidesse	PlIll
Ida-Eesti	Ida-Eestidest	PlEl
Ida-Eesti	Ida-Eestideta	PlAb
Ida-Eesti	Ida-Eestiga	SgKom
Ida-Eesti	Ida-Eestiks	SgTr
Ida-Eesti	Ida-Eestil	SgAd
Ida-Eesti	Ida-Eestile	SgAll
Ida-Eesti	Ida-Eestilt	SgAbl
Ida-Eesti	Ida-Eestina	SgEs
Ida-Eesti	Ida-Eestini	SgTer
Ida-Eesti	Ida-Eestis	SgIn
Ida-Eesti	Ida-Eestisid	PlP
Ida-Eesti	Ida-Eestisse	SgIll
Ida-Eesti	Ida-Eestist	SgEl
Ida-Eesti	Ida-Eestit	SgP
Ida-Eesti	Ida-Eestita	SgAb
idaeestlane	-	SgAdt
idaeestlane	idaeestlane	SgN
idaeestlane	idaeestlase	SgG
idaeestlane	idaeestlased	PlN
idaeestlane	idaeestlasega	SgKom
idaeestlane	idaeestlaseid	PlP
idaeestlane	idaeestlaseiks	PlTr
idaeestlane	idaeestlaseil	PlAd
idaeestlane	idaeestlaseile	PlAll
idaeestlane	idaeestlaseilt	PlAbl
idaeestlane	idaeestlaseis	PlIn
idaeestlane	idaeestlaseisse	PlIll
idaeestlane	idaeestlaseist	PlEl
idaeestlane	idaeestlaseks	SgTr
idaeestlane	idaeestlasel	SgAd
idaeestlane	idaeestlasele	SgAll
idaeestlane	idaeestlaselt	SgAbl
idaeestlane	idaeestlasena	SgEs
idaeestlane	idaeestlaseni	SgTer
idaeestlane	idaeestlases	SgIn
idaeestlane	idaeestlasesse	SgIll
idaeestlane	idaeestlasest	SgEl
idaeestlane	idaeestlaseta	SgAb
idaeestlane	idaeestlasi	PlP
idaeestlane	idaeestlasiks	PlTr
idaeestlane	idaeestlasil	PlAd
idaeestlane	idaeestlasile	PlAll
idaeestlane	idaeestlasilt	PlAbl
idaeestlane	idaeestlasis	PlIn
idaeestlane	idaeestlasisse	PlIll
idaeestlane	idaeestlasist	PlEl
idaeestlane	idaeestlasse	SgAdt
idaeestlane	idaeestlast	SgP
idaeestlane	idaeestlaste	PlG
idaeestlane	idaeestlastega	PlKom
idaeestlane	idaeestlasteks	PlTr
idaeestlane	idaeestlastel	PlAd
idaeestlane	idaeestlastele	PlAll
idaeestlane	idaeestlastelt	PlAbl
idaeestlane	idaeestlastena	PlEs
idaeestlane	idaeestlasteni	PlTer
idaeestlane	idaeestlastes	PlIn
idaeestlane	idaeestlastesse	PlIll
idaeestlane	idaeestlastest	PlEl
idaeestlane	idaeestlasteta	PlAb
Ida-Euroopa	Ida-Euroopa	SgAdt
Ida-Euroopa	Ida-Euroopa	SgG
Ida-Euroopa	Ida-Euroopa	SgN
Ida-Euroopa	Ida-Euroopad	PlN
Ida-Euroopa	Ida-Euroopaga	SgKom
Ida-Euroopa	Ida-Euroopaid	PlP
Ida-Euroopa	Ida-Euroopaiks	PlTr
Ida-Euroopa	Ida-Euroopail	PlAd
Ida-Euroopa	Ida-Euroopaile	PlAll
Ida-Euroopa	Ida-Euroopailt	PlAbl
Ida-Euroopa	Ida-Euroopais	PlIn
Ida-Euroopa	Ida-Euroopaisse	PlIll
Ida-Euroopa	Ida-Euroopaist	PlEl
Ida-Euroopa	Ida-Euroopaks	SgTr
Ida-Euroopa	Ida-Euroopal	SgAd
Ida-Euroopa	Ida-Euroopale	SgAll
Ida-Euroopa	Ida-Euroopalt	SgAbl
Ida-Euroopa	Ida-Euroopana	SgEs
Ida-Euroopa	Ida-Euroopani	SgTer
Ida-Euroopa	Ida-Euroopas	SgIn
Ida-Euroopa	Ida-Euroopasse	SgIll
Ida-Euroopa	Ida-Euroopast	SgEl
Ida-Euroopa	Ida-Euroopat	SgP
Ida-Euroopa	Ida-Euroopata	SgAb
Ida-Euroopa	Ida-Euroopate	PlG
Ida-Euroopa	Ida-Euroopatega	PlKom
Ida-Euroopa	Ida-Euroopateks	PlTr
Ida-Euroopa	Ida-Euroopatel	PlAd
Ida-Euroopa	Ida-Euroopatele	PlAll
Ida-Euroopa	Ida-Euroopatelt	PlAbl
Ida-Euroopa	Ida-Euroopatena	PlEs
Ida-Euroopa	Ida-Euroopateni	PlTer
Ida-Euroopa	Ida-Euroopates	PlIn
Ida-Euroopa	Ida-Euroopatesse	PlIll
Ida-Euroopa	Ida-Euroopatest	PlEl
Ida-Euroopa	Ida-Euroopateta	PlAb
idaeurooplane	-	SgAdt
idaeurooplane	idaeurooplane	SgN
idaeurooplane	idaeurooplase	SgG
idaeurooplane	idaeurooplased	PlN
idaeurooplane	idaeurooplasega	SgKom
idaeurooplane	idaeurooplaseid	PlP
idaeurooplane	idaeurooplaseiks	PlTr
idaeurooplane	idaeurooplaseil	PlAd
idaeurooplane	idaeurooplaseile	PlAll
idaeurooplane	idaeurooplaseilt	PlAbl
idaeurooplane	idaeurooplaseis	PlIn
idaeurooplane	idaeurooplaseisse	PlIll
idaeurooplane	idaeurooplaseist	PlEl
idaeurooplane	idaeurooplaseks	SgTr
idaeurooplane	idaeurooplasel	SgAd
idaeurooplane	idaeurooplasele	SgAll
idaeurooplane	idaeurooplaselt	SgAbl
idaeurooplane	idaeurooplasena	SgEs
idaeurooplane	idaeurooplaseni	SgTer
idaeurooplane	idaeurooplases	SgIn
idaeurooplane	idaeurooplasesse	SgIll
idaeurooplane	idaeurooplasest	SgEl
idaeurooplane	idaeurooplaseta	SgAb
idaeurooplane	idaeurooplasi	PlP
idaeurooplane	idaeurooplasiks	PlTr
idaeurooplane	idaeurooplasil	PlAd
idaeurooplane	idaeurooplasile	PlAll
idaeurooplane	idaeurooplasilt	PlAbl
idaeurooplane	idaeurooplasis	PlIn
idaeurooplane	idaeurooplasisse	PlIll
idaeurooplane	idaeurooplasist	PlEl
idaeurooplane	idaeurooplasse	SgAdt
idaeurooplane	idaeurooplast	SgP
idaeurooplane	idaeurooplaste	PlG
idaeurooplane	idaeurooplastega	PlKom
idaeurooplane	idaeurooplasteks	PlTr
idaeurooplane	idaeurooplastel	PlAd
idaeurooplane	idaeurooplastele	PlAll
idaeurooplane	idaeurooplastelt	PlAbl
idaeurooplane	idaeurooplastena	PlEs
idaeurooplane	idaeurooplasteni	PlTer
idaeurooplane	idaeurooplastes	PlIn
idaeurooplane	idaeurooplastesse	PlIll
idaeurooplane	idaeurooplastest	PlEl
idaeurooplane	idaeurooplasteta	PlAb
Ida-Hiina meri	Ida-Hiina merd	SgP
Ida-Hiina meri	Ida-Hiina mere	SgG
Ida-Hiina meri	Ida-Hiina merega	SgKom
Ida-Hiina meri	Ida-Hiina mereks	SgTr
Ida-Hiina meri	Ida-Hiina merel	SgAd
Ida-Hiina meri	Ida-Hiina merele	SgAll
Ida-Hiina meri	Ida-Hiina merelt	SgAbl
Ida-Hiina meri	Ida-Hiina merena	SgEs
Ida-Hiina meri	Ida-Hiina mereni	SgTer
Ida-Hiina meri	Ida-Hiina meres	SgIn
Ida-Hiina meri	Ida-Hiina meresse	SgIll
Ida-Hiina meri	Ida-Hiina merest	SgEl
Ida-Hiina meri	Ida-Hiina mereta	SgAb
Ida-Hiina meri	Ida-Hiina meri	SgN
Ida-Hiina meri	Ida-Hiina merre	SgAdt
idakaar	idakaar	SgN
idakaar	idakaarde	SgAdt
idakaar	idakaare	SgG
idakaar	idakaared	PlN
idakaar	idakaarega	SgKom
idakaar	idakaareks	SgTr
idakaar	idakaarel	SgAd
idakaar	idakaarele	SgAll
idakaar	idakaarelt	SgAbl
idakaar	idakaarena	SgEs
idakaar	idakaareni	SgTer
idakaar	idakaares	SgIn
idakaar	idakaaresse	SgIll
idakaar	idakaarest	SgEl
idakaar	idakaareta	SgAb
idakaar	idakaari	PlP
idakaar	idakaariks	PlTr
idakaar	idakaaril	PlAd
idakaar	idakaarile	PlAll
idakaar	idakaarilt	PlAbl
idakaar	idakaaris	PlIn
idakaar	idakaarisse	PlIll
idakaar	idakaarist	PlEl
idakaar	idakaart	SgP
idakaar	idakaarte	PlG
idakaar	idakaartega	PlKom
idakaar	idakaarteks	PlTr
idakaar	idakaartel	PlAd
idakaar	idakaartele	PlAll
idakaar	idakaartelt	PlAbl
idakaar	idakaartena	PlEs
idakaar	idakaarteni	PlTer
idakaar	idakaartes	PlIn
idakaar	idakaartesse	PlIll
idakaar	idakaartest	PlEl
idakaar	idakaarteta	PlAb
idakallas	-	SgAdt
idakallas	idakalda	SgG
idakallas	idakaldad	PlN
idakallas	idakaldaga	SgKom
idakallas	idakaldaid	PlP
idakallas	idakaldaiks	PlTr
idakallas	idakaldail	PlAd
idakallas	idakaldaile	PlAll
idakallas	idakaldailt	PlAbl
idakallas	idakaldais	PlIn
idakallas	idakaldaisse	PlIll
idakallas	idakaldaist	PlEl
idakallas	idakaldaks	SgTr
idakallas	idakaldal	SgAd
idakallas	idakaldale	SgAll
idakallas	idakaldalt	SgAbl
idakallas	idakaldana	SgEs
idakallas	idakaldani	SgTer
idakallas	idakaldas	SgIn
idakallas	idakaldasse	SgIll
idakallas	idakaldast	SgEl
idakallas	idakaldata	SgAb
idakallas	idakallas	SgN
idakallas	idakallast	SgP
idakallas	idakallaste	PlG
idakallas	idakallastega	PlKom
idakallas	idakallasteks	PlTr
idakallas	idakallastel	PlAd
idakallas	idakallastele	PlAll
idakallas	idakallastelt	PlAbl
idakallas	idakallastena	PlEs
idakallas	idakallasteni	PlTer
idakallas	idakallastes	PlIn
idakallas	idakallastesse	PlIll
idakallas	idakallastest	PlEl
idakallas	idakallasteta	PlAb
idakirik	-	SgAdt
idakirik	idakirik	SgN
idakirik	idakiriku	SgG
idakirik	idakirikud	PlN
idakirik	idakirikuga	SgKom
idakirik	idakirikuid	PlP
idakirik	idakirikuiks	PlTr
idakirik	idakirikuil	PlAd
idakirik	idakirikuile	PlAll
idakirik	idakirikuilt	PlAbl
idakirik	idakirikuis	PlIn
idakirik	idakirikuisse	PlIll
idakirik	idakirikuist	PlEl
idakirik	idakirikuks	SgTr
idakirik	idakirikul	SgAd
idakirik	idakirikule	SgAll
idakirik	idakirikult	SgAbl
idakirik	idakirikuna	SgEs
idakirik	idakirikuni	SgTer
idakirik	idakirikus	SgIn
idakirik	idakirikusse	SgIll
idakirik	idakirikust	SgEl
idakirik	idakirikut	SgP
idakirik	idakirikuta	SgAb
idakirik	idakirikute	PlG
idakirik	idakirikutega	PlKom
idakirik	idakirikuteks	PlTr
