lemma	form	morph_code
J	J	PlP
J	J	SgAdt
J	J	SgG
J	J	SgN
J	J	SgP
J	J-d	PlN
J	J-de	PlG
J	J-dega	PlKom
J	J-deks	PlTr
J	J-del	PlAd
J	J-dele	PlAll
J	J-delt	PlAbl
J	J-dena	PlEs
J	J-deni	PlTer
J	J-des	PlIn
J	J-desse	PlIll
J	J-dest	PlEl
J	J-deta	PlAb
J	J-ga	SgKom
J	J-ks	PlTr
J	J-ks	SgTr
J	J-l	PlAd
J	J-l	SgAd
J	J-le	PlAll
J	J-le	SgAll
J	J-lt	PlAbl
J	J-lt	SgAbl
J	J-na	SgEs
J	J-ni	SgTer
J	J-s	PlIn
J	J-s	SgIn
J	J-sid	PlP
J	J-sse	PlIll
J	J-sse	SgIll
J	J-st	PlEl
J	J-st	SgEl
J	J-ta	SgAb
ja	ja	ID
jaa	jaa	ID
jaa-ah	jaa-ah	ID
jaaguar	-	SgAdt
jaaguar	jaaguar	SgN
jaaguar	jaaguare	PlP
jaaguar	jaaguareid	PlP
jaaguar	jaaguareiks	PlTr
jaaguar	jaaguareil	PlAd
jaaguar	jaaguareile	PlAll
jaaguar	jaaguareilt	PlAbl
jaaguar	jaaguareis	PlIn
jaaguar	jaaguareisse	PlIll
jaaguar	jaaguareist	PlEl
jaaguar	jaaguareks	PlTr
jaaguar	jaaguarel	PlAd
jaaguar	jaaguarele	PlAll
jaaguar	jaaguarelt	PlAbl
jaaguar	jaaguares	PlIn
jaaguar	jaaguaresse	PlIll
jaaguar	jaaguarest	PlEl
jaaguar	jaaguari	SgAdt
jaaguar	jaaguari	SgG
jaaguar	jaaguari	SgP
jaaguar	jaaguarid	PlN
jaaguar	jaaguaride	PlG
jaaguar	jaaguaridega	PlKom
jaaguar	jaaguarideks	PlTr
jaaguar	jaaguaridel	PlAd
jaaguar	jaaguaridele	PlAll
jaaguar	jaaguaridelt	PlAbl
jaaguar	jaaguaridena	PlEs
jaaguar	jaaguarideni	PlTer
jaaguar	jaaguarides	PlIn
jaaguar	jaaguaridesse	PlIll
jaaguar	jaaguaridest	PlEl
jaaguar	jaaguarideta	PlAb
jaaguar	jaaguariga	SgKom
jaaguar	jaaguariks	SgTr
jaaguar	jaaguaril	SgAd
jaaguar	jaaguarile	SgAll
jaaguar	jaaguarilt	SgAbl
jaaguar	jaaguarina	SgEs
jaaguar	jaaguarini	SgTer
jaaguar	jaaguaris	SgIn
jaaguar	jaaguarisid	PlP
jaaguar	jaaguarisse	SgIll
jaaguar	jaaguarist	SgEl
jaaguar	jaaguarit	SgP
jaaguar	jaaguarita	SgAb
jaaguar	jaaguarite	PlG
jaaguar	jaaguaritega	PlKom
jaaguar	jaaguariteks	PlTr
jaaguar	jaaguaritel	PlAd
jaaguar	jaaguaritele	PlAll
jaaguar	jaaguaritelt	PlAbl
jaaguar	jaaguaritena	PlEs
jaaguar	jaaguariteni	PlTer
jaaguar	jaaguarites	PlIn
jaaguar	jaaguaritesse	PlIll
jaaguar	jaaguaritest	PlEl
jaaguar	jaaguariteta	PlAb
jaagup	-	SgAdt
jaagup	jaagup	SgN
jaagup	jaagupeid	PlP
jaagup	jaagupeiks	PlTr
jaagup	jaagupeil	PlAd
jaagup	jaagupeile	PlAll
jaagup	jaagupeilt	PlAbl
jaagup	jaagupeis	PlIn
jaagup	jaagupeisse	PlIll
jaagup	jaagupeist	PlEl
jaagup	jaagupi	SgG
jaagup	jaagupid	PlN
jaagup	jaagupiga	SgKom
jaagup	jaagupiks	SgTr
jaagup	jaagupil	SgAd
jaagup	jaagupile	SgAll
jaagup	jaagupilt	SgAbl
jaagup	jaagupina	SgEs
jaagup	jaagupini	SgTer
jaagup	jaagupis	SgIn
jaagup	jaagupisse	SgIll
jaagup	jaagupist	SgEl
jaagup	jaagupit	SgP
jaagup	jaagupita	SgAb
jaagup	jaagupite	PlG
jaagup	jaagupitega	PlKom
jaagup	jaagupiteks	PlTr
jaagup	jaagupitel	PlAd
jaagup	jaagupitele	PlAll
jaagup	jaagupitelt	PlAbl
jaagup	jaagupitena	PlEs
jaagup	jaagupiteni	PlTer
jaagup	jaagupites	PlIn
jaagup	jaagupitesse	PlIll
jaagup	jaagupitest	PlEl
jaagup	jaagupiteta	PlAb
jaagupipäev	jaagupipäev	SgN
jaagupipäev	jaagupipäeva	SgAdt
jaagupipäev	jaagupipäeva	SgG
jaagupipäev	jaagupipäeva	SgP
jaagupipäev	jaagupipäevad	PlN
jaagupipäev	jaagupipäevade	PlG
jaagupipäev	jaagupipäevadega	PlKom
jaagupipäev	jaagupipäevadeks	PlTr
jaagupipäev	jaagupipäevadel	PlAd
jaagupipäev	jaagupipäevadele	PlAll
jaagupipäev	jaagupipäevadelt	PlAbl
jaagupipäev	jaagupipäevadena	PlEs
jaagupipäev	jaagupipäevadeni	PlTer
jaagupipäev	jaagupipäevades	PlIn
jaagupipäev	jaagupipäevadesse	PlIll
jaagupipäev	jaagupipäevadest	PlEl
jaagupipäev	jaagupipäevadeta	PlAb
jaagupipäev	jaagupipäevaga	SgKom
