lemma	form	morph_code
M	M	SgAdt
M	M	SgG
M	M	SgN
M	M	SgP
M	M-d	PlN
M	M-de	PlG
M	M-dega	PlKom
M	M-deks	PlTr
M	M-del	PlAd
M	M-dele	PlAll
M	M-delt	PlAbl
M	M-dena	PlEs
M	M-deni	PlTer
M	M-des	PlIn
M	M-desse	PlIll
M	M-dest	PlEl
M	M-deta	PlAb
M	M-ga	SgKom
M	M-ks	SgTr
M	M-l	SgAd
M	M-le	SgAll
M	M-lt	SgAbl
M	M-na	SgEs
M	M-ni	SgTer
M	M-s	SgIn
M	M-sid	PlP
M	M-sse	SgIll
M	M-st	SgEl
M	M-ta	SgAb
m	m	SgAdt
m	m	SgG
m	m	SgN
m	m-d	PlN
m	m-ga	SgKom
m	m-id	PlP
m	m-iks	PlTr
m	m-il	PlAd
m	m-ile	PlAll
m	m-ilt	PlAbl
m	m-is	PlIn
m	m-isse	PlIll
m	m-ist	PlEl
m	m-ks	SgTr
m	m-l	SgAd
m	m-le	SgAll
m	m-lt	SgAbl
m	m-na	SgEs
m	m-ni	SgTer
m	m-s	SgIn
m	m-sse	SgIll
m	m-st	SgEl
m	m-t	SgP
m	m-ta	SgAb
m	m-te	PlG
m	m-tega	PlKom
m	m-teks	PlTr
m	m-tel	PlAd
m	m-tele	PlAll
m	m-telt	PlAbl
m	m-tena	PlEs
m	m-teni	PlTer
m	m-tes	PlIn
m	m-tesse	PlIll
m	m-test	PlEl
m	m-teta	PlAb
m	m-	ID
ma	-	SgAdt
ma	ma	SgN
ma	mina	SgN
ma	mind	SgP
ma	minu	SgG
ma	minuga	SgKom
ma	minuks	SgTr
ma	minul	SgAd
ma	minule	SgAll
ma	minult	SgAbl
ma	minuna	SgEs
ma	minuni	SgTer
ma	minus	SgIn
ma	minusse	SgIll
ma	minust	SgEl
ma	minuta	SgAb
ma	mu	SgG
ma	muga	SgKom
ma	mul	SgAd
ma	mulle	SgAll
ma	mult	SgAbl
ma	mus	SgIn
ma	musse	SgIll
ma	must	SgEl
mA	mA	SgAdt
mA	mA	SgG
mA	mA	SgN
mA	mA-d	PlN
mA	mA-ga	SgKom
mA	mA-id	PlP
mA	mA-iks	PlTr
mA	mA-il	PlAd
mA	mA-ile	PlAll
mA	mA-ilt	PlAbl
mA	mA-is	PlIn
mA	mA-isse	PlIll
mA	mA-ist	PlEl
mA	mA-ks	SgTr
mA	mA-l	SgAd
mA	mA-le	SgAll
mA	mA-lt	SgAbl
mA	mA-na	SgEs
mA	mA-ni	SgTer
mA	mA-s	SgIn
mA	mA-sse	SgIll
mA	mA-st	SgEl
mA	mA-t	SgP
mA	mA-ta	SgAb
mA	mA-te	PlG
mA	mA-tega	PlKom
mA	mA-teks	PlTr
mA	mA-tel	PlAd
mA	mA-tele	PlAll
mA	mA-telt	PlAbl
