lemma	form	morph_code
Na	Na	ID
na	na	ID
naa	naa	ID
naabel	-	SgAdt
naabel	naabel	SgN
naabel	naableid	PlP
naabel	naableiks	PlTr
naabel	naableil	PlAd
naabel	naableile	PlAll
naabel	naableilt	PlAbl
naabel	naableis	PlIn
naabel	naableisse	PlIll
naabel	naableist	PlEl
naabel	naabli	SgG
naabel	naablid	PlN
naabel	naabliga	SgKom
naabel	naabliks	SgTr
naabel	naablil	SgAd
naabel	naablile	SgAll
naabel	naablilt	SgAbl
naabel	naablina	SgEs
naabel	naablini	SgTer
naabel	naablis	SgIn
naabel	naablisse	SgIll
naabel	naablist	SgEl
naabel	naablit	SgP
naabel	naablita	SgAb
naabel	naablite	PlG
naabel	naablitega	PlKom
naabel	naabliteks	PlTr
naabel	naablitel	PlAd
naabel	naablitele	PlAll
naabel	naablitelt	PlAbl
naabel	naablitena	PlEs
naabel	naabliteni	PlTer
naabel	naablites	PlIn
naabel	naablitesse	PlIll
naabel	naablitest	PlEl
naabel	naabliteta	PlAb
naabel	-	SgAdt
naabel	naabel	SgN
naabel	naableid	PlP
naabel	naableiks	PlTr
naabel	naableil	PlAd
naabel	naableile	PlAll
naabel	naableilt	PlAbl
naabel	naableis	PlIn
naabel	naableisse	PlIll
naabel	naableist	PlEl
naabel	naabli	SgG
naabel	naablid	PlN
naabel	naabliga	SgKom
naabel	naabliks	SgTr
naabel	naablil	SgAd
naabel	naablile	SgAll
naabel	naablilt	SgAbl
naabel	naablina	SgEs
naabel	naablini	SgTer
naabel	naablis	SgIn
naabel	naablisse	SgIll
naabel	naablist	SgEl
naabel	naablit	SgP
naabel	naablita	SgAb
naabel	naablite	PlG
naabel	naablitega	PlKom
naabel	naabliteks	PlTr
naabel	naablitel	PlAd
naabel	naablitele	PlAll
naabel	naablitelt	PlAbl
naabel	naablitena	PlEs
naabel	naabliteni	PlTer
naabel	naablites	PlIn
naabel	naablitesse	PlIll
naabel	naablitest	PlEl
naabel	naabliteta	PlAb
naaber	-	SgAdt
naaber	naaber	SgN
naaber	naabreid	PlP
naaber	naabreiks	PlTr
naaber	naabreil	PlAd
naaber	naabreile	PlAll
naaber	naabreilt	PlAbl
naaber	naabreis	PlIn
naaber	naabreisse	PlIll
naaber	naabreist	PlEl
naaber	naabri	SgG
naaber	naabrid	PlN
naaber	naabriga	SgKom
naaber	naabriks	SgTr
naaber	naabril	SgAd
naaber	naabrile	SgAll
naaber	naabrilt	SgAbl
naaber	naabrina	SgEs
naaber	naabrini	SgTer
naaber	naabris	SgIn
naaber	naabrisse	SgIll
naaber	naabrist	SgEl
naaber	naabrit	SgP
naaber	naabrita	SgAb
naaber	naabrite	PlG
naaber	naabritega	PlKom
naaber	naabriteks	PlTr
naaber	naabritel	PlAd
naaber	naabritele	PlAll
naaber	naabritelt	PlAbl
naaber	naabritena	PlEs
naaber	naabriteni	PlTer
naaber	naabrites	PlIn
naaber	naabritesse	PlIll
naaber	naabritest	PlEl
naaber	naabriteta	PlAb
naaberhõim	naaberhõim	SgN
naaberhõim	naaberhõime	PlP
naaberhõim	naaberhõimeks	PlTr
naaberhõim	naaberhõimel	PlAd
naaberhõim	naaberhõimele	PlAll
naaberhõim	naaberhõimelt	PlAbl
naaberhõim	naaberhõimes	PlIn
naaberhõim	naaberhõimesse	PlIll
naaberhõim	naaberhõimest	PlEl
naaberhõim	naaberhõimu	SgAdt
naaberhõim	naaberhõimu	SgG
naaberhõim	naaberhõimu	SgP
naaberhõim	naaberhõimud	PlN
naaberhõim	naaberhõimude	PlG
naaberhõim	naaberhõimudega	PlKom
naaberhõim	naaberhõimudeks	PlTr
naaberhõim	naaberhõimudel	PlAd
naaberhõim	naaberhõimudele	PlAll
naaberhõim	naaberhõimudelt	PlAbl
naaberhõim	naaberhõimudena	PlEs
naaberhõim	naaberhõimudeni	PlTer
naaberhõim	naaberhõimudes	PlIn
naaberhõim	naaberhõimudesse	PlIll
naaberhõim	naaberhõimudest	PlEl
naaberhõim	naaberhõimudeta	PlAb
naaberhõim	naaberhõimuga	SgKom
naaberhõim	naaberhõimuks	SgTr
naaberhõim	naaberhõimul	SgAd
naaberhõim	naaberhõimule	SgAll
naaberhõim	naaberhõimult	SgAbl
naaberhõim	naaberhõimuna	SgEs
naaberhõim	naaberhõimuni	SgTer
