lemma	form	morph_code
o	o	SgAdt
o	o	SgG
o	o	SgN
o	od	PlN
o	od	SgP
o	ode	PlG
o	odega	PlKom
o	odeks	PlTr
o	odel	PlAd
o	odele	PlAll
o	odelt	PlAbl
o	odena	PlEs
o	odeni	PlTer
o	odes	PlIn
o	odesse	PlIll
o	odest	PlEl
o	odeta	PlAb
o	oga	SgKom
o	oks	SgTr
o	ol	SgAd
o	ole	SgAll
o	olt	SgAbl
o	ona	SgEs
o	oni	SgTer
o	os	SgIn
o	osid	PlP
o	osse	SgIll
o	ost	SgEl
o	ota	SgAb
O	O	ID
oaas	oaas	SgN
oaas	oaase	PlP
oaas	oaaseks	PlTr
oaas	oaasel	PlAd
oaas	oaasele	PlAll
oaas	oaaselt	PlAbl
oaas	oaases	PlIn
oaas	oaasesse	PlIll
oaas	oaasest	PlEl
oaas	oaasi	SgAdt
oaas	oaasi	SgG
oaas	oaasi	SgP
oaas	oaasid	PlN
oaas	oaaside	PlG
oaas	oaasidega	PlKom
oaas	oaasideks	PlTr
oaas	oaasidel	PlAd
oaas	oaasidele	PlAll
oaas	oaasidelt	PlAbl
oaas	oaasidena	PlEs
oaas	oaasideni	PlTer
oaas	oaasides	PlIn
oaas	oaasidesse	PlIll
oaas	oaasidest	PlEl
oaas	oaasideta	PlAb
oaas	oaasiga	SgKom
oaas	oaasiks	SgTr
oaas	oaasil	SgAd
oaas	oaasile	SgAll
oaas	oaasilt	SgAbl
oaas	oaasina	SgEs
oaas	oaasini	SgTer
oaas	oaasis	SgIn
oaas	oaasisid	PlP
oaas	oaasisse	SgIll
oaas	oaasist	SgEl
oaas	oaasita	SgAb
oakohv	oakohv	SgN
oakohv	oakohve	PlP
oakohv	oakohveks	PlTr
oakohv	oakohvel	PlAd
oakohv	oakohvele	PlAll
oakohv	oakohvelt	PlAbl
oakohv	oakohves	PlIn
oakohv	oakohvesse	PlIll
oakohv	oakohvest	PlEl
oakohv	oakohvi	SgAdt
oakohv	oakohvi	SgG
oakohv	oakohvi	SgP
oakohv	oakohvid	PlN
oakohv	oakohvide	PlG
oakohv	oakohvidega	PlKom
oakohv	oakohvideks	PlTr
oakohv	oakohvidel	PlAd
oakohv	oakohvidele	PlAll
oakohv	oakohvidelt	PlAbl
oakohv	oakohvidena	PlEs
oakohv	oakohvideni	PlTer
oakohv	oakohvides	PlIn
oakohv	oakohvidesse	PlIll
oakohv	oakohvidest	PlEl
oakohv	oakohvideta	PlAb
oakohv	oakohviga	SgKom
oakohv	oakohviks	SgTr
oakohv	oakohvil	SgAd
oakohv	oakohvile	SgAll
oakohv	oakohvilt	SgAbl
oakohv	oakohvina	SgEs
oakohv	oakohvini	SgTer
oakohv	oakohvis	SgIn
oakohv	oakohvisid	PlP
oakohv	oakohvisse	SgIll
oakohv	oakohvist	SgEl
oakohv	oakohvita	SgAb
oapuder	oapuder	SgN
oapuder	oapudreks	PlTr
oapuder	oapudrel	PlAd
oapuder	oapudrele	PlAll
oapuder	oapudrelt	PlAbl
oapuder	oapudres	PlIn
oapuder	oapudresse	PlIll
oapuder	oapudrest	PlEl
oapuder	oapudru	SgG
oapuder	oapudrud	PlN
oapuder	oapudruga	SgKom
oapuder	oapudruks	SgTr
oapuder	oapudrul	SgAd
oapuder	oapudrule	SgAll
oapuder	oapudrult	SgAbl
oapuder	oapudruna	SgEs
oapuder	oapudruni	SgTer
oapuder	oapudrus	SgIn
oapuder	oapudrusse	SgIll
oapuder	oapudrust	SgEl
oapuder	oapudruta	SgAb
oapuder	oaputre	PlP
oapuder	oaputru	SgAdt
oapuder	oaputru	SgP
oapuder	oaputrude	PlG
oapuder	oaputrudega	PlKom
oapuder	oaputrudeks	PlTr
oapuder	oaputrudel	PlAd
oapuder	oaputrudele	PlAll
oapuder	oaputrudelt	PlAbl
oapuder	oaputrudena	PlEs
oapuder	oaputrudeni	PlTer
oapuder	oaputrudes	PlIn
oapuder	oaputrudesse	PlIll
oapuder	oaputrudest	PlEl
oapuder	oaputrudeta	PlAb
oapuder	oaputrusid	PlP
oaseeme	-	SgAdt
oaseeme	oaseeme	SgN
oaseeme	oaseemet	SgP
oaseeme	oaseemne	SgG
oaseeme	oaseemned	PlN
oaseeme	oaseemnega	SgKom
oaseeme	oaseemneid	PlP
oaseeme	oaseemneiks	PlTr
oaseeme	oaseemneil	PlAd
oaseeme	oaseemneile	PlAll
oaseeme	oaseemneilt	PlAbl
oaseeme	oaseemneis	PlIn
oaseeme	oaseemneisse	PlIll
oaseeme	oaseemneist	PlEl
oaseeme	oaseemneks	SgTr
oaseeme	oaseemnel	SgAd
oaseeme	oaseemnele	SgAll
oaseeme	oaseemnelt	SgAbl
oaseeme	oaseemnena	SgEs
oaseeme	oaseemneni	SgTer
oaseeme	oaseemnes	SgIn
oaseeme	oaseemnesse	SgIll
oaseeme	oaseemnest	SgEl
oaseeme	oaseemneta	SgAb
oaseeme	oaseemnete	PlG
oaseeme	oaseemnetega	PlKom
oaseeme	oaseemneteks	PlTr
oaseeme	oaseemnetel	PlAd
oaseeme	oaseemnetele	PlAll
oaseeme	oaseemnetelt	PlAbl
oaseeme	oaseemnetena	PlEs
oaseeme	oaseemneteni	PlTer
oaseeme	oaseemnetes	PlIn
oaseeme	oaseemnetesse	PlIll
oaseeme	oaseemnetest	PlEl
oaseeme	oaseemneteta	PlAb
oavars	oavarde	SgAdt
oavars	oavarre	SgG
oavars	oavarred	PlN
oavars	oavarrega	SgKom
oavars	oavarreks	SgTr
oavars	oavarrel	SgAd
oavars	oavarrele	SgAll
oavars	oavarrelt	SgAbl
oavars	oavarrena	SgEs
oavars	oavarreni	SgTer
oavars	oavarres	SgIn
oavars	oavarresse	SgIll
oavars	oavarrest	SgEl
oavars	oavarreta	SgAb
oavars	oavars	SgN
oavars	oavarsi	PlP
oavars	oavarsiks	PlTr
oavars	oavarsil	PlAd
oavars	oavarsile	PlAll
oavars	oavarsilt	PlAbl
oavars	oavarsis	PlIn
oavars	oavarsisse	PlIll
oavars	oavarsist	PlEl
oavars	oavart	SgP
oavars	oavarte	PlG
oavars	oavartega	PlKom
oavars	oavarteks	PlTr
oavars	oavartel	PlAd
oavars	oavartele	PlAll
oavars	oavartelt	PlAbl
oavars	oavartena	PlEs
oavars	oavarteni	PlTer
oavars	oavartes	PlIn
oavars	oavartesse	PlIll
oavars	oavartest	PlEl
oavars	oavarteta	PlAb
Ob	Ob	SgN
Ob	Obe	PlP
Ob	Obeks	PlTr
Ob	Obel	PlAd
Ob	Obele	PlAll
Ob	Obelt	PlAbl
Ob	Obes	PlIn
Ob	Obesse	PlIll
Ob	Obest	PlEl
Ob	Obi	SgAdt
Ob	Obi	SgG
Ob	Obi	SgP
Ob	Obid	PlN
Ob	Obide	PlG
Ob	Obidega	PlKom
Ob	Obideks	PlTr
Ob	Obidel	PlAd
Ob	Obidele	PlAll
Ob	Obidelt	PlAbl
Ob	Obidena	PlEs
Ob	Obideni	PlTer
Ob	Obides	PlIn
Ob	Obidesse	PlIll
Ob	Obidest	PlEl
Ob	Obideta	PlAb
Ob	Obiga	SgKom
Ob	Obiks	SgTr
Ob	Obil	SgAd
Ob	Obile	SgAll
Ob	Obilt	SgAbl
Ob	Obina	SgEs
Ob	Obini	SgTer
Ob	Obis	SgIn
Ob	Obisse	SgIll
Ob	Obist	SgEl
Ob	Obita	SgAb
obadus	obadus	SgN
obadus	obaduse	SgG
obadus	obadused	PlN
obadus	obadusega	SgKom
obadus	obaduseks	SgTr
obadus	obadusel	SgAd
obadus	obadusele	SgAll
obadus	obaduselt	SgAbl
obadus	obadusena	SgEs
obadus	obaduseni	SgTer
obadus	obaduses	SgIn
obadus	obadusesse	SgIll
obadus	obadusest	SgEl
obadus	obaduseta	SgAb
obadus	obadusi	PlP
obadus	obadusiks	PlTr
obadus	obadusil	PlAd
obadus	obadusile	PlAll
obadus	obadusilt	PlAbl
obadus	obadusis	PlIn
obadus	obadusisse	PlIll
obadus	obadusist	PlEl
obadus	obadusse	SgAdt
obadus	obadust	SgP
obadus	obaduste	PlG
obadus	obadustega	PlKom
obadus	obadusteks	PlTr
obadus	obadustel	PlAd
obadus	obadustele	PlAll
obadus	obadustelt	PlAbl
obadus	obadustena	PlEs
obadus	obadusteni	PlTer
obadus	obadustes	PlIn
obadus	obadustesse	PlIll
obadus	obadustest	PlEl
obadus	obadusteta	PlAb
obadus	obadus	SgN
obadus	obaduse	SgG
obadus	obadused	PlN
obadus	obadusega	SgKom
obadus	obaduseks	SgTr
obadus	obadusel	SgAd
obadus	obadusele	SgAll
obadus	obaduselt	SgAbl
obadus	obadusena	SgEs
obadus	obaduseni	SgTer
obadus	obaduses	SgIn
obadus	obadusesse	SgIll
obadus	obadusest	SgEl
obadus	obaduseta	SgAb
obadus	obadusi	PlP
obadus	obadusiks	PlTr
obadus	obadusil	PlAd
obadus	obadusile	PlAll
obadus	obadusilt	PlAbl
obadus	obadusis	PlIn
obadus	obadusisse	PlIll
obadus	obadusist	PlEl
obadus	obadusse	SgAdt
obadus	obadust	SgP
obadus	obaduste	PlG
obadus	obadustega	PlKom
obadus	obadusteks	PlTr
obadus	obadustel	PlAd
obadus	obadustele	PlAll
obadus	obadustelt	PlAbl
obadus	obadustena	PlEs
obadus	obadusteni	PlTer
obadus	obadustes	PlIn
obadus	obadustesse	PlIll
obadus	obadustest	PlEl
obadus	obadusteta	PlAb
obelisk	obelisk	SgN
obelisk	obeliske	PlP
obelisk	obeliskeks	PlTr
obelisk	obeliskel	PlAd
obelisk	obeliskele	PlAll
obelisk	obeliskelt	PlAbl
obelisk	obeliskes	PlIn
obelisk	obeliskesse	PlIll
obelisk	obeliskest	PlEl
obelisk	obeliski	SgAdt
obelisk	obeliski	SgG
obelisk	obeliski	SgP
obelisk	obeliskid	PlN
obelisk	obeliskide	PlG
obelisk	obeliskidega	PlKom
obelisk	obeliskideks	PlTr
obelisk	obeliskidel	PlAd
obelisk	obeliskidele	PlAll
obelisk	obeliskidelt	PlAbl
obelisk	obeliskidena	PlEs
obelisk	obeliskideni	PlTer
obelisk	obeliskides	PlIn
obelisk	obeliskidesse	PlIll
obelisk	obeliskidest	PlEl
obelisk	obeliskideta	PlAb
obelisk	obeliskiga	SgKom
obelisk	obeliskiks	SgTr
obelisk	obeliskil	SgAd
obelisk	obeliskile	SgAll
obelisk	obeliskilt	SgAbl
obelisk	obeliskina	SgEs
obelisk	obeliskini	SgTer
obelisk	obeliskis	SgIn
obelisk	obeliskisid	PlP
obelisk	obeliskisse	SgIll
obelisk	obeliskist	SgEl
obelisk	obeliskita	SgAb
Obi ugri keeled	Obi ugri keel	SgN
Obi ugri keeled	Obi ugri keelde	SgAdt
Obi ugri keeled	Obi ugri keele	SgG
Obi ugri keeled	Obi ugri keeled	PlN
Obi ugri keeled	Obi ugri keelega	SgKom
Obi ugri keeled	Obi ugri keeleks	SgTr
Obi ugri keeled	Obi ugri keelel	SgAd
Obi ugri keeled	Obi ugri keelele	SgAll
Obi ugri keeled	Obi ugri keelelt	SgAbl
Obi ugri keeled	Obi ugri keelena	SgEs
Obi ugri keeled	Obi ugri keeleni	SgTer
Obi ugri keeled	Obi ugri keeles	SgIn
Obi ugri keeled	Obi ugri keelesse	SgIll
Obi ugri keeled	Obi ugri keelest	SgEl
Obi ugri keeled	Obi ugri keeleta	SgAb
