lemma	form	morph_code
pea lõuad	pea lõuad	ID
persetki	persetki	ID
pistmist olema	olda pistmist	IndPrIps_
pistmist olema	oldagu pistmist	ImpPrIps
pistmist olema	oldaks pistmist	KndPrIps
pistmist olema	oldavat pistmist	KvtPrIps
pistmist olema	oldi pistmist	IndIpfIps
pistmist olema	oldud pistmist	PtsPtIpsNeg
pistmist olema	olduks pistmist	KndPtIps
pistmist olema	olduvat pistmist	KvtPtIps
pistmist olema	ole pistmist	ImpPrSg2
pistmist olema	ole pistmist	IndPrPs_
pistmist olema	oled pistmist	IndPrSg2
pistmist olema	oleks pistmist	KndPrPs
pistmist olema	oleksid pistmist	KndPrPl3
pistmist olema	oleksid pistmist	KndPrSg2
pistmist olema	oleksime pistmist	KndPrPl1
pistmist olema	oleksin pistmist	KndPrSg1
pistmist olema	oleksite pistmist	KndPrPl2
pistmist olema	oleme pistmist	IndPrPl1
pistmist olema	olen pistmist	IndPrSg1
pistmist olema	olete pistmist	IndPrPl2
pistmist olema	olevat pistmist	KvtPrPs
pistmist olema	olge pistmist	ImpPrPl2
pistmist olema	olgem pistmist	ImpPrPl1
pistmist olema	olgu pistmist	ImpPrPs
pistmist olema	oli pistmist	IndIpfSg3
pistmist olema	olid pistmist	IndIpfPl3
pistmist olema	olid pistmist	IndIpfSg2
pistmist olema	olime pistmist	IndIpfPl1
pistmist olema	olin pistmist	IndIpfSg1
pistmist olema	olite pistmist	IndIpfPl2
pistmist olema	ollakse pistmist	IndPrIps
pistmist olema	olnud pistmist	PtsPtPsNeg
pistmist olema	olnuks pistmist	KndPtPs
pistmist olema	olnuksid pistmist	KndPtPl3
pistmist olema	olnuksid pistmist	KndPtSg2
pistmist olema	olnuksime pistmist	KndPtPl1
pistmist olema	olnuksin pistmist	KndPtSg1
pistmist olema	olnuksite pistmist	KndPtPl2
pistmist olema	olnuvat pistmist	KvtPtPs
pistmist olema	on pistmist	IndPrPl3
pistmist olema	on pistmist	IndPrSg3
pistmist olema	pistmist oldama	SupIps
pistmist olema	pistmist oldav	PtsPrIps
pistmist olema	pistmist oldud	PtsPtIps
pistmist olema	pistmist olema	Sup
pistmist olema	pistmist olemaks	SupTr
pistmist olema	pistmist olemas	SupIn
pistmist olema	pistmist olemast	SupEl
pistmist olema	pistmist olemata	SupAb
pistmist olema	pistmist olev	PtsPrPs
pistmist olema	pistmist olla	Inf
pistmist olema	pistmist olles	Ger
pistmist olema	pistmist olnud	PtsPtPs
pistmist olema	polda pistmist	IndPrIpsN
pistmist olema	poldud pistmist	IndIpfIpsN
pistmist olema	pole pistmist	IndPrPsN
pistmist olema	poleks pistmist	KndPrPsN
pistmist olema	polevat pistmist	KvtPrPsN
pistmist olema	polnud pistmist	IndIpfPsN
pistmist olema	polnuks pistmist	KndPtPsN
pistmist olema	polnuvat pistmist	KvtPtPsN
P	P	ID
p	p	SgAdt
p	p	SgG
p	p	SgN
p	pd	PlN
p	pd	SgP
p	pde	PlG
p	pdega	PlKom
p	pdeks	PlTr
p	pdel	PlAd
p	pdele	PlAll
p	pdelt	PlAbl
p	pdena	PlEs
p	pdeni	PlTer
p	pdes	PlIn
p	pdesse	PlIll
p	pdest	PlEl
p	pdeta	PlAb
p	pga	SgKom
p	pks	SgTr
p	pl	SgAd
p	ple	SgAll
p	plt	SgAbl
p	pna	SgEs
p	pni	SgTer
p	ps	SgIn
p	psid	PlP
p	psse	SgIll
p	pst	SgEl
p	pta	SgAb
p	p	ID
Pa	Pa	SgAdt
Pa	Pa	SgG
Pa	Pa	SgN
Pa	Pa-d	PlN
Pa	Pa-ga	SgKom
Pa	Pa-id	PlP
Pa	Pa-ks	SgTr
Pa	Pa-l	SgAd
Pa	Pa-le	SgAll
Pa	Pa-lt	SgAbl
Pa	Pa-na	SgEs
Pa	Pa-ni	SgTer
Pa	Pa-s	SgIn
Pa	Pa-sse	SgIll
Pa	Pa-st	SgEl
Pa	Pa-t	SgP
Pa	Pa-ta	SgAb
Pa	Pa-te	PlG
Pa	Pa-tega	PlKom
Pa	Pa-teks	PlTr
Pa	Pa-tel	PlAd
Pa	Pa-tele	PlAll
Pa	Pa-telt	PlAbl
Pa	Pa-tena	PlEs
Pa	Pa-teni	PlTer
Pa	Pa-tes	PlIn
Pa	Pa-tesse	PlIll
Pa	Pa-test	PlEl
Pa	Pa-teta	PlAb
paa	-	SgAdt
paa	paa	SgG
paa	paa	SgN
paa	paad	PlN
paa	paad	SgP
paa	paade	PlG
paa	paadega	PlKom
paa	paadeks	PlTr
paa	paadel	PlAd
paa	paadele	PlAll
paa	paadelt	PlAbl
paa	paadena	PlEs
paa	paadeni	PlTer
paa	paades	PlIn
paa	paadesse	PlIll
paa	paadest	PlEl
paa	paadeta	PlAb
paa	paaga	SgKom
paa	paaks	SgTr
paa	paal	SgAd
paa	paale	SgAll
paa	paalt	SgAbl
paa	paana	SgEs
paa	paani	SgTer
paa	paas	SgIn
paa	paasid	PlP
paa	paasse	SgIll
paa	paast	SgEl
paa	paata	SgAb
paa	-	SgAdt
paa	paa	SgG
paa	paa	SgN
paa	paad	PlN
paa	paad	SgP
paa	paade	PlG
paa	paadega	PlKom
paa	paadeks	PlTr
paa	paadel	PlAd
paa	paadele	PlAll
paa	paadelt	PlAbl
paa	paadena	PlEs
paa	paadeni	PlTer
paa	paades	PlIn
paa	paadesse	PlIll
paa	paadest	PlEl
paa	paadeta	PlAb
paa	paaga	SgKom
paa	paaks	SgTr
paa	paal	SgAd
paa	paale	SgAll
paa	paalt	SgAbl
paa	paana	SgEs
paa	paani	SgTer
paa	paas	SgIn
paa	paasid	PlP
paa	paasse	SgIll
paa	paast	SgEl
paa	paata	SgAb
Paabel	Paabel	SgAdt
Paabel	Paabel	SgN
Paabel	Paabeleid	PlP
Paabel	Paabeleiks	PlTr
Paabel	Paabeleil	PlAd
