lemma	form	morph_code
q	q	SgAdt
q	q	SgG
q	q	SgN
q	qd	PlN
q	qd	SgP
q	qde	PlG
q	qdega	PlKom
q	qdeks	PlTr
q	qdel	PlAd
q	qdele	PlAll
q	qdelt	PlAbl
q	qdena	PlEs
q	qdeni	PlTer
q	qdes	PlIn
q	qdesse	PlIll
q	qdest	PlEl
q	qdeta	PlAb
q	qga	SgKom
q	qks	SgTr
q	ql	SgAd
q	qle	SgAll
q	qlt	SgAbl
q	qna	SgEs
q	qni	SgTer
q	qs	SgIn
q	qsid	PlP
q	qsse	SgIll
q	qst	SgEl
q	qta	SgAb
QR-kood	QR-kood	SgN
QR-kood	QR-koode	PlP
QR-kood	QR-koodeks	PlTr
QR-kood	QR-koodel	PlAd
QR-kood	QR-koodele	PlAll
QR-kood	QR-koodelt	PlAbl
QR-kood	QR-koodes	PlIn
QR-kood	QR-koodesse	PlIll
QR-kood	QR-koodest	PlEl
QR-kood	QR-koodi	SgAdt
QR-kood	QR-koodi	SgG
QR-kood	QR-koodi	SgP
QR-kood	QR-koodid	PlN
QR-kood	QR-koodide	PlG
QR-kood	QR-koodidega	PlKom
QR-kood	QR-koodideks	PlTr
QR-kood	QR-koodidel	PlAd
QR-kood	QR-koodidele	PlAll
QR-kood	QR-koodidelt	PlAbl
QR-kood	QR-koodidena	PlEs
QR-kood	QR-koodideni	PlTer
QR-kood	QR-koodides	PlIn
QR-kood	QR-koodidesse	PlIll
QR-kood	QR-koodidest	PlEl
QR-kood	QR-koodideta	PlAb
QR-kood	QR-koodiga	SgKom
QR-kood	QR-koodiks	SgTr
QR-kood	QR-koodil	SgAd
QR-kood	QR-koodile	SgAll
QR-kood	QR-koodilt	SgAbl
QR-kood	QR-koodina	SgEs
QR-kood	QR-koodini	SgTer
QR-kood	QR-koodis	SgIn
QR-kood	QR-koodisid	PlP
QR-kood	QR-koodisse	SgIll
QR-kood	QR-koodist	SgEl
QR-kood	QR-koodita	SgAb
quasi	quasi	ID
quattrocento	quattrocento	SgAdt
quattrocento	quattrocento	SgG
quattrocento	quattrocento	SgN
quattrocento	quattrocento'd	PlN
quattrocento	quattrocento'de	PlG
quattrocento	quattrocento'dega	PlKom
quattrocento	quattrocento'deks	PlTr
quattrocento	quattrocento'del	PlAd
quattrocento	quattrocento'dele	PlAll
quattrocento	quattrocento'delt	PlAbl
quattrocento	quattrocento'dena	PlEs
quattrocento	quattrocento'deni	PlTer
quattrocento	quattrocento'des	PlIn
quattrocento	quattrocento'desse	PlIll
quattrocento	quattrocento'dest	PlEl
quattrocento	quattrocento'deta	PlAb
quattrocento	quattrocento'ga	SgKom
quattrocento	quattrocento'ks	SgTr
quattrocento	quattrocento'l	SgAd
quattrocento	quattrocento'le	SgAll
quattrocento	quattrocento'lt	SgAbl
quattrocento	quattrocento'na	SgEs
quattrocento	quattrocento'ni	SgTer
quattrocento	quattrocento's	SgIn
quattrocento	quattrocento'sid	PlP
quattrocento	quattrocento'sse	SgIll
quattrocento	quattrocento'st	SgEl
quattrocento	quattrocento't	SgP
quattrocento	quattrocento'ta	SgAb
quesadilla	quesadilla	SgAdt
quesadilla	quesadilla	SgG
quesadilla	quesadilla	SgN
quesadilla	quesadilla'd	PlN
quesadilla	quesadilla'de	PlG
quesadilla	quesadilla'dega	PlKom
quesadilla	quesadilla'deks	PlTr
quesadilla	quesadilla'del	PlAd
quesadilla	quesadilla'dele	PlAll
quesadilla	quesadilla'delt	PlAbl
quesadilla	quesadilla'dena	PlEs
quesadilla	quesadilla'deni	PlTer
quesadilla	quesadilla'des	PlIn
quesadilla	quesadilla'desse	PlIll
quesadilla	quesadilla'dest	PlEl
quesadilla	quesadilla'deta	PlAb
quesadilla	quesadilla'ga	SgKom
quesadilla	quesadilla'ks	SgTr
quesadilla	quesadilla'l	SgAd
quesadilla	quesadilla'le	SgAll
quesadilla	quesadilla'lt	SgAbl
quesadilla	quesadilla'na	SgEs
quesadilla	quesadilla'ni	SgTer
quesadilla	quesadilla's	SgIn
quesadilla	quesadilla'sid	PlP
quesadilla	quesadilla'sse	SgIll
quesadilla	quesadilla'st	SgEl
quesadilla	quesadilla't	SgP
quesadilla	quesadilla'ta	SgAb
quiche	quiche	SgN
quiche	quiche'e	PlP
quiche	quiche'eks	PlTr
quiche	quiche'el	PlAd
quiche	quiche'ele	PlAll
quiche	quiche'elt	PlAbl
quiche	quiche'es	PlIn
quiche	quiche'esse	PlIll
quiche	quiche'est	PlEl
quiche	quiche'i	SgAdt
quiche	quiche'i	SgG
quiche	quiche'i	SgP
quiche	quiche'id	PlN
quiche	quiche'ide	PlG
quiche	quiche'idega	PlKom
quiche	quiche'ideks	PlTr
quiche	quiche'idel	PlAd
quiche	quiche'idele	PlAll
