lemma	form	morph_code
r	r	ID
Ra	Ra	ID
raa	-	SgAdt
raa	raa	SgG
raa	raa	SgN
raa	raad	PlN
raa	raad	SgP
raa	raade	PlG
raa	raadega	PlKom
raa	raadeks	PlTr
raa	raadel	PlAd
raa	raadele	PlAll
raa	raadelt	PlAbl
raa	raadena	PlEs
raa	raadeni	PlTer
raa	raades	PlIn
raa	raadesse	PlIll
raa	raadest	PlEl
raa	raadeta	PlAb
raa	raaga	SgKom
raa	raaks	SgTr
raa	raal	SgAd
raa	raale	SgAll
raa	raalt	SgAbl
raa	raana	SgEs
raa	raani	SgTer
raa	raas	SgIn
raa	raasid	PlP
raa	raasse	SgIll
raa	raast	SgEl
raa	raata	SgAb
raabitsvõrk	raabitsvõrgeks	PlTr
raabitsvõrk	raabitsvõrgel	PlAd
raabitsvõrk	raabitsvõrgele	PlAll
raabitsvõrk	raabitsvõrgelt	PlAbl
raabitsvõrk	raabitsvõrges	PlIn
raabitsvõrk	raabitsvõrgesse	PlIll
raabitsvõrk	raabitsvõrgest	PlEl
raabitsvõrk	raabitsvõrgu	SgG
raabitsvõrk	raabitsvõrgud	PlN
raabitsvõrk	raabitsvõrguga	SgKom
raabitsvõrk	raabitsvõrguks	SgTr
raabitsvõrk	raabitsvõrgul	SgAd
raabitsvõrk	raabitsvõrgule	SgAll
raabitsvõrk	raabitsvõrgult	SgAbl
raabitsvõrk	raabitsvõrguna	SgEs
raabitsvõrk	raabitsvõrguni	SgTer
raabitsvõrk	raabitsvõrgus	SgIn
raabitsvõrk	raabitsvõrgusse	SgIll
raabitsvõrk	raabitsvõrgust	SgEl
raabitsvõrk	raabitsvõrguta	SgAb
raabitsvõrk	raabitsvõrk	SgN
raabitsvõrk	raabitsvõrke	PlP
raabitsvõrk	raabitsvõrku	SgAdt
raabitsvõrk	raabitsvõrku	SgP
raabitsvõrk	raabitsvõrkude	PlG
raabitsvõrk	raabitsvõrkudega	PlKom
raabitsvõrk	raabitsvõrkudeks	PlTr
raabitsvõrk	raabitsvõrkudel	PlAd
raabitsvõrk	raabitsvõrkudele	PlAll
raabitsvõrk	raabitsvõrkudelt	PlAbl
raabitsvõrk	raabitsvõrkudena	PlEs
raabitsvõrk	raabitsvõrkudeni	PlTer
raabitsvõrk	raabitsvõrkudes	PlIn
raabitsvõrk	raabitsvõrkudesse	PlIll
raabitsvõrk	raabitsvõrkudest	PlEl
raabitsvõrk	raabitsvõrkudeta	PlAb
raabitsvõrk	raabitsvõrkusid	PlP
raad	raad	SgN
raad	raade	PlP
raad	raadi	SgAdt
raad	raadi	SgP
raad	raadide	PlG
raad	raadidega	PlKom
raad	raadideks	PlTr
raad	raadidel	PlAd
raad	raadidele	PlAll
raad	raadidelt	PlAbl
raad	raadidena	PlEs
raad	raadideni	PlTer
raad	raadides	PlIn
raad	raadidesse	PlIll
raad	raadidest	PlEl
raad	raadideta	PlAb
raad	raadisid	PlP
raad	rae	SgG
raad	raed	PlN
raad	raega	SgKom
raad	raeks	SgTr
raad	rael	SgAd
raad	raele	SgAll
raad	raelt	SgAbl
raad	raena	SgEs
raad	raeni	SgTer
raad	raes	SgIn
raad	raesse	SgIll
raad	raest	SgEl
raad	raeta	SgAb
raada	-	SgAdt
raada	raada	SgG
raada	raada	SgN
