lemma	form	morph_code
sündinud hõbelusikas suus	sündinud hõbelusikas suus	ID
sama reha peale astuma	astu sama reha peale	ImpPrSg2
sama reha peale astuma	astu sama reha peale	IndPrPs_
sama reha peale astuma	astub sama reha peale	IndPrSg3
sama reha peale astuma	astud sama reha peale	IndPrSg2
sama reha peale astuma	astuge sama reha peale	ImpPrPl2
sama reha peale astuma	astugem sama reha peale	ImpPrPl1
sama reha peale astuma	astugu sama reha peale	ImpPrPs
sama reha peale astuma	astuks sama reha peale	KndPrPs
sama reha peale astuma	astuksid sama reha peale	KndPrPl3
sama reha peale astuma	astuksid sama reha peale	KndPrSg2
sama reha peale astuma	astuksime sama reha peale	KndPrPl1
sama reha peale astuma	astuksin sama reha peale	KndPrSg1
sama reha peale astuma	astuksite sama reha peale	KndPrPl2
sama reha peale astuma	astume sama reha peale	IndPrPl1
sama reha peale astuma	astun sama reha peale	IndPrSg1
sama reha peale astuma	astunud sama reha peale	PtsPtPsNeg
sama reha peale astuma	astunuks sama reha peale	KndPtPs
sama reha peale astuma	astunuksid sama reha peale	KndPtPl3
sama reha peale astuma	astunuksid sama reha peale	KndPtSg2
sama reha peale astuma	astunuksime sama reha peale	KndPtPl1
sama reha peale astuma	astunuksin sama reha peale	KndPtSg1
sama reha peale astuma	astunuksite sama reha peale	KndPtPl2
sama reha peale astuma	astunuvat sama reha peale	KvtPtPs
sama reha peale astuma	astus sama reha peale	IndIpfSg3
sama reha peale astuma	astusid sama reha peale	IndIpfPl3
sama reha peale astuma	astusid sama reha peale	IndIpfSg2
sama reha peale astuma	astusime sama reha peale	IndIpfPl1
sama reha peale astuma	astusin sama reha peale	IndIpfSg1
sama reha peale astuma	astusite sama reha peale	IndIpfPl2
sama reha peale astuma	astuta sama reha peale	IndPrIps_
sama reha peale astuma	astutagu sama reha peale	ImpPrIps
sama reha peale astuma	astutaks sama reha peale	KndPrIps
sama reha peale astuma	astutakse sama reha peale	IndPrIps
sama reha peale astuma	astutavat sama reha peale	KvtPrIps
sama reha peale astuma	astute sama reha peale	IndPrPl2
sama reha peale astuma	astuti sama reha peale	IndIpfIps
sama reha peale astuma	astutud sama reha peale	PtsPtIpsNeg
sama reha peale astuma	astutuks sama reha peale	KndPtIps
