lemma	form	morph_code
tühja minema	lähe tühja	IndPrPs_
tühja minema	läheb tühja	IndPrSg3
tühja minema	lähed tühja	IndPrSg2
tühja minema	läheks tühja	KndPrPs
tühja minema	läheksid tühja	KndPrPl3
tühja minema	läheksid tühja	KndPrSg2
tühja minema	läheksime tühja	KndPrPl1
tühja minema	läheksin tühja	KndPrSg1
tühja minema	läheksite tühja	KndPrPl2
tühja minema	läheme tühja	IndPrPl1
tühja minema	lähen tühja	IndPrSg1
tühja minema	lähete tühja	IndPrPl2
tühja minema	lähevad tühja	IndPrPl3
tühja minema	lähme tühja	IndPrPl1
tühja minema	läinud tühja	PtsPtPsNeg
tühja minema	läinuks tühja	KndPtPs
tühja minema	läinuksid tühja	KndPtPl3
tühja minema	läinuksid tühja	KndPtSg2
tühja minema	läinuksime tühja	KndPtPl1
tühja minema	läinuksin tühja	KndPtSg1
tühja minema	läinuksite tühja	KndPtPl2
tühja minema	läinuvat tühja	KvtPtPs
tühja minema	läki tühja	ImpPrPl1
tühja minema	läks tühja	IndIpfSg3
tühja minema	läksid tühja	IndIpfPl3
tühja minema	läksid tühja	IndIpfSg2
tühja minema	läksime tühja	IndIpfPl1
tühja minema	läksin tühja	IndIpfSg1
tühja minema	läksite tühja	IndIpfPl2
tühja minema	minda tühja	IndPrIps_
tühja minema	mindagu tühja	ImpPrIps
tühja minema	mindaks tühja	KndPrIps
tühja minema	mindavat tühja	KvtPrIps
tühja minema	mindi tühja	IndIpfIps
tühja minema	mindud tühja	PtsPtIpsNeg
tühja minema	minduks tühja	KndPtIps
tühja minema	minduvat tühja	KvtPtIps
tühja minema	mine tühja	ImpPrSg2
tühja minema	minevat tühja	KvtPrPs
tühja minema	minge tühja	ImpPrPl2
tühja minema	mingem tühja	ImpPrPl1
tühja minema	mingu tühja	ImpPrPs
tühja minema	minnakse tühja	IndPrIps
tühja minema	tühja läinud	PtsPtPs
tühja minema	tühja mindama	SupIps
tühja minema	tühja mindav	PtsPrIps
tühja minema	tühja mindud	PtsPtIps
tühja minema	tühja minema	Sup
tühja minema	tühja minemaks	SupTr
tühja minema	tühja minemas	SupIn
tühja minema	tühja minemast	SupEl
tühja minema	tühja minemata	SupAb
tühja minema	tühja minev	PtsPrPs
tühja minema	tühja minna	Inf
tühja minema	tühja minnes	Ger
tuhkagi	tuhkagi	ID
tegemist olema	olda tegemist	IndPrIps_
tegemist olema	oldagu tegemist	ImpPrIps
tegemist olema	oldaks tegemist	KndPrIps
tegemist olema	oldavat tegemist	KvtPrIps
tegemist olema	oldi tegemist	IndIpfIps
tegemist olema	oldud tegemist	PtsPtIpsNeg
tegemist olema	olduks tegemist	KndPtIps
tegemist olema	olduvat tegemist	KvtPtIps
tegemist olema	ole tegemist	ImpPrSg2
tegemist olema	ole tegemist	IndPrPs_
tegemist olema	oled tegemist	IndPrSg2
tegemist olema	oleks tegemist	KndPrPs
tegemist olema	oleksid tegemist	KndPrPl3
tegemist olema	oleksid tegemist	KndPrSg2
tegemist olema	oleksime tegemist	KndPrPl1
tegemist olema	oleksin tegemist	KndPrSg1
tegemist olema	oleksite tegemist	KndPrPl2
tegemist olema	oleme tegemist	IndPrPl1
tegemist olema	olen tegemist	IndPrSg1
tegemist olema	olete tegemist	IndPrPl2
tegemist olema	olevat tegemist	KvtPrPs
tegemist olema	olge tegemist	ImpPrPl2
tegemist olema	olgem tegemist	ImpPrPl1
tegemist olema	olgu tegemist	ImpPrPs
tegemist olema	oli tegemist	IndIpfSg3
tegemist olema	olid tegemist	IndIpfPl3
tegemist olema	olid tegemist	IndIpfSg2
tegemist olema	olime tegemist	IndIpfPl1
tegemist olema	olin tegemist	IndIpfSg1
tegemist olema	olite tegemist	IndIpfPl2
tegemist olema	ollakse tegemist	IndPrIps
tegemist olema	olnud tegemist	PtsPtPsNeg
tegemist olema	olnuks tegemist	KndPtPs
tegemist olema	olnuksid tegemist	KndPtPl3
tegemist olema	olnuksid tegemist	KndPtSg2
tegemist olema	olnuksime tegemist	KndPtPl1
tegemist olema	olnuksin tegemist	KndPtSg1
tegemist olema	olnuksite tegemist	KndPtPl2
tegemist olema	olnuvat tegemist	KvtPtPs
tegemist olema	on tegemist	IndPrPl3
tegemist olema	on tegemist	IndPrSg3
tegemist olema	polda tegemist	IndPrIpsN
tegemist olema	poldud tegemist	IndIpfIpsN
tegemist olema	pole tegemist	IndPrPsN
tegemist olema	poleks tegemist	KndPrPsN
tegemist olema	polevat tegemist	KvtPrPsN
tegemist olema	polnud tegemist	IndIpfPsN
tegemist olema	polnuks tegemist	KndPtPsN
tegemist olema	polnuvat tegemist	KvtPtPsN
tegemist olema	tegemist oldama	SupIps
tegemist olema	tegemist oldav	PtsPrIps
tegemist olema	tegemist oldud	PtsPtIps
tegemist olema	tegemist olema	Sup
tegemist olema	tegemist olemaks	SupTr
tegemist olema	tegemist olemas	SupIn
tegemist olema	tegemist olemast	SupEl
tegemist olema	tegemist olemata	SupAb
tegemist olema	tegemist olev	PtsPrPs
tegemist olema	tegemist olla	Inf
tegemist olema	tegemist olles	Ger
tegemist olema	tegemist olnud	PtsPtPs
tegu olema	olda tegu	IndPrIps_
tegu olema	oldagu tegu	ImpPrIps
tegu olema	oldaks tegu	KndPrIps
tegu olema	oldavat tegu	KvtPrIps
tegu olema	oldi tegu	IndIpfIps
tegu olema	oldud tegu	PtsPtIpsNeg
tegu olema	olduks tegu	KndPtIps
tegu olema	olduvat tegu	KvtPtIps
tegu olema	ole tegu	ImpPrSg2
tegu olema	ole tegu	IndPrPs_
tegu olema	oled tegu	IndPrSg2
tegu olema	oleks tegu	KndPrPs
tegu olema	oleksid tegu	KndPrPl3
tegu olema	oleksid tegu	KndPrSg2
tegu olema	oleksime tegu	KndPrPl1
tegu olema	oleksin tegu	KndPrSg1
tegu olema	oleksite tegu	KndPrPl2
tegu olema	oleme tegu	IndPrPl1
tegu olema	olen tegu	IndPrSg1
tegu olema	olete tegu	IndPrPl2
tegu olema	olevat tegu	KvtPrPs
tegu olema	olge tegu	ImpPrPl2
tegu olema	olgem tegu	ImpPrPl1
tegu olema	olgu tegu	ImpPrPs
tegu olema	oli tegu	IndIpfSg3
tegu olema	olid tegu	IndIpfPl3
tegu olema	olid tegu	IndIpfSg2
tegu olema	olime tegu	IndIpfPl1
tegu olema	olin tegu	IndIpfSg1
tegu olema	olite tegu	IndIpfPl2
tegu olema	ollakse tegu	IndPrIps
tegu olema	olnud tegu	PtsPtPsNeg
tegu olema	olnuks tegu	KndPtPs
tegu olema	olnuksid tegu	KndPtPl3
tegu olema	olnuksid tegu	KndPtSg2
tegu olema	olnuksime tegu	KndPtPl1
tegu olema	olnuksin tegu	KndPtSg1
tegu olema	olnuksite tegu	KndPtPl2
tegu olema	olnuvat tegu	KvtPtPs
tegu olema	on tegu	IndPrPl3
tegu olema	on tegu	IndPrSg3
tegu olema	polda tegu	IndPrIpsN
tegu olema	poldud tegu	IndIpfIpsN
tegu olema	pole tegu	IndPrPsN
tegu olema	poleks tegu	KndPrPsN
tegu olema	polevat tegu	KvtPrPsN
tegu olema	polnud tegu	IndIpfPsN
tegu olema	polnuks tegu	KndPtPsN
tegu olema	polnuvat tegu	KvtPtPsN
tegu olema	tegu oldama	SupIps
tegu olema	tegu oldav	PtsPrIps
tegu olema	tegu oldud	PtsPtIps
tegu olema	tegu olema	Sup
tegu olema	tegu olemaks	SupTr
tegu olema	tegu olemas	SupIn
tegu olema	tegu olemast	SupEl
tegu olema	tegu olemata	SupAb
tegu olema	tegu olev	PtsPrPs
tegu olema	tegu olla	Inf
tegu olema	tegu olles	Ger
tegu olema	tegu olnud	PtsPtPs
T	T	ID
t	t	SgAdt
t	t	SgG
t	t	SgN
t	td	PlN
t	td	SgP
t	tde	PlG
t	tdega	PlKom
t	tdeks	PlTr
t	tdel	PlAd
t	tdele	PlAll
t	tdelt	PlAbl
t	tdena	PlEs
t	tdeni	PlTer
t	tdes	PlIn
t	tdesse	PlIll
t	tdest	PlEl
t	tdeta	PlAb
t	tga	SgKom
t	tks	SgTr
t	tl	SgAd
t	tle	SgAll
t	tlt	SgAbl
t	tna	SgEs
t	tni	SgTer
t	ts	SgIn
t	tsid	PlP
t	tsse	SgIll
t	tst	SgEl
t	tta	SgAb
t	t	PlP
t	t	SgAdt
t	t	SgG
t	t	SgN
t	t	SgP
t	t-d	PlN
t	t-de	PlG
t	t-dega	PlKom
t	t-deks	PlTr
t	t-del	PlAd
t	t-dele	PlAll
t	t-delt	PlAbl
t	t-dena	PlEs
t	t-deni	PlTer
t	t-des	PlIn
t	t-desse	PlIll
t	t-dest	PlEl
t	t-deta	PlAb
t	t-ga	SgKom
t	t-ks	PlTr
t	t-ks	SgTr
t	t-l	PlAd
t	t-l	SgAd
t	t-le	PlAll
t	t-le	SgAll
t	t-lt	PlAbl
t	t-lt	SgAbl
t	t-na	SgEs
t	t-ni	SgTer
t	t-s	PlIn
t	t-s	SgIn
t	t-sid	PlP
t	t-sse	PlIll
t	t-sse	SgIll
t	t-st	PlEl
t	t-st	SgEl
t	t-ta	SgAb
ta	-	SgAdt
ta	ta	SgG
ta	ta	SgN
ta	taga	SgKom
ta	tal	SgAd
ta	talle	SgAll
ta	talt	SgAbl
ta	tas	SgIn
ta	tasse	SgIll
ta	tast	SgEl
ta	teda	SgP
ta	tema	SgG
ta	tema	SgN
ta	temaga	SgKom
ta	temaks	SgTr
ta	temal	SgAd
ta	temale	SgAll
ta	temalt	SgAbl
ta	temana	SgEs
ta	temani	SgTer
ta	temas	SgIn
ta	temasse	SgIll
ta	temast	SgEl
ta	temata	SgAb
Ta	Ta	ID
taadi keel	taadi keel	SgN
taadi keel	taadi keelde	SgAdt
taadi keel	taadi keele	SgG
taadi keel	taadi keeled	PlN
taadi keel	taadi keelega	SgKom
taadi keel	taadi keeleks	SgTr
taadi keel	taadi keelel	SgAd
taadi keel	taadi keelele	SgAll
taadi keel	taadi keelelt	SgAbl
taadi keel	taadi keelena	SgEs
taadi keel	taadi keeleni	SgTer
taadi keel	taadi keeles	SgIn
taadi keel	taadi keelesse	SgIll
taadi keel	taadi keelest	SgEl
taadi keel	taadi keeleta	SgAb
taadi keel	taadi keeli	PlP
taadi keel	taadi keelt	SgP
taadi keel	taadi keelte	PlG
taadi keel	taadi keeltega	PlKom
taadi keel	taadi keelteks	PlTr
taadi keel	taadi keeltel	PlAd
taadi keel	taadi keeltele	PlAll
taadi keel	taadi keeltelt	PlAbl
taadi keel	taadi keeltena	PlEs
taadi keel	taadi keelteni	PlTer
taadi keel	taadi keeltes	PlIn
taadi keel	taadi keeltesse	PlIll
taadi keel	taadi keeltest	PlEl
taadi keel	taadi keelteta	PlAb
taadikõbi	-	SgAdt
taadikõbi	taadikõbi	SgG
taadikõbi	taadikõbi	SgN
taadikõbi	taadikõbi	SgP
taadikõbi	taadikõbid	PlN
taadikõbi	taadikõbide	PlG
taadikõbi	taadikõbidega	PlKom
taadikõbi	taadikõbideks	PlTr
taadikõbi	taadikõbidel	PlAd
taadikõbi	taadikõbidele	PlAll
taadikõbi	taadikõbidelt	PlAbl
taadikõbi	taadikõbidena	PlEs
taadikõbi	taadikõbideni	PlTer
taadikõbi	taadikõbides	PlIn
taadikõbi	taadikõbidesse	PlIll
taadikõbi	taadikõbidest	PlEl
taadikõbi	taadikõbideta	PlAb
taadikõbi	taadikõbiga	SgKom
taadikõbi	taadikõbiks	SgTr
taadikõbi	taadikõbil	SgAd
taadikõbi	taadikõbile	SgAll
taadikõbi	taadikõbilt	SgAbl
taadikõbi	taadikõbina	SgEs
taadikõbi	taadikõbini	SgTer
taadikõbi	taadikõbis	SgIn
taadikõbi	taadikõbisid	PlP
taadikõbi	taadikõbisse	SgIll
taadikõbi	taadikõbist	SgEl
taadikõbi	taadikõbita	SgAb
