lemma	form	morph_code
unista edasi	unista edasi	ID
U	U	ID
u	u	SgAdt
u	u	SgG
u	u	SgN
u	ud	PlN
u	ud	SgP
u	ude	PlG
u	udega	PlKom
u	udeks	PlTr
u	udel	PlAd
u	udele	PlAll
u	udelt	PlAbl
u	udena	PlEs
u	udeni	PlTer
u	udes	PlIn
u	udesse	PlIll
u	udest	PlEl
u	udeta	PlAb
u	uga	SgKom
u	uks	SgTr
u	ul	SgAd
u	ule	SgAll
u	ult	SgAbl
u	una	SgEs
u	uni	SgTer
u	us	SgIn
u	usid	PlP
u	usse	SgIll
u	ust	SgEl
u	uta	SgAb
u	u	ID
u	u	ID
uba	-	SgAdt
uba	oa	SgG
uba	oad	PlN
uba	oaga	SgKom
uba	oaks	SgTr
uba	oal	SgAd
uba	oale	SgAll
uba	oalt	SgAbl
uba	oana	SgEs
uba	oani	SgTer
uba	oas	SgIn
uba	oasse	SgIll
uba	oast	SgEl
uba	oata	SgAb
uba	uba	SgN
uba	uba	SgP
uba	ubade	PlG
uba	ubadega	PlKom
uba	ubadeks	PlTr
uba	ubadel	PlAd
uba	ubadele	PlAll
uba	ubadelt	PlAbl
uba	ubadena	PlEs
uba	ubadeni	PlTer
uba	ubades	PlIn
uba	ubadesse	PlIll
uba	ubadest	PlEl
uba	ubadeta	PlAb
uba	ubasid	PlP
uba	ube	PlP
ubaleht	ubalehe	SgG
ubaleht	ubalehed	PlN
ubaleht	ubalehega	SgKom
ubaleht	ubaleheks	SgTr
ubaleht	ubalehel	SgAd
ubaleht	ubalehele	SgAll
ubaleht	ubalehelt	SgAbl
ubaleht	ubalehena	SgEs
ubaleht	ubaleheni	SgTer
ubaleht	ubalehes	SgIn
ubaleht	ubalehesse	SgIll
ubaleht	ubalehest	SgEl
ubaleht	ubaleheta	SgAb
ubaleht	ubalehiks	PlTr
ubaleht	ubalehil	PlAd
ubaleht	ubalehile	PlAll
ubaleht	ubalehilt	PlAbl
ubaleht	ubalehis	PlIn
ubaleht	ubalehisse	PlIll
ubaleht	ubalehist	PlEl
ubaleht	ubaleht	SgN
ubaleht	ubalehte	SgAdt
ubaleht	ubalehte	SgP
ubaleht	ubalehtede	PlG
ubaleht	ubalehtedega	PlKom
ubaleht	ubalehtedeks	PlTr
ubaleht	ubalehtedel	PlAd
ubaleht	ubalehtedele	PlAll
ubaleht	ubalehtedelt	PlAbl
ubaleht	ubalehtedena	PlEs
ubaleht	ubalehtedeni	PlTer
ubaleht	ubalehtedes	PlIn
ubaleht	ubalehtedesse	PlIll
ubaleht	ubalehtedest	PlEl
ubaleht	ubalehtedeta	PlAb
ubaleht	ubalehtesid	PlP
ubaleht	ubalehti	PlP
ubapõõsas	-	SgAdt
ubapõõsas	ubapõõsa	SgG
ubapõõsas	ubapõõsad	PlN
ubapõõsas	ubapõõsaga	SgKom
ubapõõsas	ubapõõsaid	PlP
ubapõõsas	ubapõõsaiks	PlTr
ubapõõsas	ubapõõsail	PlAd
ubapõõsas	ubapõõsaile	PlAll
ubapõõsas	ubapõõsailt	PlAbl
ubapõõsas	ubapõõsais	PlIn
ubapõõsas	ubapõõsaisse	PlIll
ubapõõsas	ubapõõsaist	PlEl
ubapõõsas	ubapõõsaks	SgTr
ubapõõsas	ubapõõsal	SgAd
ubapõõsas	ubapõõsale	SgAll
ubapõõsas	ubapõõsalt	SgAbl
ubapõõsas	ubapõõsana	SgEs
ubapõõsas	ubapõõsani	SgTer
ubapõõsas	ubapõõsas	SgIn
ubapõõsas	ubapõõsas	SgN
ubapõõsas	ubapõõsasse	SgIll
ubapõõsas	ubapõõsast	SgEl
ubapõõsas	ubapõõsast	SgP
ubapõõsas	ubapõõsaste	PlG
ubapõõsas	ubapõõsastega	PlKom
ubapõõsas	ubapõõsasteks	PlTr
ubapõõsas	ubapõõsastel	PlAd
ubapõõsas	ubapõõsastele	PlAll
ubapõõsas	ubapõõsastelt	PlAbl
ubapõõsas	ubapõõsastena	PlEs
ubapõõsas	ubapõõsasteni	PlTer
ubapõõsas	ubapõõsastes	PlIn
ubapõõsas	ubapõõsastesse	PlIll
ubapõõsas	ubapõõsastest	PlEl
ubapõõsas	ubapõõsasteta	PlAb
ubapõõsas	ubapõõsata	SgAb
ubarohi	ubaroheks	PlTr
ubarohi	ubarohel	PlAd
ubarohi	ubarohele	PlAll
ubarohi	ubarohelt	PlAbl
ubarohi	ubarohes	PlIn
ubarohi	ubarohesse	PlIll
ubarohi	ubarohest	PlEl
ubarohi	ubarohi	SgN
ubarohi	ubarohte	PlP
ubarohi	ubarohtu	SgAdt
ubarohi	ubarohtu	SgP
ubarohi	ubarohtude	PlG
ubarohi	ubarohtudega	PlKom
ubarohi	ubarohtudeks	PlTr
ubarohi	ubarohtudel	PlAd
ubarohi	ubarohtudele	PlAll
ubarohi	ubarohtudelt	PlAbl
ubarohi	ubarohtudena	PlEs
ubarohi	ubarohtudeni	PlTer
ubarohi	ubarohtudes	PlIn
ubarohi	ubarohtudesse	PlIll
ubarohi	ubarohtudest	PlEl
ubarohi	ubarohtudeta	PlAb
ubarohi	ubarohtusid	PlP
ubarohi	ubarohu	SgG
ubarohi	ubarohud	PlN
ubarohi	ubarohuga	SgKom
ubarohi	ubarohuks	SgTr
ubarohi	ubarohul	SgAd
ubarohi	ubarohule	SgAll
ubarohi	ubarohult	SgAbl
ubarohi	ubarohuna	SgEs
ubarohi	ubarohuni	SgTer
ubarohi	ubarohus	SgIn
ubarohi	ubarohusse	SgIll
ubarohi	ubarohust	SgEl
ubarohi	ubarohuta	SgAb
uberik	uberik	SgN
uberik	uberike	PlG
uberik	uberikega	PlKom
uberik	uberikeks	PlTr
uberik	uberikel	PlAd
uberik	uberikele	PlAll
uberik	uberikelt	PlAbl
uberik	uberikena	PlEs
uberik	uberikeni	PlTer
uberik	uberikes	PlIn
uberik	uberikesse	PlIll
uberik	uberikest	PlEl
uberik	uberiketa	PlAb
uberik	uberikke	PlP
uberik	uberikku	SgAdt
uberik	uberikku	SgP
uberik	uberikkude	PlG
uberik	uberikkudega	PlKom
uberik	uberikkudeks	PlTr
uberik	uberikkudel	PlAd
uberik	uberikkudele	PlAll
uberik	uberikkudelt	PlAbl
uberik	uberikkudena	PlEs
uberik	uberikkudeni	PlTer
uberik	uberikkudes	PlIn
uberik	uberikkudesse	PlIll
uberik	uberikkudest	PlEl
uberik	uberikkudeta	PlAb
uberik	uberikkusid	PlP
uberik	uberiku	SgG
uberik	uberikud	PlN
uberik	uberikuga	SgKom
uberik	uberikuks	SgTr
uberik	uberikul	SgAd
uberik	uberikule	SgAll
uberik	uberikult	SgAbl
uberik	uberikuna	SgEs
uberik	uberikuni	SgTer
uberik	uberikus	SgIn
uberik	uberikusse	SgIll
uberik	uberikust	SgEl
uberik	uberikuta	SgAb
ubikvist	ubikvist	SgN
ubikvist	ubikviste	PlP
ubikvist	ubikvisteks	PlTr
ubikvist	ubikvistel	PlAd
ubikvist	ubikvistele	PlAll
ubikvist	ubikvistelt	PlAbl
ubikvist	ubikvistes	PlIn
ubikvist	ubikvistesse	PlIll
ubikvist	ubikvistest	PlEl
ubikvist	ubikvisti	SgAdt
ubikvist	ubikvisti	SgG
ubikvist	ubikvisti	SgP
ubikvist	ubikvistid	PlN
ubikvist	ubikvistide	PlG
ubikvist	ubikvistidega	PlKom
