lemma	form	morph_code
V	V	ID
v	v	SgAdt
v	v	SgG
v	v	SgN
v	vd	PlN
v	vd	SgP
v	vde	PlG
v	vdega	PlKom
v	vdeks	PlTr
v	vdel	PlAd
v	vdele	PlAll
v	vdelt	PlAbl
v	vdena	PlEs
v	vdeni	PlTer
v	vdes	PlIn
v	vdesse	PlIll
v	vdest	PlEl
v	vdeta	PlAb
v	vga	SgKom
v	vks	SgTr
v	vl	SgAd
v	vle	SgAll
v	vlt	SgAbl
v	vna	SgEs
v	vni	SgTer
v	vs	SgIn
v	vsid	PlP
v	vsse	SgIll
v	vst	SgEl
v	vta	SgAb
va	va	ID
VA	VA	SgAdt
VA	VA	SgG
VA	VA	SgN
VA	VA-d	PlN
VA	VA-ga	SgKom
VA	VA-id	PlP
VA	VA-iks	PlTr
VA	VA-il	PlAd
VA	VA-ile	PlAll
VA	VA-ilt	PlAbl
VA	VA-is	PlIn
VA	VA-isse	PlIll
VA	VA-ist	PlEl
VA	VA-ks	SgTr
VA	VA-l	SgAd
VA	VA-le	SgAll
VA	VA-lt	SgAbl
VA	VA-na	SgEs
VA	VA-ni	SgTer
VA	VA-s	SgIn
VA	VA-sse	SgIll
VA	VA-st	SgEl
VA	VA-t	SgP
VA	VA-ta	SgAb
VA	VA-te	PlG
VA	VA-tega	PlKom
VA	VA-teks	PlTr
VA	VA-tel	PlAd
VA	VA-tele	PlAll
VA	VA-telt	PlAbl
VA	VA-tena	PlEs
VA	VA-teni	PlTer
VA	VA-tes	PlIn
VA	VA-tesse	PlIll
VA	VA-test	PlEl
VA	VA-teta	PlAb
v.a	v.a	ID
vaablane	-	SgAdt
vaablane	vaablane	SgN
vaablane	vaablase	SgG
vaablane	vaablased	PlN
vaablane	vaablasega	SgKom
vaablane	vaablaseid	PlP
vaablane	vaablaseiks	PlTr
vaablane	vaablaseil	PlAd
vaablane	vaablaseile	PlAll
vaablane	vaablaseilt	PlAbl
vaablane	vaablaseis	PlIn
vaablane	vaablaseisse	PlIll
vaablane	vaablaseist	PlEl
vaablane	vaablaseks	SgTr
vaablane	vaablasel	SgAd
vaablane	vaablasele	SgAll
vaablane	vaablaselt	SgAbl
vaablane	vaablasena	SgEs
vaablane	vaablaseni	SgTer
vaablane	vaablases	SgIn
vaablane	vaablasesse	SgIll
vaablane	vaablasest	SgEl
vaablane	vaablaseta	SgAb
vaablane	vaablasi	PlP
vaablane	vaablasiks	PlTr
vaablane	vaablasil	PlAd
vaablane	vaablasile	PlAll
vaablane	vaablasilt	PlAbl
vaablane	vaablasis	PlIn
vaablane	vaablasisse	PlIll
vaablane	vaablasist	PlEl
vaablane	vaablasse	SgAdt
vaablane	vaablast	SgP
