lemma	form	morph_code
W	W	ID
w	w	SgAdt
w	w	SgG
w	w	SgN
w	wd	PlN
w	wd	SgP
w	wde	PlG
w	wdega	PlKom
w	wdeks	PlTr
w	wdel	PlAd
w	wdele	PlAll
w	wdelt	PlAbl
w	wdena	PlEs
w	wdeni	PlTer
w	wdes	PlIn
w	wdesse	PlIll
w	wdest	PlEl
w	wdeta	PlAb
w	wga	SgKom
w	wks	SgTr
w	wl	SgAd
w	wle	SgAll
w	wlt	SgAbl
w	wna	SgEs
w	wni	SgTer
w	ws	SgIn
w	wsid	PlP
w	wsse	SgIll
w	wst	SgEl
w	wta	SgAb
Wakhani koridor	Wakhani koridor	SgN
Wakhani koridor	Wakhani koridori	SgAdt
Wakhani koridor	Wakhani koridori	SgG
Wakhani koridor	Wakhani koridori	SgP
Wakhani koridor	Wakhani koridoriga	SgKom
Wakhani koridor	Wakhani koridoriks	SgTr
Wakhani koridor	Wakhani koridoril	SgAd
Wakhani koridor	Wakhani koridorile	SgAll
Wakhani koridor	Wakhani koridorilt	SgAbl
Wakhani koridor	Wakhani koridorina	SgEs
Wakhani koridor	Wakhani koridorini	SgTer
Wakhani koridor	Wakhani koridoris	SgIn
Wakhani koridor	Wakhani koridorisse	SgIll
Wakhani koridor	Wakhani koridorist	SgEl
Wakhani koridor	Wakhani koridorita	SgAb
Waldorfi kool	Waldorfi kool	SgN
Waldorfi kool	Waldorfi koole	PlP
Waldorfi kool	Waldorfi kooli	SgAdt
Waldorfi kool	Waldorfi kooli	SgG
Waldorfi kool	Waldorfi kooli	SgP
Waldorfi kool	Waldorfi koolid	PlN
Waldorfi kool	Waldorfi koolide	PlG
Waldorfi kool	Waldorfi koolidega	PlKom
Waldorfi kool	Waldorfi koolideks	PlTr
Waldorfi kool	Waldorfi koolidel	PlAd
Waldorfi kool	Waldorfi koolidele	PlAll
Waldorfi kool	Waldorfi koolidelt	PlAbl
Waldorfi kool	Waldorfi koolidena	PlEs
Waldorfi kool	Waldorfi koolideni	PlTer
Waldorfi kool	Waldorfi koolides	PlIn
Waldorfi kool	Waldorfi koolidesse	PlIll
Waldorfi kool	Waldorfi koolidest	PlEl
Waldorfi kool	Waldorfi koolideta	PlAb
Waldorfi kool	Waldorfi kooliga	SgKom
Waldorfi kool	Waldorfi kooliks	SgTr
Waldorfi kool	Waldorfi koolil	SgAd
Waldorfi kool	Waldorfi koolile	SgAll
Waldorfi kool	Waldorfi koolilt	SgAbl
Waldorfi kool	Waldorfi koolina	SgEs
Waldorfi kool	Waldorfi koolini	SgTer
Waldorfi kool	Waldorfi koolis	SgIn
Waldorfi kool	Waldorfi koolisid	PlP
Waldorfi kool	Waldorfi koolisse	SgIll
Waldorfi kool	Waldorfi koolist	SgEl
Waldorfi kool	Waldorfi koolita	SgAb
Waldorfi pedagoogika	-	SgAdt
Waldorfi pedagoogika	Waldorfi pedagoogika	SgG
Waldorfi pedagoogika	Waldorfi pedagoogika	SgN
Waldorfi pedagoogika	Waldorfi pedagoogikad	PlN
Waldorfi pedagoogika	Waldorfi pedagoogikaga	SgKom
Waldorfi pedagoogika	Waldorfi pedagoogikaid	PlP
Waldorfi pedagoogika	Waldorfi pedagoogikaiks	PlTr
Waldorfi pedagoogika	Waldorfi pedagoogikail	PlAd
Waldorfi pedagoogika	Waldorfi pedagoogikaile	PlAll
Waldorfi pedagoogika	Waldorfi pedagoogikailt	PlAbl
Waldorfi pedagoogika	Waldorfi pedagoogikais	PlIn
Waldorfi pedagoogika	Waldorfi pedagoogikaisse	PlIll
