lemma	form	morph_code
Y	Y	ID
y	y	ID
yang	yang	SgN
yang	yang'e	PlP
yang	yang'eks	PlTr
yang	yang'el	PlAd
yang	yang'ele	PlAll
yang	yang'elt	PlAbl
yang	yang'es	PlIn
yang	yang'esse	PlIll
yang	yang'est	PlEl
yang	yang'i	SgAdt
yang	yang'i	SgG
yang	yang'i	SgP
yang	yang'id	PlN
yang	yang'ide	PlG
yang	yang'idega	PlKom
yang	yang'ideks	PlTr
yang	yang'idel	PlAd
yang	yang'idele	PlAll
yang	yang'idelt	PlAbl
yang	yang'idena	PlEs
yang	yang'ideni	PlTer
yang	yang'ides	PlIn
yang	yang'idesse	PlIll
yang	yang'idest	PlEl
yang	yang'ideta	PlAb
yang	yang'iga	SgKom
yang	yang'iks	SgTr
yang	yang'il	SgAd
yang	yang'ile	SgAll
yang	yang'ilt	SgAbl
yang	yang'ina	SgEs
yang	yang'ini	SgTer
yang	yang'is	SgIn
yang	yang'isid	PlP
yang	yang'isse	SgIll
yang	yang'ist	SgEl
yang	yang'ita	SgAb
Yb	Yb	ID
Y-generatsioon	Y-generatsioon	SgN
Y-generatsioon	Y-generatsioone	PlP
Y-generatsioon	Y-generatsiooneks	PlTr
Y-generatsioon	Y-generatsioonel	PlAd
Y-generatsioon	Y-generatsioonele	PlAll
Y-generatsioon	Y-generatsioonelt	PlAbl
Y-generatsioon	Y-generatsioones	PlIn
Y-generatsioon	Y-generatsioonesse	PlIll
Y-generatsioon	Y-generatsioonest	PlEl
Y-generatsioon	Y-generatsiooni	SgAdt
Y-generatsioon	Y-generatsiooni	SgG
Y-generatsioon	Y-generatsiooni	SgP
Y-generatsioon	Y-generatsioonid	PlN
Y-generatsioon	Y-generatsioonide	PlG
Y-generatsioon	Y-generatsioonidega	PlKom
Y-generatsioon	Y-generatsioonideks	PlTr
Y-generatsioon	Y-generatsioonidel	PlAd
Y-generatsioon	Y-generatsioonidele	PlAll
Y-generatsioon	Y-generatsioonidelt	PlAbl
Y-generatsioon	Y-generatsioonidena	PlEs
Y-generatsioon	Y-generatsioonideni	PlTer
Y-generatsioon	Y-generatsioonides	PlIn
Y-generatsioon	Y-generatsioonidesse	PlIll
Y-generatsioon	Y-generatsioonidest	PlEl
Y-generatsioon	Y-generatsioonideta	PlAb
Y-generatsioon	Y-generatsiooniga	SgKom
Y-generatsioon	Y-generatsiooniks	SgTr
Y-generatsioon	Y-generatsioonil	SgAd
Y-generatsioon	Y-generatsioonile	SgAll
Y-generatsioon	Y-generatsioonilt	SgAbl
Y-generatsioon	Y-generatsioonina	SgEs
Y-generatsioon	Y-generatsioonini	SgTer
Y-generatsioon	Y-generatsioonis	SgIn
Y-generatsioon	Y-generatsioonisid	PlP
Y-generatsioon	Y-generatsioonisse	SgIll
Y-generatsioon	Y-generatsioonist	SgEl
Y-generatsioon	Y-generatsioonita	SgAb
y-generatsioon	y-generatsioon	SgN
y-generatsioon	y-generatsioone	PlP
y-generatsioon	y-generatsiooneks	PlTr
y-generatsioon	y-generatsioonel	PlAd
y-generatsioon	y-generatsioonele	PlAll
y-generatsioon	y-generatsioonelt	PlAbl
y-generatsioon	y-generatsioones	PlIn
y-generatsioon	y-generatsioonesse	PlIll
y-generatsioon	y-generatsioonest	PlEl
y-generatsioon	y-generatsiooni	SgAdt
y-generatsioon	y-generatsiooni	SgG
y-generatsioon	y-generatsiooni	SgP
y-generatsioon	y-generatsioonid	PlN
y-generatsioon	y-generatsioonide	PlG
y-generatsioon	y-generatsioonidega	PlKom
y-generatsioon	y-generatsioonideks	PlTr
y-generatsioon	y-generatsioonidel	PlAd
y-generatsioon	y-generatsioonidele	PlAll
y-generatsioon	y-generatsioonidelt	PlAbl
y-generatsioon	y-generatsioonidena	PlEs
y-generatsioon	y-generatsioonideni	PlTer
y-generatsioon	y-generatsioonides	PlIn
y-generatsioon	y-generatsioonidesse	PlIll
y-generatsioon	y-generatsioonidest	PlEl
y-generatsioon	y-generatsioonideta	PlAb
y-generatsioon	y-generatsiooniga	SgKom
y-generatsioon	y-generatsiooniks	SgTr
y-generatsioon	y-generatsioonil	SgAd
y-generatsioon	y-generatsioonile	SgAll
y-generatsioon	y-generatsioonilt	SgAbl
y-generatsioon	y-generatsioonina	SgEs
y-generatsioon	y-generatsioonini	SgTer
y-generatsioon	y-generatsioonis	SgIn
y-generatsioon	y-generatsioonisid	PlP
y-generatsioon	y-generatsioonisse	SgIll
y-generatsioon	y-generatsioonist	SgEl
y-generatsioon	y-generatsioonita	SgAb
yin	yin	SgN
yin	yin'e	PlP
yin	yin'eks	PlTr
yin	yin'el	PlAd
yin	yin'ele	PlAll
yin	yin'elt	PlAbl
yin	yin'es	PlIn
yin	yin'esse	PlIll
yin	yin'est	PlEl
yin	yin'i	SgAdt
yin	yin'i	SgG
yin	yin'i	SgP
yin	yin'id	PlN
yin	yin'ide	PlG
yin	yin'idega	PlKom
yin	yin'ideks	PlTr
yin	yin'idel	PlAd
yin	yin'idele	PlAll
yin	yin'idelt	PlAbl
yin	yin'idena	PlEs
yin	yin'ideni	PlTer
yin	yin'ides	PlIn
yin	yin'idesse	PlIll
yin	yin'idest	PlEl
yin	yin'ideta	PlAb
yin	yin'iga	SgKom
yin	yin'iks	SgTr
yin	yin'il	SgAd
yin	yin'ile	SgAll
yin	yin'ilt	SgAbl
yin	yin'ina	SgEs
yin	yin'ini	SgTer
yin	yin'is	SgIn
yin	yin'isid	PlP
yin	yin'isse	SgIll
yin	yin'ist	SgEl
yin	yin'ita	SgAb
yin-yang	yin-yang	SgN
yin-yang	yin-yang'e	PlP
yin-yang	yin-yang'eks	PlTr
yin-yang	yin-yang'el	PlAd
yin-yang	yin-yang'ele	PlAll
yin-yang	yin-yang'elt	PlAbl
yin-yang	yin-yang'es	PlIn
yin-yang	yin-yang'esse	PlIll
yin-yang	yin-yang'est	PlEl
yin-yang	yin-yang'i	SgAdt
yin-yang	yin-yang'i	SgG
yin-yang	yin-yang'i	SgP
yin-yang	yin-yang'id	PlN
yin-yang	yin-yang'ide	PlG
yin-yang	yin-yang'idega	PlKom
yin-yang	yin-yang'ideks	PlTr
yin-yang	yin-yang'idel	PlAd
yin-yang	yin-yang'idele	PlAll
yin-yang	yin-yang'idelt	PlAbl
yin-yang	yin-yang'idena	PlEs
yin-yang	yin-yang'ideni	PlTer
yin-yang	yin-yang'ides	PlIn
yin-yang	yin-yang'idesse	PlIll
yin-yang	yin-yang'idest	PlEl
yin-yang	yin-yang'ideta	PlAb
yin-yang	yin-yang'iga	SgKom
yin-yang	yin-yang'iks	SgTr
yin-yang	yin-yang'il	SgAd
yin-yang	yin-yang'ile	SgAll
yin-yang	yin-yang'ilt	SgAbl
yin-yang	yin-yang'ina	SgEs
yin-yang	yin-yang'ini	SgTer
yin-yang	yin-yang'is	SgIn
yin-yang	yin-yang'isid	PlP
yin-yang	yin-yang'isse	SgIll
yin-yang	yin-yang'ist	SgEl
yin-yang	yin-yang'ita	SgAb
y-koordinaat	y-koordinaadeks	PlTr
y-koordinaat	y-koordinaadel	PlAd
y-koordinaat	y-koordinaadele	PlAll
y-koordinaat	y-koordinaadelt	PlAbl
y-koordinaat	y-koordinaades	PlIn
y-koordinaat	y-koordinaadesse	PlIll
y-koordinaat	y-koordinaadest	PlEl
y-koordinaat	y-koordinaadi	SgG
y-koordinaat	y-koordinaadid	PlN
y-koordinaat	y-koordinaadiga	SgKom
