lemma	form	morph_code
z	z	SgN
z	ze	PlP
z	zeks	PlTr
z	zel	PlAd
z	zele	PlAll
z	zelt	PlAbl
z	zes	PlIn
z	zesse	PlIll
z	zest	PlEl
z	zi	SgAdt
z	zi	SgG
z	zi	SgP
z	zid	PlN
z	zide	PlG
z	zidega	PlKom
z	zideks	PlTr
z	zidel	PlAd
z	zidele	PlAll
z	zidelt	PlAbl
z	zidena	PlEs
z	zideni	PlTer
z	zides	PlIn
z	zidesse	PlIll
z	zidest	PlEl
z	zideta	PlAb
z	ziga	SgKom
z	ziks	SgTr
z	zil	SgAd
z	zile	SgAll
z	zilt	SgAbl
z	zina	SgEs
z	zini	SgTer
z	zis	SgIn
z	zisid	PlP
z	zisse	SgIll
z	zist	SgEl
z	zita	SgAb
zabaglione	zabaglione	SgAdt
zabaglione	zabaglione	SgG
zabaglione	zabaglione	SgN
zabaglione	zabaglione'd	PlN
zabaglione	zabaglione'de	PlG
zabaglione	zabaglione'dega	PlKom
zabaglione	zabaglione'deks	PlTr
zabaglione	zabaglione'del	PlAd
zabaglione	zabaglione'dele	PlAll
zabaglione	zabaglione'delt	PlAbl
zabaglione	zabaglione'dena	PlEs
zabaglione	zabaglione'deni	PlTer
zabaglione	zabaglione'des	PlIn
zabaglione	zabaglione'desse	PlIll
zabaglione	zabaglione'dest	PlEl
zabaglione	zabaglione'deta	PlAb
zabaglione	zabaglione'ga	SgKom
zabaglione	zabaglione'ks	SgTr
zabaglione	zabaglione'l	SgAd
zabaglione	zabaglione'le	SgAll
zabaglione	zabaglione'lt	SgAbl
zabaglione	zabaglione'na	SgEs
zabaglione	zabaglione'ni	SgTer
zabaglione	zabaglione's	SgIn
zabaglione	zabaglione'sid	PlP
zabaglione	zabaglione'sse	SgIll
zabaglione	zabaglione'st	SgEl
zabaglione	zabaglione't	SgP
zabaglione	zabaglione'ta	SgAb
Zambezi	Zambezi	SgAdt
Zambezi	Zambezi	SgG
Zambezi	Zambezi	SgN
Zambezi	Zambezid	PlN
Zambezi	Zambezide	PlG
Zambezi	Zambezidega	PlKom
Zambezi	Zambezideks	PlTr
Zambezi	Zambezidel	PlAd
Zambezi	Zambezidele	PlAll
Zambezi	Zambezidelt	PlAbl
Zambezi	Zambezidena	PlEs
Zambezi	Zambezideni	PlTer
Zambezi	Zambezides	PlIn
Zambezi	Zambezidesse	PlIll
Zambezi	Zambezidest	PlEl
Zambezi	Zambezideta	PlAb
Zambezi	Zambeziga	SgKom
Zambezi	Zambeziks	SgTr
Zambezi	Zambezil	SgAd
Zambezi	Zambezile	SgAll
Zambezi	Zambezilt	SgAbl
Zambezi	Zambezina	SgEs
Zambezi	Zambezini	SgTer
Zambezi	Zambezis	SgIn
Zambezi	Zambezisid	PlP
Zambezi	Zambezisse	SgIll
Zambezi	Zambezist	SgEl
Zambezi	Zambezit	SgP
Zambezi	Zambezita	SgAb
zaporoožlane	-	SgAdt
zaporoožlane	zaporoožlane	SgN
zaporoožlane	zaporoožlase	SgG
zaporoožlane	zaporoožlased	PlN
zaporoožlane	zaporoožlasega	SgKom
zaporoožlane	zaporoožlaseid	PlP
zaporoožlane	zaporoožlaseiks	PlTr
zaporoožlane	zaporoožlaseil	PlAd
zaporoožlane	zaporoožlaseile	PlAll
zaporoožlane	zaporoožlaseilt	PlAbl
zaporoožlane	zaporoožlaseis	PlIn
zaporoožlane	zaporoožlaseisse	PlIll
zaporoožlane	zaporoožlaseist	PlEl
zaporoožlane	zaporoožlaseks	SgTr
zaporoožlane	zaporoožlasel	SgAd
zaporoožlane	zaporoožlasele	SgAll
zaporoožlane	zaporoožlaselt	SgAbl
zaporoožlane	zaporoožlasena	SgEs
zaporoožlane	zaporoožlaseni	SgTer
zaporoožlane	zaporoožlases	SgIn
zaporoožlane	zaporoožlasesse	SgIll
zaporoožlane	zaporoožlasest	SgEl
zaporoožlane	zaporoožlaseta	SgAb
zaporoožlane	zaporoožlasi	PlP
zaporoožlane	zaporoožlasiks	PlTr
zaporoožlane	zaporoožlasil	PlAd
zaporoožlane	zaporoožlasile	PlAll
zaporoožlane	zaporoožlasilt	PlAbl
zaporoožlane	zaporoožlasis	PlIn
zaporoožlane	zaporoožlasisse	PlIll
zaporoožlane	zaporoožlasist	PlEl
zaporoožlane	zaporoožlasse	SgAdt
zaporoožlane	zaporoožlast	SgP
zaporoožlane	zaporoožlaste	PlG
zaporoožlane	zaporoožlastega	PlKom
zaporoožlane	zaporoožlasteks	PlTr
zaporoožlane	zaporoožlastel	PlAd
zaporoožlane	zaporoožlastele	PlAll
zaporoožlane	zaporoožlastelt	PlAbl
zaporoožlane	zaporoožlastena	PlEs
zaporoožlane	zaporoožlasteni	PlTer
zaporoožlane	zaporoožlastes	PlIn
zaporoožlane	zaporoožlastesse	PlIll
zaporoožlane	zaporoožlastest	PlEl
zaporoožlane	zaporoožlasteta	PlAb
zemštšina	-	SgAdt
zemštšina	zemštšina	SgG
zemštšina	zemštšina	SgN
zemštšina	zemštšinad	PlN
zemštšina	zemštšinaga	SgKom
zemštšina	zemštšinaid	PlP
zemštšina	zemštšinaiks	PlTr
zemštšina	zemštšinail	PlAd
zemštšina	zemštšinaile	PlAll
zemštšina	zemštšinailt	PlAbl
zemštšina	zemštšinais	PlIn
zemštšina	zemštšinaisse	PlIll
zemštšina	zemštšinaist	PlEl
zemštšina	zemštšinaks	SgTr
zemštšina	zemštšinal	SgAd
zemštšina	zemštšinale	SgAll
zemštšina	zemštšinalt	SgAbl
zemštšina	zemštšinana	SgEs
zemštšina	zemštšinani	SgTer
zemštšina	zemštšinas	SgIn
zemštšina	zemštšinasse	SgIll
zemštšina	zemštšinast	SgEl
zemštšina	zemštšinat	SgP
zemštšina	zemštšinata	SgAb
zemštšina	zemštšinate	PlG
zemštšina	zemštšinatega	PlKom
zemštšina	zemštšinateks	PlTr
zemštšina	zemštšinatel	PlAd
zemštšina	zemštšinatele	PlAll
zemštšina	zemštšinatelt	PlAbl
zemštšina	zemštšinatena	PlEs
zemštšina	zemštšinateni	PlTer
zemštšina	zemštšinates	PlIn
zemštšina	zemštšinatesse	PlIll
zemštšina	zemštšinatest	PlEl
zemštšina	zemštšinateta	PlAb
zen	zen	SgN
zen	zen'e	PlP
zen	zen'eks	PlTr
zen	zen'el	PlAd
zen	zen'ele	PlAll
zen	zen'elt	PlAbl
zen	zen'es	PlIn
zen	zen'esse	PlIll
zen	zen'est	PlEl
zen	zen'i	SgAdt
zen	zen'i	SgG
zen	zen'i	SgP
zen	zen'id	PlN
zen	zen'ide	PlG
zen	zen'idega	PlKom
zen	zen'ideks	PlTr
