lemma	form	morph_code
ä	ä	SgAdt
ä	ä	SgG
ä	ä	SgN
ä	äd	PlN
ä	äd	SgP
ä	äde	PlG
ä	ädega	PlKom
ä	ädeks	PlTr
ä	ädel	PlAd
ä	ädele	PlAll
ä	ädelt	PlAbl
ä	ädena	PlEs
ä	ädeni	PlTer
ä	ädes	PlIn
ä	ädesse	PlIll
ä	ädest	PlEl
ä	ädeta	PlAb
ä	äga	SgKom
ä	äks	SgTr
ä	äl	SgAd
ä	äle	SgAll
ä	ält	SgAbl
ä	äna	SgEs
ä	äni	SgTer
ä	äs	SgIn
ä	äsid	PlP
ä	ässe	SgIll
ä	äst	SgEl
ä	äta	SgAb
äbar	-	SgAdt
äbar	äbar	SgN
äbar	äbara	SgG
äbar	äbarad	PlN
äbar	äbaraga	SgKom
äbar	äbaraid	PlP
äbar	äbaraiks	PlTr
äbar	äbarail	PlAd
äbar	äbaraile	PlAll
äbar	äbarailt	PlAbl
äbar	äbarais	PlIn
äbar	äbaraisse	PlIll
äbar	äbaraist	PlEl
äbar	äbaraks	SgTr
äbar	äbaral	SgAd
äbar	äbarale	SgAll
äbar	äbaralt	SgAbl
äbar	äbarana	SgEs
äbar	äbarani	SgTer
äbar	äbaras	SgIn
äbar	äbarasse	SgIll
äbar	äbarast	SgEl
äbar	äbarat	SgP
äbar	äbarata	SgAb
äbar	äbarate	PlG
äbar	äbaratega	PlKom
äbar	äbarateks	PlTr
äbar	äbaratel	PlAd
äbar	äbaratele	PlAll
äbar	äbaratelt	PlAbl
äbar	äbaratena	PlEs
äbar	äbarateni	PlTer
äbar	äbarates	PlIn
äbar	äbaratesse	PlIll
äbar	äbaratest	PlEl
äbar	äbarateta	PlAb
äbard	-	SgAdt
äbard	äbard	SgN
äbard	äbardeid	PlP
äbard	äbardeiks	PlTr
äbard	äbardeil	PlAd
äbard	äbardeile	PlAll
äbard	äbardeilt	PlAbl
äbard	äbardeis	PlIn
äbard	äbardeisse	PlIll
äbard	äbardeist	PlEl
äbard	äbardi	SgG
äbard	äbardid	PlN
äbard	äbardiga	SgKom
äbard	äbardiks	SgTr
äbard	äbardil	SgAd
äbard	äbardile	SgAll
äbard	äbardilt	SgAbl
äbard	äbardina	SgEs
äbard	äbardini	SgTer
äbard	äbardis	SgIn
äbard	äbardisse	SgIll
äbard	äbardist	SgEl
äbard	äbardit	SgP
äbard	äbardita	SgAb
äbard	äbardite	PlG
äbard	äbarditega	PlKom
äbard	äbarditeks	PlTr
äbard	äbarditel	PlAd
äbard	äbarditele	PlAll
äbard	äbarditelt	PlAbl
äbard	äbarditena	PlEs
äbard	äbarditeni	PlTer
äbard	äbardites	PlIn
äbard	äbarditesse	PlIll
äbard	äbarditest	PlEl
äbard	äbarditeta	PlAb
äbarik	äbarik	SgN
äbarik	äbarike	PlG
äbarik	äbarikega	PlKom
äbarik	äbarikeks	PlTr
äbarik	äbarikel	PlAd
äbarik	äbarikele	PlAll
äbarik	äbarikelt	PlAbl
äbarik	äbarikena	PlEs
