lemma	form	morph_code
õa	õa	SgAdt
õa	õa	SgG
õa	õa	SgN
õa	õa-d	PlN
õa	õa-ga	SgKom
õa	õa-id	PlP
õa	õa-iks	PlTr
õa	õa-il	PlAd
õa	õa-ile	PlAll
õa	õa-ilt	PlAbl
õa	õa-is	PlIn
õa	õa-isse	PlIll
õa	õa-ist	PlEl
õa	õa-ks	SgTr
õa	õa-l	SgAd
õa	õa-le	SgAll
õa	õa-lt	SgAbl
õa	õa-na	SgEs
õa	õa-ni	SgTer
õa	õa-s	SgIn
õa	õa-sse	SgIll
õa	õa-st	SgEl
õa	õa-t	SgP
õa	õa-ta	SgAb
õa	õa-te	PlG
õa	õa-tega	PlKom
õa	õa-teks	PlTr
õa	õa-tel	PlAd
õa	õa-tele	PlAll
õa	õa-telt	PlAbl
õa	õa-tena	PlEs
õa	õa-teni	PlTer
õa	õa-tes	PlIn
õa	õa-tesse	PlIll
õa	õa-test	PlEl
õa	õa-teta	PlAb
õbluke	õbluke	SgN
õbluke	õblukese	SgG
õbluke	õblukesed	PlN
õbluke	õblukesega	SgKom
õbluke	õblukeseks	SgTr
õbluke	õblukesel	SgAd
õbluke	õblukesele	SgAll
õbluke	õblukeselt	SgAbl
õbluke	õblukesena	SgEs
õbluke	õblukeseni	SgTer
õbluke	õblukeses	SgIn
õbluke	õblukesesse	SgIll
õbluke	õblukesest	SgEl
õbluke	õblukeseta	SgAb
õbluke	õblukesi	PlP
õbluke	õblukesiks	PlTr
õbluke	õblukesil	PlAd
õbluke	õblukesile	PlAll
õbluke	õblukesilt	PlAbl
õbluke	õblukesis	PlIn
õbluke	õblukesisse	PlIll
õbluke	õblukesist	PlEl
õbluke	õblukesse	SgAdt
õbluke	õblukest	SgP
õbluke	õblukeste	PlG
õbluke	õblukestega	PlKom
õbluke	õblukesteks	PlTr
õbluke	õblukestel	PlAd
õbluke	õblukestele	PlAll
õbluke	õblukestelt	PlAbl
õbluke	õblukestena	PlEs
õbluke	õblukesteni	PlTer
õbluke	õblukestes	PlIn
õbluke	õblukestesse	PlIll
õbluke	õblukestest	PlEl
õbluke	õblukesteta	PlAb
õblukene	õblukene	SgN
õblukene	õblukese	SgG
õblukene	õblukesed	PlN
õblukene	õblukesega	SgKom
õblukene	õblukeseks	SgTr
õblukene	õblukesel	SgAd
õblukene	õblukesele	SgAll
õblukene	õblukeselt	SgAbl
õblukene	õblukesena	SgEs
õblukene	õblukeseni	SgTer
õblukene	õblukeses	SgIn
õblukene	õblukesesse	SgIll
õblukene	õblukesest	SgEl
õblukene	õblukeseta	SgAb
õblukene	õblukesi	PlP
õblukene	õblukesiks	PlTr
õblukene	õblukesil	PlAd
õblukene	õblukesile	PlAll
õblukene	õblukesilt	PlAbl
õblukene	õblukesis	PlIn
õblukene	õblukesisse	PlIll
õblukene	õblukesist	PlEl
õblukene	õblukesse	SgAdt
õblukene	õblukest	SgP
õblukene	õblukeste	PlG
õblukene	õblukestega	PlKom
õblukene	õblukesteks	PlTr
õblukene	õblukestel	PlAd
õblukene	õblukestele	PlAll
õblukene	õblukestelt	PlAbl
õblukene	õblukestena	PlEs
õblukene	õblukesteni	PlTer
õblukene	õblukestes	PlIn
õblukene	õblukestesse	PlIll
õblukene	õblukestest	PlEl
õblukene	õblukesteta	PlAb
õde	-	SgAdt
õde	õde	SgN
õde	õde	SgP
õde	õdede	PlG
õde	õdedega	PlKom
õde	õdedeks	PlTr
õde	õdedel	PlAd
õde	õdedele	PlAll
õde	õdedelt	PlAbl
õde	õdedena	PlEs
õde	õdedeni	PlTer
õde	õdedes	PlIn
õde	õdedesse	PlIll
õde	õdedest	PlEl
õde	õdedeta	PlAb
õde	õdesid	PlP
õde	õe	SgG
õde	õed	PlN
õde	õega	SgKom
õde	õeks	SgTr
õde	õel	SgAd
õde	õele	SgAll
õde	õelt	SgAbl
õde	õena	SgEs
õde	õeni	SgTer
õde	ões	SgIn
õde	õesse	SgIll
õde	õest	SgEl
õde	õeta	SgAb
õde-perenaine	-	SgAdt
õde-perenaine	õde-perenaine	SgN
õde-perenaine	õde-perenaise	SgG
õde-perenaine	õde-perenaised	PlN
õde-perenaine	õde-perenaisega	SgKom
õde-perenaine	õde-perenaiseks	SgTr
õde-perenaine	õde-perenaisel	SgAd
õde-perenaine	õde-perenaisele	SgAll
