lemma	form	morph_code
ö	ö	SgAdt
ö	ö	SgG
ö	ö	SgN
ö	öd	PlN
ö	öd	SgP
ö	öde	PlG
ö	ödega	PlKom
ö	ödeks	PlTr
ö	ödel	PlAd
ö	ödele	PlAll
ö	ödelt	PlAbl
ö	ödena	PlEs
ö	ödeni	PlTer
ö	ödes	PlIn
ö	ödesse	PlIll
ö	ödest	PlEl
ö	ödeta	PlAb
ö	öga	SgKom
ö	öks	SgTr
ö	öl	SgAd
ö	öle	SgAll
ö	ölt	SgAbl
ö	öna	SgEs
ö	öni	SgTer
ö	ös	SgIn
ö	ösid	PlP
ö	össe	SgIll
ö	öst	SgEl
ö	öta	SgAb
ödeem	ödeem	SgN
ödeem	ödeeme	PlP
ödeem	ödeemeks	PlTr
ödeem	ödeemel	PlAd
ödeem	ödeemele	PlAll
ödeem	ödeemelt	PlAbl
ödeem	ödeemes	PlIn
ödeem	ödeemesse	PlIll
ödeem	ödeemest	PlEl
ödeem	ödeemi	SgAdt
ödeem	ödeemi	SgG
ödeem	ödeemi	SgP
ödeem	ödeemid	PlN
ödeem	ödeemide	PlG
ödeem	ödeemidega	PlKom
ödeem	ödeemideks	PlTr
ödeem	ödeemidel	PlAd
ödeem	ödeemidele	PlAll
ödeem	ödeemidelt	PlAbl
ödeem	ödeemidena	PlEs
ödeem	ödeemideni	PlTer
ödeem	ödeemides	PlIn
ödeem	ödeemidesse	PlIll
ödeem	ödeemidest	PlEl
ödeem	ödeemideta	PlAb
ödeem	ödeemiga	SgKom
ödeem	ödeemiks	SgTr
ödeem	ödeemil	SgAd
ödeem	ödeemile	SgAll
ödeem	ödeemilt	SgAbl
ödeem	ödeemina	SgEs
ödeem	ödeemini	SgTer
ödeem	ödeemis	SgIn
ödeem	ödeemisid	PlP
ödeem	ödeemisse	SgIll
ödeem	ödeemist	SgEl
ödeem	ödeemita	SgAb
öeldavasti	öeldavasti	ID
öeldis	-	SgAdt
öeldis	öeldis	SgN
öeldis	öeldise	SgG
öeldis	öeldised	PlN
öeldis	öeldisega	SgKom
öeldis	öeldiseid	PlP
öeldis	öeldiseiks	PlTr
öeldis	öeldiseil	PlAd
öeldis	öeldiseile	PlAll
öeldis	öeldiseilt	PlAbl
öeldis	öeldiseis	PlIn
öeldis	öeldiseisse	PlIll
öeldis	öeldiseist	PlEl
öeldis	öeldiseks	SgTr
öeldis	öeldisel	SgAd
öeldis	öeldisele	SgAll
öeldis	öeldiselt	SgAbl
öeldis	öeldisena	SgEs
öeldis	öeldiseni	SgTer
öeldis	öeldises	SgIn
öeldis	öeldisesse	SgIll
öeldis	öeldisest	SgEl
öeldis	öeldiseta	SgAb
öeldis	öeldisi	PlP
öeldis	öeldisiks	PlTr
öeldis	öeldisil	PlAd
öeldis	öeldisile	PlAll
öeldis	öeldisilt	PlAbl
öeldis	öeldisis	PlIn
öeldis	öeldisisse	PlIll
öeldis	öeldisist	PlEl
öeldis	öeldisse	SgAdt
öeldis	öeldist	SgP
öeldis	öeldiste	PlG
öeldis	öeldistega	PlKom
öeldis	öeldisteks	PlTr
öeldis	öeldistel	PlAd
öeldis	öeldistele	PlAll
öeldis	öeldistelt	PlAbl
öeldis	öeldistena	PlEs
öeldis	öeldisteni	PlTer
öeldis	öeldistes	PlIn
öeldis	öeldistesse	PlIll
öeldis	öeldistest	PlEl
öeldis	öeldisteta	PlAb
öeldistäide	-	SgAdt
öeldistäide	öeldistäide	SgN
öeldistäide	öeldistäidet	SgP
öeldistäide	öeldistäidete	PlG
öeldistäide	öeldistäidetega	PlKom
öeldistäide	öeldistäideteks	PlTr
öeldistäide	öeldistäidetel	PlAd
öeldistäide	öeldistäidetele	PlAll
öeldistäide	öeldistäidetelt	PlAbl
öeldistäide	öeldistäidetena	PlEs
öeldistäide	öeldistäideteni	PlTer
öeldistäide	öeldistäidetes	PlIn
öeldistäide	öeldistäidetesse	PlIll
öeldistäide	öeldistäidetest	PlEl
öeldistäide	öeldistäideteta	PlAb
öeldistäide	öeldistäite	SgG
öeldistäide	öeldistäited	PlN
öeldistäide	öeldistäitega	SgKom
öeldistäide	öeldistäiteid	PlP
öeldistäide	öeldistäiteiks	PlTr
öeldistäide	öeldistäiteil	PlAd
öeldistäide	öeldistäiteile	PlAll
öeldistäide	öeldistäiteilt	PlAbl
öeldistäide	öeldistäiteis	PlIn
öeldistäide	öeldistäiteisse	PlIll
öeldistäide	öeldistäiteist	PlEl
öeldistäide	öeldistäiteks	SgTr
öeldistäide	öeldistäitel	SgAd
öeldistäide	öeldistäitele	SgAll
öeldistäide	öeldistäitelt	SgAbl
öeldistäide	öeldistäitena	SgEs
öeldistäide	öeldistäiteni	SgTer
öeldistäide	öeldistäites	SgIn
öeldistäide	öeldistäitesse	SgIll
öeldistäide	öeldistäitest	SgEl
öeldistäide	öeldistäiteta	SgAb
öeldisverb	öeldisverb	SgN
öeldisverb	öeldisverbe	PlP
öeldisverb	öeldisverbeks	PlTr
öeldisverb	öeldisverbel	PlAd
öeldisverb	öeldisverbele	PlAll
öeldisverb	öeldisverbelt	PlAbl
öeldisverb	öeldisverbes	PlIn
öeldisverb	öeldisverbesse	PlIll
öeldisverb	öeldisverbest	PlEl
öeldisverb	öeldisverbi	SgAdt
öeldisverb	öeldisverbi	SgG
öeldisverb	öeldisverbi	SgP
öeldisverb	öeldisverbid	PlN
öeldisverb	öeldisverbide	PlG
öeldisverb	öeldisverbidega	PlKom
öeldisverb	öeldisverbideks	PlTr
öeldisverb	öeldisverbidel	PlAd
öeldisverb	öeldisverbidele	PlAll
öeldisverb	öeldisverbidelt	PlAbl
öeldisverb	öeldisverbidena	PlEs
öeldisverb	öeldisverbideni	PlTer
öeldisverb	öeldisverbides	PlIn
öeldisverb	öeldisverbidesse	PlIll
öeldisverb	öeldisverbidest	PlEl
öeldisverb	öeldisverbideta	PlAb
öeldisverb	öeldisverbiga	SgKom
öeldisverb	öeldisverbiks	SgTr
öeldisverb	öeldisverbil	SgAd
öeldisverb	öeldisverbile	SgAll
öeldisverb	öeldisverbilt	SgAbl
öeldisverb	öeldisverbina	SgEs
öeldisverb	öeldisverbini	SgTer
öeldisverb	öeldisverbis	SgIn
öeldisverb	öeldisverbisid	PlP
öeldisverb	öeldisverbisse	SgIll
öeldisverb	öeldisverbist	SgEl
öeldisverb	öeldisverbita	SgAb
öeldu	-	SgAdt
öeldu	öeldu	SgG
öeldu	öeldu	SgN
öeldu	öeldud	PlN
öeldu	öelduga	SgKom
öeldu	öelduid	PlP
öeldu	öelduiks	PlTr
öeldu	öelduil	PlAd
öeldu	öelduile	PlAll
öeldu	öelduilt	PlAbl
öeldu	öelduis	PlIn
öeldu	öelduisse	PlIll
öeldu	öelduist	PlEl
öeldu	öelduks	SgTr
öeldu	öeldul	SgAd
öeldu	öeldule	SgAll
öeldu	öeldult	SgAbl
öeldu	öelduna	SgEs
öeldu	öelduni	SgTer
öeldu	öeldus	SgIn
öeldu	öeldusse	SgIll
öeldu	öeldust	SgEl
öeldu	öeldut	SgP
öeldu	öelduta	SgAb
öeldu	öeldute	PlG
öeldu	öeldutega	PlKom
öeldu	öelduteks	PlTr
öeldu	öeldutel	PlAd
öeldu	öeldutele	PlAll
öeldu	öeldutelt	PlAbl
öeldu	öeldutena	PlEs
öeldu	öelduteni	PlTer
öeldu	öeldutes	PlIn
öeldu	öeldutesse	PlIll
öeldu	öeldutest	PlEl
öeldu	öelduteta	PlAb
öeldult	öeldult	ID
ögisema	ögise	ImpPrSg2
ögisema	ögise	IndPrPs_
ögisema	ögiseb	IndPrSg3
ögisema	ögised	IndPrSg2
ögisema	ögiseda	Inf
ögisema	ögisedes	Ger
ögisema	ögisege	ImpPrPl2
ögisema	ögisegem	ImpPrPl1
ögisema	ögisegu	ImpPrPs
ögisema	ögiseks	KndPrPs
ögisema	ögiseksid	KndPrPl3
ögisema	ögiseksid	KndPrSg2
ögisema	ögiseksime	KndPrPl1
ögisema	ögiseksin	KndPrSg1
ögisema	ögiseksite	KndPrPl2
ögisema	ögisema	Sup
ögisema	ögisemaks	SupTr
ögisema	ögisemas	SupIn
ögisema	ögisemast	SupEl
ögisema	ögisemata	SupAb
ögisema	ögiseme	IndPrPl1
ögisema	ögisen	IndPrSg1
ögisema	ögisenud	PtsPtPs
ögisema	ögisenud	PtsPtPsNeg
ögisema	ögisenuks	KndPtPs
ögisema	ögisenuksid	KndPtPl3
ögisema	ögisenuksid	KndPtSg2
ögisema	ögisenuksime	KndPtPl1
ögisema	ögisenuksin	KndPtSg1
ögisema	ögisenuksite	KndPtPl2
ögisema	ögisenuvat	KvtPtPs
ögisema	ögises	IndIpfSg3
ögisema	ögisesid	IndIpfPl3
ögisema	ögisesid	IndIpfSg2
ögisema	ögisesime	IndIpfPl1
ögisema	ögisesin	IndIpfSg1
ögisema	ögisesite	IndIpfPl2
ögisema	ögiseta	IndPrIps_
ögisema	ögisetagu	ImpPrIps
ögisema	ögisetaks	KndPrIps
ögisema	ögisetakse	IndPrIps
ögisema	ögisetama	SupIps
ögisema	ögisetav	PtsPrIps
ögisema	ögisetavat	KvtPrIps
ögisema	ögisete	IndPrPl2
ögisema	ögiseti	IndIpfIps
ögisema	ögisetud	PtsPtIps
ögisema	ögisetud	PtsPtIpsNeg
ögisema	ögisetuks	KndPtIps
ögisema	ögisetuvat	KvtPtIps
ögisema	ögisev	PtsPrPs
ögisema	ögisevad	IndPrPl3
ögisema	ögisevat	KvtPrPs
öine	-	SgAdt
öine	öine	SgN
öine	öise	SgG
öine	öised	PlN
öine	öisega	SgKom
öine	öiseid	PlP
öine	öiseiks	PlTr
öine	öiseil	PlAd
öine	öiseile	PlAll
öine	öiseilt	PlAbl
öine	öiseis	PlIn
öine	öiseisse	PlIll
öine	öiseist	PlEl
öine	öiseks	SgTr
öine	öisel	SgAd
öine	öisele	SgAll
öine	öiselt	SgAbl
öine	öisena	SgEs
öine	öiseni	SgTer
öine	öises	SgIn
öine	öisesse	SgIll
öine	öisest	SgEl
öine	öiseta	SgAb
öine	öist	SgP
öine	öiste	PlG
öine	öistega	PlKom
öine	öisteks	PlTr
öine	öistel	PlAd
öine	öistele	PlAll
öine	öistelt	PlAbl
öine	öistena	PlEs
öine	öisteni	PlTer
öine	öistes	PlIn
öine	öistesse	PlIll
öine	öistest	PlEl
öine	öisteta	PlAb
öiselt	öiselt	ID
öiti	öiti	ID
öka	-	SgAdt
öka	öka	SgG
öka	öka	SgN
öka	ökad	PlN
öka	ökade	PlG
öka	ökadega	PlKom
öka	ökadeks	PlTr
öka	ökadel	PlAd
öka	ökadele	PlAll
öka	ökadelt	PlAbl
öka	ökadena	PlEs
öka	ökadeni	PlTer
öka	ökades	PlIn
öka	ökadesse	PlIll
öka	ökadest	PlEl
öka	ökadeta	PlAb
öka	ökaga	SgKom
öka	ökaks	SgTr
öka	ökal	SgAd
öka	ökale	SgAll
