lemma	form	morph_code
ü	ü	SgAdt
ü	ü	SgG
ü	ü	SgN
ü	üd	PlN
ü	üd	SgP
ü	üde	PlG
ü	üdega	PlKom
ü	üdeks	PlTr
ü	üdel	PlAd
ü	üdele	PlAll
ü	üdelt	PlAbl
ü	üdena	PlEs
ü	üdeni	PlTer
ü	üdes	PlIn
ü	üdesse	PlIll
ü	üdest	PlEl
ü	üdeta	PlAb
ü	üga	SgKom
ü	üks	SgTr
ü	ül	SgAd
ü	üle	SgAll
ü	ült	SgAbl
ü	üna	SgEs
ü	üni	SgTer
ü	üs	SgIn
ü	üsid	PlP
ü	üsse	SgIll
ü	üst	SgEl
ü	üta	SgAb
üdi	-	SgAdt
üdi	üdi	SgG
üdi	üdi	SgN
üdi	üdi	SgP
üdi	üdid	PlN
üdi	üdide	PlG
üdi	üdidega	PlKom
üdi	üdideks	PlTr
üdi	üdidel	PlAd
üdi	üdidele	PlAll
üdi	üdidelt	PlAbl
üdi	üdidena	PlEs
üdi	üdideni	PlTer
üdi	üdides	PlIn
üdi	üdidesse	PlIll
üdi	üdidest	PlEl
üdi	üdideta	PlAb
üdi	üdiga	SgKom
üdi	üdiks	SgTr
üdi	üdil	SgAd
üdi	üdile	SgAll
üdi	üdilt	SgAbl
üdi	üdina	SgEs
üdi	üdini	SgTer
üdi	üdis	SgIn
üdi	üdisid	PlP
üdi	üdisse	SgIll
üdi	üdist	SgEl
üdi	üdita	SgAb
üdihernes	-	SgAdt
üdihernes	üdiherne	SgG
üdihernes	üdiherned	PlN
üdihernes	üdihernega	SgKom
üdihernes	üdiherneid	PlP
üdihernes	üdiherneiks	PlTr
üdihernes	üdiherneil	PlAd
üdihernes	üdiherneile	PlAll
üdihernes	üdiherneilt	PlAbl
üdihernes	üdiherneis	PlIn
üdihernes	üdiherneisse	PlIll
üdihernes	üdiherneist	PlEl
üdihernes	üdiherneks	SgTr
üdihernes	üdihernel	SgAd
üdihernes	üdihernele	SgAll
üdihernes	üdihernelt	SgAbl
üdihernes	üdihernena	SgEs
üdihernes	üdiherneni	SgTer
üdihernes	üdihernes	SgIn
üdihernes	üdihernes	SgN
üdihernes	üdihernesse	SgIll
üdihernes	üdihernest	SgEl
üdihernes	üdihernest	SgP
üdihernes	üdiherneste	PlG
üdihernes	üdihernestega	PlKom
üdihernes	üdihernesteks	PlTr
üdihernes	üdihernestel	PlAd
üdihernes	üdihernestele	PlAll
üdihernes	üdihernestelt	PlAbl
üdihernes	üdihernestena	PlEs
üdihernes	üdihernesteni	PlTer
üdihernes	üdihernestes	PlIn
üdihernes	üdihernestesse	PlIll
üdihernes	üdihernestest	PlEl
üdihernes	üdihernesteta	PlAb
üdihernes	üdiherneta	SgAb
üdikont	üdikondeks	PlTr
üdikont	üdikondel	PlAd
üdikont	üdikondele	PlAll
üdikont	üdikondelt	PlAbl
üdikont	üdikondes	PlIn
üdikont	üdikondesse	PlIll
üdikont	üdikondest	PlEl
üdikont	üdikondi	SgG
üdikont	üdikondid	PlN
üdikont	üdikondiga	SgKom
üdikont	üdikondiks	SgTr
üdikont	üdikondil	SgAd
üdikont	üdikondile	SgAll
üdikont	üdikondilt	SgAbl
üdikont	üdikondina	SgEs
üdikont	üdikondini	SgTer
üdikont	üdikondis	SgIn
üdikont	üdikondisse	SgIll
üdikont	üdikondist	SgEl
üdikont	üdikondita	SgAb
üdikont	üdikont	SgN
üdikont	üdikonte	PlP
üdikont	üdikonti	SgAdt
üdikont	üdikonti	SgP
üdikont	üdikontide	PlG
üdikont	üdikontidega	PlKom
üdikont	üdikontideks	PlTr
üdikont	üdikontidel	PlAd
üdikont	üdikontidele	PlAll
üdikont	üdikontidelt	PlAbl
üdikont	üdikontidena	PlEs
üdikont	üdikontideni	PlTer
üdikont	üdikontides	PlIn
üdikont	üdikontidesse	PlIll
üdikont	üdikontidest	PlEl
üdikont	üdikontideta	PlAb
üdikont	üdikontisid	PlP
üdini	üdini	ID
üdini tungima	tungi üdini	ImpPrSg2
üdini tungima	tungi üdini	IndPrPs_
üdini tungima	tungib üdini	IndPrSg3
üdini tungima	tungid üdini	IndPrSg2
üdini tungima	tungige üdini	ImpPrPl2
üdini tungima	tungigem üdini	ImpPrPl1
üdini tungima	tungigu üdini	ImpPrPs
üdini tungima	tungiks üdini	KndPrPs
üdini tungima	tungiksid üdini	KndPrPl3
üdini tungima	tungiksid üdini	KndPrSg2
üdini tungima	tungiksime üdini	KndPrPl1
üdini tungima	tungiksin üdini	KndPrSg1
üdini tungima	tungiksite üdini	KndPrPl2
üdini tungima	tungime üdini	IndPrPl1
üdini tungima	tungin üdini	IndPrSg1
üdini tungima	tunginud üdini	PtsPtPsNeg
üdini tungima	tunginuks üdini	KndPtPs
üdini tungima	tunginuksid üdini	KndPtPl3
üdini tungima	tunginuksid üdini	KndPtSg2
üdini tungima	tunginuksime üdini	KndPtPl1
üdini tungima	tunginuksin üdini	KndPtSg1
üdini tungima	tunginuksite üdini	KndPtPl2
üdini tungima	tunginuvat üdini	KvtPtPs
üdini tungima	tungis üdini	IndIpfSg3
üdini tungima	tungisid üdini	IndIpfPl3
üdini tungima	tungisid üdini	IndIpfSg2
üdini tungima	tungisime üdini	IndIpfPl1
üdini tungima	tungisin üdini	IndIpfSg1
üdini tungima	tungisite üdini	IndIpfPl2
üdini tungima	tungita üdini	IndPrIps_
üdini tungima	tungitagu üdini	ImpPrIps
üdini tungima	tungitaks üdini	KndPrIps
üdini tungima	tungitakse üdini	IndPrIps
üdini tungima	tungitavat üdini	KvtPrIps
üdini tungima	tungite üdini	IndPrPl2
üdini tungima	tungiti üdini	IndIpfIps
üdini tungima	tungitud üdini	PtsPtIpsNeg
üdini tungima	tungituks üdini	KndPtIps
üdini tungima	tungituvat üdini	KvtPtIps
üdini tungima	tungivad üdini	IndPrPl3
üdini tungima	tungivat üdini	KvtPrPs
üdini tungima	üdini tungida	Inf
üdini tungima	üdini tungides	Ger
üdini tungima	üdini tungima	Sup
üdini tungima	üdini tungimaks	SupTr
üdini tungima	üdini tungimas	SupIn
üdini tungima	üdini tungimast	SupEl
üdini tungima	üdini tungimata	SupAb
üdini tungima	üdini tunginud	PtsPtPs
üdini tungima	üdini tungitama	SupIps
üdini tungima	üdini tungitav	PtsPrIps
üdini tungima	üdini tungitud	PtsPtIps
üdini tungima	üdini tungiv	PtsPrPs
üdiõõs	üdiõõnde	SgAdt
üdiõõs	üdiõõne	SgG
üdiõõs	üdiõõned	PlN
üdiõõs	üdiõõnega	SgKom
üdiõõs	üdiõõneks	SgTr
üdiõõs	üdiõõnel	SgAd
üdiõõs	üdiõõnele	SgAll
üdiõõs	üdiõõnelt	SgAbl
üdiõõs	üdiõõnena	SgEs
üdiõõs	üdiõõneni	SgTer
üdiõõs	üdiõõnes	SgIn
üdiõõs	üdiõõnesse	SgIll
üdiõõs	üdiõõnest	SgEl
üdiõõs	üdiõõneta	SgAb
üdiõõs	üdiõõnt	SgP
üdiõõs	üdiõõnte	PlG
üdiõõs	üdiõõntega	PlKom
üdiõõs	üdiõõnteks	PlTr
üdiõõs	üdiõõntel	PlAd
üdiõõs	üdiõõntele	PlAll
üdiõõs	üdiõõntelt	PlAbl
üdiõõs	üdiõõntena	PlEs
üdiõõs	üdiõõnteni	PlTer
üdiõõs	üdiõõntes	PlIn
üdiõõs	üdiõõntesse	PlIll
üdiõõs	üdiõõntest	PlEl
üdiõõs	üdiõõnteta	PlAb
üdiõõs	üdiõõs	SgN
üdiõõs	üdiõõsi	PlP
üdiõõs	üdiõõsiks	PlTr
üdiõõs	üdiõõsil	PlAd
üdiõõs	üdiõõsile	PlAll
üdiõõs	üdiõõsilt	PlAbl
üdiõõs	üdiõõsis	PlIn
üdiõõs	üdiõõsisse	PlIll
üdiõõs	üdiõõsist	PlEl
üha	üha	ID
ühe	-	SgAdt
ühe	ühe	SgN
ühe	ühet	SgP
ühe	ühete	PlG
ühe	ühetega	PlKom
ühe	üheteks	PlTr
ühe	ühetel	PlAd
ühe	ühetele	PlAll
ühe	ühetelt	PlAbl
ühe	ühetena	PlEs
ühe	üheteni	PlTer
ühe	ühetes	PlIn
ühe	ühetesse	PlIll
ühe	ühetest	PlEl
ühe	üheteta	PlAb
ühe	ühte	SgG
ühe	ühted	PlN
ühe	ühtega	SgKom
ühe	ühteid	PlP
ühe	ühteiks	PlTr
ühe	ühteil	PlAd
ühe	ühteile	PlAll
ühe	ühteilt	PlAbl
ühe	ühteis	PlIn
ühe	ühteisse	PlIll
ühe	ühteist	PlEl
ühe	ühteks	SgTr
ühe	ühtel	SgAd
ühe	ühtele	SgAll
ühe	ühtelt	SgAbl
ühe	ühtena	SgEs
ühe	ühteni	SgTer
ühe	ühtes	SgIn
ühe	ühtesse	SgIll
ühe	ühtest	SgEl
ühe	ühteta	SgAb
üheaastane	-	SgAdt
üheaastane	üheaastane	SgN
