lemma	form	morph_code
š	š	SgAdt
š	š	SgG
š	š	SgN
š	šd	PlN
š	šd	SgP
š	šde	PlG
š	šdega	PlKom
š	šdeks	PlTr
š	šdel	PlAd
š	šdele	PlAll
š	šdelt	PlAbl
š	šdena	PlEs
š	šdeni	PlTer
š	šdes	PlIn
š	šdesse	PlIll
š	šdest	PlEl
š	šdeta	PlAb
š	šga	SgKom
š	šks	SgTr
š	šl	SgAd
š	šle	SgAll
š	šlt	SgAbl
š	šna	SgEs
š	šni	SgTer
š	šs	SgIn
š	šsid	PlP
š	šsse	SgIll
š	šst	SgEl
š	šta	SgAb
šaaber	-	SgAdt
šaaber	šaaber	SgN
šaaber	šaabreid	PlP
šaaber	šaabreiks	PlTr
šaaber	šaabreil	PlAd
šaaber	šaabreile	PlAll
šaaber	šaabreilt	PlAbl
šaaber	šaabreis	PlIn
šaaber	šaabreisse	PlIll
šaaber	šaabreist	PlEl
šaaber	šaabri	SgG
šaaber	šaabrid	PlN
šaaber	šaabriga	SgKom
šaaber	šaabriks	SgTr
šaaber	šaabril	SgAd
šaaber	šaabrile	SgAll
šaaber	šaabrilt	SgAbl
šaaber	šaabrina	SgEs
šaaber	šaabrini	SgTer
šaaber	šaabris	SgIn
šaaber	šaabrisse	SgIll
šaaber	šaabrist	SgEl
šaaber	šaabrit	SgP
šaaber	šaabrita	SgAb
šaaber	šaabrite	PlG
šaaber	šaabritega	PlKom
šaaber	šaabriteks	PlTr
šaaber	šaabritel	PlAd
šaaber	šaabritele	PlAll
šaaber	šaabritelt	PlAbl
šaaber	šaabritena	PlEs
šaaber	šaabriteni	PlTer
šaaber	šaabrites	PlIn
šaaber	šaabritesse	PlIll
šaaber	šaabritest	PlEl
šaaber	šaabriteta	PlAb
šaakal	-	SgAdt
šaakal	šaakal	SgN
šaakal	šaakaleid	PlP
šaakal	šaakaleiks	PlTr
šaakal	šaakaleil	PlAd
šaakal	šaakaleile	PlAll
šaakal	šaakaleilt	PlAbl
šaakal	šaakaleis	PlIn
šaakal	šaakaleisse	PlIll
šaakal	šaakaleist	PlEl
šaakal	šaakali	SgG
šaakal	šaakalid	PlN
šaakal	šaakaliga	SgKom
šaakal	šaakaliks	SgTr
šaakal	šaakalil	SgAd
šaakal	šaakalile	SgAll
šaakal	šaakalilt	SgAbl
šaakal	šaakalina	SgEs
šaakal	šaakalini	SgTer
šaakal	šaakalis	SgIn
šaakal	šaakalisse	SgIll
šaakal	šaakalist	SgEl
šaakal	šaakalit	SgP
šaakal	šaakalita	SgAb
šaakal	šaakalite	PlG
šaakal	šaakalitega	PlKom
šaakal	šaakaliteks	PlTr
šaakal	šaakalitel	PlAd
šaakal	šaakalitele	PlAll
šaakal	šaakalitelt	PlAbl
šaakal	šaakalitena	PlEs
šaakal	šaakaliteni	PlTer
šaakal	šaakalites	PlIn
šaakal	šaakalitesse	PlIll
šaakal	šaakalitest	PlEl
šaakal	šaakaliteta	PlAb
šaakallik	šaakallik	SgN
šaakallik	šaakallike	PlG
šaakallik	šaakallikega	PlKom
šaakallik	šaakallikeks	PlTr
šaakallik	šaakallikel	PlAd
šaakallik	šaakallikele	PlAll
šaakallik	šaakallikelt	PlAbl
šaakallik	šaakallikena	PlEs
šaakallik	šaakallikeni	PlTer
šaakallik	šaakallikes	PlIn
šaakallik	šaakallikesse	PlIll
šaakallik	šaakallikest	PlEl
šaakallik	šaakalliketa	PlAb
šaakallik	šaakallikke	PlP
šaakallik	šaakallikku	SgAdt
šaakallik	šaakallikku	SgP
šaakallik	šaakallikkude	PlG
šaakallik	šaakallikkudega	PlKom
šaakallik	šaakallikkudeks	PlTr
šaakallik	šaakallikkudel	PlAd
šaakallik	šaakallikkudele	PlAll
šaakallik	šaakallikkudelt	PlAbl
šaakallik	šaakallikkudena	PlEs
šaakallik	šaakallikkudeni	PlTer
šaakallik	šaakallikkudes	PlIn
šaakallik	šaakallikkudesse	PlIll
šaakallik	šaakallikkudest	PlEl
šaakallik	šaakallikkudeta	PlAb
šaakallik	šaakallikkusid	PlP
šaakallik	šaakalliku	SgG
šaakallik	šaakallikud	PlN
šaakallik	šaakallikuga	SgKom
šaakallik	šaakallikuks	SgTr
šaakallik	šaakallikul	SgAd
šaakallik	šaakallikule	SgAll
šaakallik	šaakallikult	SgAbl
šaakallik	šaakallikuna	SgEs
šaakallik	šaakallikuni	SgTer
šaakallik	šaakallikus	SgIn
šaakallik	šaakallikusse	SgIll
šaakallik	šaakallikust	SgEl
šaakallik	šaakallikuta	SgAb
šabloon	šabloon	SgN
šabloon	šabloone	PlP
šabloon	šablooneks	PlTr
šabloon	šabloonel	PlAd
šabloon	šabloonele	PlAll
šabloon	šabloonelt	PlAbl
šabloon	šabloones	PlIn
šabloon	šabloonesse	PlIll
šabloon	šabloonest	PlEl
šabloon	šablooni	SgAdt
šabloon	šablooni	SgG
šabloon	šablooni	SgP
šabloon	šabloonid	PlN
šabloon	šabloonide	PlG
šabloon	šabloonidega	PlKom
šabloon	šabloonideks	PlTr
šabloon	šabloonidel	PlAd
šabloon	šabloonidele	PlAll
šabloon	šabloonidelt	PlAbl
šabloon	šabloonidena	PlEs
šabloon	šabloonideni	PlTer
šabloon	šabloonides	PlIn
šabloon	šabloonidesse	PlIll
šabloon	šabloonidest	PlEl
šabloon	šabloonideta	PlAb
šabloon	šablooniga	SgKom
šabloon	šablooniks	SgTr
šabloon	šabloonil	SgAd
šabloon	šabloonile	SgAll
šabloon	šabloonilt	SgAbl
šabloon	šabloonina	SgEs
šabloon	šabloonini	SgTer
šabloon	šabloonis	SgIn
šabloon	šabloonisid	PlP
šabloon	šabloonisse	SgIll
šabloon	šabloonist	SgEl
šabloon	šabloonita	SgAb
šablooniline	šablooniline	SgN
šablooniline	šabloonilise	SgG
šablooniline	šabloonilised	PlN
šablooniline	šabloonilisega	SgKom
šablooniline	šablooniliseks	SgTr
šablooniline	šabloonilisel	SgAd
šablooniline	šabloonilisele	SgAll
šablooniline	šablooniliselt	SgAbl
šablooniline	šabloonilisena	SgEs
šablooniline	šablooniliseni	SgTer
šablooniline	šabloonilises	SgIn
šablooniline	šabloonilisesse	SgIll
šablooniline	šabloonilisest	SgEl
šablooniline	šablooniliseta	SgAb
šablooniline	šabloonilisi	PlP
šablooniline	šabloonilisiks	PlTr
