lemma	form	morph_code
ž	ž	SgAdt
ž	ž	SgG
ž	ž	SgN
ž	žd	PlN
ž	žd	SgP
ž	žde	PlG
ž	ždega	PlKom
ž	ždeks	PlTr
ž	ždel	PlAd
ž	ždele	PlAll
ž	ždelt	PlAbl
ž	ždena	PlEs
ž	ždeni	PlTer
ž	ždes	PlIn
ž	ždesse	PlIll
ž	ždest	PlEl
ž	ždeta	PlAb
ž	žga	SgKom
ž	žks	SgTr
ž	žl	SgAd
ž	žle	SgAll
ž	žlt	SgAbl
ž	žna	SgEs
ž	žni	SgTer
ž	žs	SgIn
ž	žsid	PlP
ž	žsse	SgIll
ž	žst	SgEl
ž	žta	SgAb
žaboo	-	SgAdt
žaboo	žaboid	PlP
žaboo	žaboiks	PlTr
žaboo	žaboil	PlAd
žaboo	žaboile	PlAll
žaboo	žaboilt	PlAbl
žaboo	žabois	PlIn
žaboo	žaboisse	PlIll
žaboo	žaboist	PlEl
žaboo	žaboo	SgG
žaboo	žaboo	SgN
žaboo	žabood	PlN
žaboo	žabood	SgP
žaboo	žaboode	PlG
žaboo	žaboodega	PlKom
žaboo	žaboodeks	PlTr
žaboo	žaboodel	PlAd
žaboo	žaboodele	PlAll
žaboo	žaboodelt	PlAbl
žaboo	žaboodena	PlEs
žaboo	žaboodeni	PlTer
žaboo	žaboodes	PlIn
žaboo	žaboodesse	PlIll
žaboo	žaboodest	PlEl
žaboo	žaboodeta	PlAb
žaboo	žabooga	SgKom
žaboo	žabooks	SgTr
žaboo	žabool	SgAd
žaboo	žaboole	SgAll
žaboo	žaboolt	SgAbl
žaboo	žaboona	SgEs
žaboo	žabooni	SgTer
žaboo	žaboos	SgIn
žaboo	žaboosid	PlP
žaboo	žaboosse	SgIll
žaboo	žaboost	SgEl
žaboo	žaboota	SgAb
žakaarmasin	-	SgAdt
žakaarmasin	žakaarmasin	SgN
žakaarmasin	žakaarmasina	SgG
žakaarmasin	žakaarmasinad	PlN
žakaarmasin	žakaarmasinaga	SgKom
žakaarmasin	žakaarmasinaid	PlP
žakaarmasin	žakaarmasinaiks	PlTr
žakaarmasin	žakaarmasinail	PlAd
žakaarmasin	žakaarmasinaile	PlAll
žakaarmasin	žakaarmasinailt	PlAbl
žakaarmasin	žakaarmasinais	PlIn
žakaarmasin	žakaarmasinaisse	PlIll
žakaarmasin	žakaarmasinaist	PlEl
žakaarmasin	žakaarmasinaks	SgTr
žakaarmasin	žakaarmasinal	SgAd
žakaarmasin	žakaarmasinale	SgAll
žakaarmasin	žakaarmasinalt	SgAbl
žakaarmasin	žakaarmasinana	SgEs
žakaarmasin	žakaarmasinani	SgTer
žakaarmasin	žakaarmasinas	SgIn
žakaarmasin	žakaarmasinasse	SgIll
žakaarmasin	žakaarmasinast	SgEl
žakaarmasin	žakaarmasinat	SgP
žakaarmasin	žakaarmasinata	SgAb
žakaarmasin	žakaarmasinate	PlG
žakaarmasin	žakaarmasinatega	PlKom
žakaarmasin	žakaarmasinateks	PlTr
žakaarmasin	žakaarmasinatel	PlAd
žakaarmasin	žakaarmasinatele	PlAll
žakaarmasin	žakaarmasinatelt	PlAbl
žakaarmasin	žakaarmasinatena	PlEs
žakaarmasin	žakaarmasinateni	PlTer
žakaarmasin	žakaarmasinates	PlIn
žakaarmasin	žakaarmasinatesse	PlIll
žakaarmasin	žakaarmasinatest	PlEl
žakaarmasin	žakaarmasinateta	PlAb
žakaarriie	-	SgAdt
žakaarriie	žakaarriide	SgG
žakaarriie	žakaarriided	PlN
žakaarriie	žakaarriidega	SgKom
žakaarriie	žakaarriideid	PlP
žakaarriie	žakaarriideiks	PlTr
žakaarriie	žakaarriideil	PlAd
žakaarriie	žakaarriideile	PlAll
žakaarriie	žakaarriideilt	PlAbl
žakaarriie	žakaarriideis	PlIn
žakaarriie	žakaarriideisse	PlIll
žakaarriie	žakaarriideist	PlEl
žakaarriie	žakaarriideks	SgTr
žakaarriie	žakaarriidel	SgAd
žakaarriie	žakaarriidele	SgAll
žakaarriie	žakaarriidelt	SgAbl
žakaarriie	žakaarriidena	SgEs
žakaarriie	žakaarriideni	SgTer
žakaarriie	žakaarriides	SgIn
žakaarriie	žakaarriidesse	SgIll
žakaarriie	žakaarriidest	SgEl
žakaarriie	žakaarriideta	SgAb
žakaarriie	žakaarriie	SgN
žakaarriie	žakaarriiet	SgP
žakaarriie	žakaarriiete	PlG
žakaarriie	žakaarriietega	PlKom
žakaarriie	žakaarriieteks	PlTr
žakaarriie	žakaarriietel	PlAd
žakaarriie	žakaarriietele	PlAll
žakaarriie	žakaarriietelt	PlAbl
žakaarriie	žakaarriietena	PlEs
žakaarriie	žakaarriieteni	PlTer
žakaarriie	žakaarriietes	PlIn
žakaarriie	žakaarriietesse	PlIll
žakaarriie	žakaarriietest	PlEl
žakaarriie	žakaarriieteta	PlAb
žalusii	-	SgAdt
žalusii	žalusii	SgG
žalusii	žalusii	SgN
žalusii	žalusiid	PlN
žalusii	žalusiid	SgP
žalusii	žalusiide	PlG
žalusii	žalusiidega	PlKom
žalusii	žalusiideks	PlTr
žalusii	žalusiidel	PlAd
žalusii	žalusiidele	PlAll
žalusii	žalusiidelt	PlAbl
žalusii	žalusiidena	PlEs
žalusii	žalusiideni	PlTer
žalusii	žalusiides	PlIn
žalusii	žalusiidesse	PlIll
žalusii	žalusiidest	PlEl
žalusii	žalusiideta	PlAb
žalusii	žalusiiga	SgKom
žalusii	žalusiiks	SgTr
žalusii	žalusiil	SgAd
žalusii	žalusiile	SgAll
žalusii	žalusiilt	SgAbl
žalusii	žalusiina	SgEs
žalusii	žalusiini	SgTer
žalusii	žalusiis	SgIn
žalusii	žalusiisid	PlP
žalusii	žalusiisse	SgIll
žalusii	žalusiist	SgEl
žalusii	žalusiita	SgAb
žanr	-	SgAdt
žanr	žanr	SgN
žanr	žanre	PlP
žanr	žanreid	PlP
žanr	žanreiks	PlTr
žanr	žanreil	PlAd
žanr	žanreile	PlAll
žanr	žanreilt	PlAbl
žanr	žanreis	PlIn
žanr	žanreisse	PlIll
žanr	žanreist	PlEl
žanr	žanreks	PlTr
žanr	žanrel	PlAd
žanr	žanrele	PlAll
žanr	žanrelt	PlAbl
žanr	žanres	PlIn
žanr	žanresse	PlIll
žanr	žanrest	PlEl
žanr	žanri	SgAdt
žanr	žanri	SgG
žanr	žanri	SgP
žanr	žanrid	PlN
žanr	žanride	PlG
žanr	žanridega	PlKom
žanr	žanrideks	PlTr
žanr	žanridel	PlAd
žanr	žanridele	PlAll
žanr	žanridelt	PlAbl
žanr	žanridena	PlEs
žanr	žanrideni	PlTer
žanr	žanrides	PlIn
žanr	žanridesse	PlIll
žanr	žanridest	PlEl
žanr	žanrideta	PlAb
žanr	žanriga	SgKom
žanr	žanriks	SgTr
žanr	žanril	SgAd
žanr	žanrile	SgAll
žanr	žanrilt	SgAbl
žanr	žanrina	SgEs
žanr	žanrini	SgTer
žanr	žanris	SgIn
žanr	žanrisid	PlP
žanr	žanrisse	SgIll
žanr	žanrist	SgEl
žanr	žanrit	SgP
žanr	žanrita	SgAb
žanr	žanrite	PlG
žanr	žanritega	PlKom
žanr	žanriteks	PlTr
žanr	žanritel	PlAd
žanr	žanritele	PlAll
žanr	žanritelt	PlAbl
žanr	žanritena	PlEs
žanr	žanriteni	PlTer
žanr	žanrites	PlIn
žanr	žanritesse	PlIll
žanr	žanritest	PlEl
žanr	žanriteta	PlAb
žanriline	žanriline	SgN
žanriline	žanrilise	SgG
žanriline	žanrilised	PlN
žanriline	žanrilisega	SgKom
žanriline	žanriliseks	SgTr
žanriline	žanrilisel	SgAd
žanriline	žanrilisele	SgAll
žanriline	žanriliselt	SgAbl
žanriline	žanrilisena	SgEs
žanriline	žanriliseni	SgTer
žanriline	žanrilises	SgIn
žanriline	žanrilisesse	SgIll
žanriline	žanrilisest	SgEl
žanriline	žanriliseta	SgAb
žanriline	žanrilisi	PlP
žanriline	žanrilisiks	PlTr
žanriline	žanrilisil	PlAd
žanriline	žanrilisile	PlAll
žanriline	žanrilisilt	PlAbl
žanriline	žanrilisis	PlIn
žanriline	žanrilisisse	PlIll
žanriline	žanrilisist	PlEl
žanriline	žanrilisse	SgAdt
žanriline	žanrilist	SgP
žanriline	žanriliste	PlG
žanriline	žanrilistega	PlKom
žanriline	žanrilisteks	PlTr
žanriline	žanrilistel	PlAd
žanriline	žanrilistele	PlAll
žanriline	žanrilistelt	PlAbl
žanriline	žanrilistena	PlEs
žanriline	žanrilisteni	PlTer
žanriline	žanrilistes	PlIn
žanriline	žanrilistesse	PlIll
žanriline	žanrilistest	PlEl
žanriline	žanrilisteta	PlAb
žanrimaal	žanrimaal	SgN
žanrimaal	žanrimaale	PlP
žanrimaal	žanrimaaleks	PlTr
žanrimaal	žanrimaalel	PlAd
žanrimaal	žanrimaalele	PlAll
žanrimaal	žanrimaalelt	PlAbl
žanrimaal	žanrimaales	PlIn
žanrimaal	žanrimaalesse	PlIll
žanrimaal	žanrimaalest	PlEl
žanrimaal	žanrimaali	SgAdt
žanrimaal	žanrimaali	SgG
žanrimaal	žanrimaali	SgP
žanrimaal	žanrimaalid	PlN
žanrimaal	žanrimaalide	PlG
žanrimaal	žanrimaalidega	PlKom
žanrimaal	žanrimaalideks	PlTr
žanrimaal	žanrimaalidel	PlAd
žanrimaal	žanrimaalidele	PlAll
žanrimaal	žanrimaalidelt	PlAbl
žanrimaal	žanrimaalidena	PlEs
žanrimaal	žanrimaalideni	PlTer
žanrimaal	žanrimaalides	PlIn
žanrimaal	žanrimaalidesse	PlIll
žanrimaal	žanrimaalidest	PlEl
žanrimaal	žanrimaalideta	PlAb
žanrimaal	žanrimaaliga	SgKom
žanrimaal	žanrimaaliks	SgTr
žanrimaal	žanrimaalil	SgAd
žanrimaal	žanrimaalile	SgAll
žanrimaal	žanrimaalilt	SgAbl
žanrimaal	žanrimaalina	SgEs
žanrimaal	žanrimaalini	SgTer
žanrimaal	žanrimaalis	SgIn
žanrimaal	žanrimaalisid	PlP
žanrimaal	žanrimaalisse	SgIll
žanrimaal	žanrimaalist	SgEl
žanrimaal	žanrimaalita	SgAb
žanripiir	žanripiir	SgN
žanripiir	žanripiire	PlP
žanripiir	žanripiireks	PlTr
žanripiir	žanripiirel	PlAd
žanripiir	žanripiirele	PlAll
žanripiir	žanripiirelt	PlAbl
žanripiir	žanripiires	PlIn
