lemma	pos	form	sentence	source_corpus
olema	VERB	oli	Aga väljas oli liiga külm.	et
olema	VERB	pole	Ei, neil pole tütart, aga neil on poeg.	et
ma	PRON	minust	Mu vend on minust vanem.	et
ma	PRON	minu	Aga minu toit ei maitse hästi.	et
see	PRON	seda	Ei, ta ei kontrolli seda kõigepealt.	et
see	PRON	selles	See on nende esimene kord selles restoranis ja nad otsustavad, mida süüa.	et
tema	PRON	Ta	Ta nägi kaks kuusekäbi maas.	et
sa	PRON	sulle	Su vanemad ütlesid sulle, et sa pead ülikooli minema.	et
sa	PRON	Sinul	Kas Sinul tuleb midagi taolist ette?	et
mis	PRON	mida	Ta on närvis ja mõtleb, mida osta.	et
mis	PRON	Millega	Millega nad veel aitasid?	et
meie	PRON	me	My teachers like me a lot.	et
meie	PRON	Me	Me aitame üksteist kodutööde tegemisel.	et
saama	VERB	saaksime	Ta tõi oma poja täna meie majja, et saaksime temaga esimest korda kohtuda.	et
saama	VERB	saaksin	Ma ostan piletid homme, et ma saaksin ka kontserdile minna.	et
tegema	VERB	teeksin	Mu ülemus ütles mulle, et on väga tähtis, et ma teeksin head tööd.	et
tegema	VERB	tehku	Ise tehku, mida heaks arvab.	et
minema	VERB	läheksin	Mu sõber tahtis, et ma tema peole läheksin.	et
minema	VERB	läheks	Leo sõber tahab, et ta tema peole läheks.	et
teadma	VERB	teadnud	Kuid me ei teadnud, millist nime lapsele anda.	et
teadma	VERB	teavad	Kas nad teavad, millist nime lapsele anda?	et
kõik	PRON	kõiki	Ta kavatses pärast reisi kõiki oma pilte internetis näidata.	et
kõik	PRON	kõige	Toomasele on Itaalia toit alati kõige rohkem meeldinud.	et
tahtma	VERB	tahtnud	Ei, ta ei tahtnud hiljaks jääda.	et
tahtma	VERB	tahtsin	Ma tahtsin minna filmi vaatama.	et
tulema	VERB	tulemas	Täna ütles treener talle, et tulemas on võistlus.	et
tulema	VERB	tulen	Ma tulen töölt koju.	et
ta	PRON	temaga	Ta tõi oma poja täna meie majja, et saaksime temaga esimest korda kohtuda.	et
ta	PRON	talle	Jah, talle meeldib kool.	et
pidama	VERB	pidin	Ma pidin tööle minema.	et
pidama	VERB	pidanud	Ta oleks pidanud piletid ostma, et ta saaks minna.	et
teie	PRON	Te	Te olite tahtnud osta uut kodu, sest teie kaks last olid saanud vanemaks.	et
ütlema	VERB	ütlesid	Mu vanemad ütlesid mulle, et ma pean ülikooli minema.	et
ütlema	VERB	ütlesin	Ma ütlesin arstile, kuidas ma end tunnen.	et
omama	VERB	omage	Ja jumala eest ärge omage kodus sularaha.	et
omama	VERB	omada	Nad mõtlesid ühel hetkel kodu üürida, kuid tundsid, et tahavad ikkagi oma kodu omada.	et
võima	VERB	võimal	Kas tead, et on võimal...	et
võima	VERB	võiksin	Mida nad ütlesid, et ma võiksin saada?	et
nii	ADV	Niina	Niina Murdvee) ning tegeleb aktiivselt ka heliloominguga.	et
kes	PRON	kellel	Sel hetkel oli mul hea meel olla vanem naine, kellel on täiskasvanud lapsed.	et
kes	PRON	Kelle	Kelle üle sa mõtled?	et
miski	PRON	millegisse	Pigem tuleks seda vaadata suhtes millegisse.	et
miski	PRON	miskiks	Seda teadvustades pole ohtu, et hakkad end miskiks eriliseks või väljavalituks pidama.	et
nemad	PRON	nad	Jah, nad on väsinud.	et
nemad	PRON	Nad	Nad räägivad palju erinevaid keeli.	et
nägema	VERB	näe	Ei, ta ei näe musta arvutit.	et
nägema	VERB	nägin	Ma arvasin, et ma nägin oma uues ülikonnas hea välja.	et
mina	PRON	Ma	Ma joon vett iga hommik.	et
rääkima	VERB	rääkisid	Mida mu vanemad mulle rääkisid?	et
rääkima	VERB	räägime	Me räägime sellest iga päev koolis.	et
mull	NOUN	mullideta	Tohtri sõnul ei kõlba pohmellirohuks kurgisoolvesi, vaid ohtras koguses mullideta vesi.	et
mull	NOUN	Mulle	Mulle meeldib kool väga.	et
hea	ADJ	head	Ja ta tahab head klaviatuuri.	et
hea	ADJ	heasse	Eduühiskonnas tähendab heasse kooli pääsemine helge tuleviku kindlustamist.	et
arvama	VERB	arvasite	Mis te siis arvasite.	et
arvama	VERB	arvasin	Ma arvasin, et ma nägin oma uues ülikonnas hea välja.	et
võtma	VERB	võta	Ja ta ei võta kaalus nii kergelt alla kui varem.	et
võtma	VERB	võtad	Sa jätad tihti oma vihmavarju kuhugi maha, kui sa selle kaasa võtad.	et
te	PRON	teieta	Ilma teieta poleks me siin.	et
te	PRON	Teieni	Kuidas need Teieni tulevad?	et
üks	NUM	ühe	Nad on väga põnevil, et saavad veel ühe lapse.	et
